concentration_id	concentration_batch_id	concentration_comment	concentration_location_in_batch	sample_id
G01-0017.c1694	CP53		A04	
A04-0198.c3746	CP251		B06	
K01-0095.c1537	CP157		B03	
O01-0140.c638	CP218		D01	
H01-0434.c2942	CP305		D05	
B01-0023.c1927	CP27		C01	
Q01-0044.c7122	CP174		A02	
T01-0071.c2298	CP294		B06	
A02-0426.c4792	CP107		D04	
L01-0368.c3136	CP364		D03	
A02-0454.c2619	CP120		A03	
M03-0040.c7210	CP107		B06	
N02-0274.c1045	CP361		C02	
D01-0091.c5270	CP150		D04	
N03-0196.c1114	CP241		D03	
A02-0783.c4867	CP268		C03	
R01-0125.c1727	CP235		C05	
R01-0056.c3529	CP183		C03	
Q01-0133.c3594	CP249		C03	
N02-0176.c5375	CP267		A04	
C01-0065.c425	CP56		A03	
A02-0341.c6386	CP77		D06	
A02-0701.c3464	CP259		A05	
A02-0687.c6711	CP254		C04	
J01-0101.c5435	CP203		B03	
J01-0127.c386	CP233		C03	
G01-0007.c7372	CP53		A01	
A04-0234.c2658	CP308		B03	
A02-0121.c7315	CP16		C06	
G01-0310.c3664	CP355		A02	
A01-0139.c457	CP55		A03	
M03-0036.c1638	CP113		D03	
G01-0201.c6550	CP286		B05	
H01-0211.c129	CP143		A05	
B01-0261.c3743	CP272		A05	
A02-0963.c1329	CP325		B03	
N03-0286.c6708	CP369		B04	
A01-0306.c5064	CP190		A01	
A01-0445.c5931	CP308		A06	
K01-0123.c3133	CP190		C05	
A01-0164.c3448	CP69		A05	
A01-0191.c7542	CP89		D03	
J01-0057.c1574	CP160		D04	
K01-0221.c6985	CP364		C04	
M03-0140.c1128	CP236		C06	
H01-0314.c2769	CP1		B02	
A02-0509.c2925	CP226		A03	
R02-0245.c5731	CP352		D06	
A03-0095.c7261	CP42		B04	
D01-0090.c1870	CP143		C01	
E02-0243.c1247	CP327		B03	
N03-0033.c4998	CP93		A04	
G01-0052.c2581	CP25		A06	
H01-0291.c2458	CP199		C01	
A03-0302.c7388	CP117		B05	
A04-0347.c4641	CP373		D06	
R02-0234.c1090	CP347		A01	
R01-0094.c6383	CP223		D05	
A02-1127.c2367	CP363		C03	
A03-0301.c806	CP125		A06	
A04-0120.c2677	CP195		A01	
C01-0087.c6311	CP87		C04	
M03-0159.c567	CP311		D01	
C01-0128.c4170	CP101		D04	
N02-0125.c2199	CP179		A06	
H01-0035.c1405	CP35		B03	
L01-0156.c5832	CP191		B01	
N02-0204.c3070	CP299		C06	
B01-0313.c6902	CP361		C04	
L01-0242.c5026	CP265		C03	
O01-0137.c919	CP207		B05	
G01-0080.c6670	CP43		C04	
J01-0134.c3648	CP241		A01	
D01-0231.c228	CP343		B02	
A03-0023.c3337	CP26		B01	
O01-0136.c6141	CP218		C06	
J01-0088.c2477	CP186		A05	
M03-0183.c6786	CP317		A02	
Q01-0310.c1494	CP372		C05	
M04-0022.c5048	CP99		A05	
O01-0077.c7525	CP160		C03	
M04-0096.c5521	CP196		B01	
M03-0139.c2030	CP241		B06	
Q01-0113.c6192	CP227		B04	
O01-0229.c2086	CP269		B06	
C01-0035.c6275	CP36		A03	
N02-0292.c5504	CP367		C03	
K01-0108.c2513	CP176		C03	
N03-0138.c4351	CP192		A01	
E01-0061.c20	CP80		C03	
A04-0207.c6801	CP278		D02	
A04-0334.c5023	CP360		D01	
A01-0345.c2756	CP226		C03	
A02-0066.c6885	CP7		D01	
G01-0150.c6783	CP89		C02	
O01-0078.c3374	CP160		C04	
A0044.c3958	CS8			
K01-0054.c6818	CP102		B02	
D01-0087.c4284	CP170		C01	
A04-0339.c818	CP368		B06	
M03-0018.c6308	CP92		D01	
C01-0229.c6824	CP201		A04	
G01-0235.c3149	CP211		B06	
A02-0573.c1022	CP220		A03	
A02-0142.c2516	CP20		A05	
M04-0093.c453	CP172		D03	
M03-0021.c1654	CP102		A01	
A03-0345.c2219	CP150		C04	
A01-0301.c387	CP185		A02	
A02-1058.c6963	CP344		B03	
A02-0343.c6023	CP77		C06	
D01-0179.c4877	CP268		D05	
A04-0123.c6330	CP197		A02	
P01-0010.c2505	CP77		C02	
N03-0222.c5037	CP280		C06	
B01-0282.c6999	CP304		D04	
K01-0001.c3822	CP50		C04	
E01-0087.c400	CP110		B04	
J01-0241.c4858	CP359		B05	
L01-0121.c4392	CP139		B05	
E02-0237.c5260	CP321		C04	
A03-0181.c5635	CP61		D03	
A03-0096.c3932	CP42		B05	
G01-0135.c7362	CP110		B01	
C01-0308.c1254	CP289		C05	
K01-0064.c3348	CP113		C03	
A02-0382.c3474	CP91		A01	
S01-0011.c3739	CP165		A05	
A01-0195.c1394	CP95		C04	
T01-0013.c6504	CP217		A04	
L01-0060.c5286	CP109		A04	
H01-0506.c5545	CP356		B05	
D01-0053.c555	CP97		A01	
A02-0824.c2011	CP266		A05	
O01-0044.c7014	CP94		A06	
M04-0065.c7028	CP151		C03	
L01-0006.c1564	CP74		D05	
R01-0130.c6521	CP235		C06	
A02-0896.c590	CP318		A05	
B01-0180.c111	CP157		B04	
C01-0213.c6966	CP181		C06	
R02-0012.c4441	CP168		C03	
H01-0175.c6026	CP115		B01	
R01-0119.c7432	CP208		D01	
O01-0023.c807	CP113		B03	
A02-0604.c7632	CP217		D01	
H01-0253.c7190	CP175		B01	
H01-0281.c135	CP194		B03	
L01-0396.c439	CP369		D03	
A02-0755.c4745	CP276		A05	
G01-0008.c2984	CP57		B03	
J01-0181.c3637	CP292		B06	
A02-0891.c5312	CP320		A06	
A01-0516.c2377	CP368		C03	
A1062.c7591	CP0.7			
R01-0120.c3845	CP208		D02	
A02-0159.c894	CP21		D01	
P01-0025.c456	CP69		C03	
R01-0209.c5074	CP302		C06	
A02-1034.c7271	CP340		B04	
A02-0559.c2753	CP228		A04	
K01-0012.c2779	CP50		C03	
A01-0211.c1860	CP107		A02	
K01-0081.c5365	CP162		A03	
A02-0970.c2597	CP325		C05	
O01-0177.c1548	CP293		B06	
O01-0014.c4919	CP124		C03	
N03-0026.c5590	CP97		B01	
T01-0101.c5794	CP345		C04	
O01-0294.c5184	CP369		C01	
S01-0047.c2102	CP98		B02	
H01-0177.c3223	CP115		A05	
Q01-0154.c4722	CP271		D02	
C01-0281.c7584	CP264		C03	
A02-1061.c4160	CP346		D02	
M03-0060.c6660	CP146		B03	
N02-0170.c4027	CP255		A06	
A04-0080.c4320	CP150		A03	
B01-0127.c6730	CP121		C04	
L01-0168.c340	CP172		C02	
C01-0054.c7303	CP49		B02	
L01-0254.c2467	CP274		C01	
Q01-0065.c5125	CP188		B05	
D01-0060.c566	CP97		A02	
A02-0428.c6899	CP116		A03	
R01-0140.c1647	CP250		A02	
R02-0221.c980	CP369		A02	
O01-0074.c1238	CP151		B01	
J01-0045.c1416	CP140		B01	
G01-0012.c4834	CP53		A03	
A02-0911.c2334	CP315		C06	
O01-0172.c5142	CP240		C06	
A02-0212.c4242	CP34		A04	
N03-0297.c3060	CP369		C01	
N02-0291.c2667	CP367		B06	
A01-0409.c4225	CP284		A02	
S01-0039.c5910	CP120		C06	
Q01-0139.c3437	CP249		D03	
K01-0194.c4080	CP285		B06	
J01-0098.c144	CP203		A06	
R02-0006.c523	CP168		C01	
N03-0021.c921	CP97		A06	
H01-0521.c6265	CP367		D02	
B01-0081.c2855	CP70		A02	
A01-0201.c7306	CP10		B03	
A02-0554.c6959	CP228		A02	
Q01-0258.c2185	CP336		D02	
A02-0550.c6212	CP143		D04	
D01-0212.c2358	CP301		C01	
B01-0210.c4532	CP233		A01	
N03-0036.c952	CP97		B03	
A04-0046.c7231	CP111		C04	
O01-0166.c465	CP253		A05	
M04-0004.c1413	CP83		D02	
A04-0341.c7145	CP368		B01	
N02-0074.c3674	CP128		C06	
A02-0411.c172	CP104		C01	
B01-0038.c728	CP56		C01	
D01-0073.c3364	CP97		A04	
D01-0150.c2557	CP216		A04	
M04-0002.c3127	CP88		D01	
M03-0149.c5235	CP236		D02	
K01-0210.c3714	CP328		A01	
C01-0139.c6365	CP112		B06	
H01-0256.c2582	CP175		B04	
A0244.c7002	CS3			
Q01-0280.c6142	CP350		D06	
Q01-0082.c7039	CP197		D02	
N03-0024.c5550	CP114		D01	
E02-0159.c51	CP188		D06	
E02-0063.c1936	CP99		D03	
L01-0030.c3326	CP84		C05	
D01-0197.c559	CP277		D03	
B01-0182.c3728	CP180		C06	
H01-0095.c6635	CP54		B04	
E02-0187.c4642	CP222		A06	
A03-0162.c1444	CP68		C05	
B01-0093.c628	CP86		C03	
A01-0206.c2578	CP101		C01	
J01-0027.c5932	CP123		D05	
N02-0260.c6863	CP343		C04	
O01-0099.c2173	CP163		B04	
Q01-0059.c7046	CP183		B05	
A04-0343.c7262	CP371		B05	
A0215.c4967	CS11			
A02-0003.c7104	CP0.1		C06	
E01-0193.c7541	CP267		A02	
B01-0338.c5732	CP315		A05	
A02-0940.c4510	CP320		B03	
N03-0291.c547	CP369		B05	
H01-0374.c6435	CP267		C01	
B01-0299.c2234	CP266		C03	
M03-0129.c6918	CP252		C05	
L01-0303.c1354	CP333		D05	
L01-0135.c6712	CP162		C02	
A02-0609.c1933	CP217		D03	
M03-0133.c2065	CP246		D01	
B01-0285.c6230	CP299		C02	
E01-0110.c990	CP148		A03	
R02-0144.c2807	CP265		A01	
N03-0132.c4750	CP198		A03	
A03-0007.c6064	CP13		A04	
T01-0075.c4625	CP305		B02	
R02-0171.c1749	CP274		A04	
D01-0013.c6866	CP62		A06	
A02-0381.c4684	CP91		A04	
Q01-0063.c2941	CP188		B03	
A02-0592.c435	CP237		B02	
A01-0256.c3323	CP150		B03	
T01-0008.c7121	CP205		D04	
C01-0084.c139	CP87		C06	
H01-0507.c3248	CP356		B06	
A02-0056.c3180	CP7		B05	
A02-0723.c4791	CP268		A05	
L01-0319.c6924	CP318		D05	
A0247.c3801	CS2			
A04-0346.c2176	CP372		B04	
A02-0934.c2267	CP315		D01	
N03-0003.c6074	CP119		C04	
K01-0020.c1021	CP62		C04	
H01-0131.c1526	CP86		B01	
B01-0166.c2258	CP128		C03	
B01-0139.c1229	CP138		A01	
G01-0236.c580	CP1		B05	
A02-1074.c6590	CP349		B04	
Q01-0272.c1736	CP345		B04	
O01-0026.c4898	CP79		A04	
A02-0986.c7043	CP330		A05	
N02-0025.c3910	CP103		A04	
A04-0207.c6802	CP278		D02	
M04-0160.c3035	CP331		D05	
E02-0227.c304	CP309		C03	
R02-0139.c360	CP260		A01	
G01-0186.c1004	CP188		C06	
N02-0041.c884	CP87		B06	
L01-0043.c411	CP88		A05	
A01-0397.c6765	CP273		B01	
A1052.c2081	CP0.7			
A02-1147.c238	CP372		A03	
H01-0335.c4135	CP234		A01	
H01-0464.c5670	CP327		A05	
T01-0050.c4819	CP233		D01	
G01-0323.c7410	CP366		D01	
N02-0110.c397	CP179		A02	
R02-0199.c7610	CP328		D04	
N03-0249.c571	CP322		C02	
M04-0119.c4484	CP248		C02	
H01-0358.c7150	CP255		B02	
Q01-0085.c6191	CP206		A06	
B01-0124.c1523	CP90		A06	
A01-0444.c5522	CP308		A05	
M03-0112.c469	CP224		B03	
E01-0054.c1347	CP71		B02	
N02-0062.c5831	CP128		C05	
M03-0189.c6859	CP317		A06	
G01-0157.c100	CP154		A01	
O01-0133.c3547	CP229		C06	
E01-0060.c4352	CP77		B02	
A02-0551.c1949	CP150		A04	
A02-0351.c3264	CP79		D03	
S01-0007.c5754	CP165		A03	
A02-0987.c1733	CP330		A06	
D01-0051.c444	CP90		C05	
K01-0063.c6312	CP118		C04	
C01-0230.c6125	CP201		B01	
A1072.c6241	CP0.7			
B01-0135.c6901	CP166		C01	
N02-0004.c1835	CP118		A04	
N02-0018.c5470	CP103		A03	
A01-0352.c6460	CP232		C04	
T01-0087.c5330	CP323		B06	
N03-0215.c4425	CP292		D02	
A0228.c191	CS11			
A01-0065.c6048	CP27		B01	
G01-0232.c2840	CP193		A02	
K01-0153.c4387	CP240		D02	
A03-0272.c2319	CP109		D06	
C01-0163.c429	CP133		D02	
D01-0071.c3500	CP87		A04	
O01-0034.c125	CP97		C01	
A02-0905.c2568	CP315		C04	
N02-0143.c6037	CP222		B01	
L01-0329.c6873	CP334		A04	
P01-0007.c3804	CP88		B06	
A01-0453.c5311	CP311		A06	
A02-1014.c2634	CP337		A04	
A1110.c4292	CP0.9			
L01-0203.c6283	CP241		D06	
O01-0070.c973	CP134		B05	
A01-0305.c6522	CP189		A02	
A02-0933.c7431	CP30		C05	
G01-0300.c5460	CP305		C04	
E02-0116.c2163	CP138		A06	
A02-0502.c4442	CP219		D04	
A02-0759.c2498	CP277		A02	
A02-0678.c7631	CP254		B01	
N02-0027.c1050	CP69		D02	
A02-0443.c2419	CP117		B02	
A02-0556.c6876	CP228		A03	
A02-0205.c3626	CP32		D01	
E02-0239.c5810	CP327		A06	
L01-0114.c1629	CP139		B03	
N02-0106.c7361	CP234		A04	
C01-0354.c2544	CP341		A04	
A02-0864.c1780	CP288		B02	
S01-0060.c4309	CP198		A02	
M03-0107.c2075	CP212		A03	
H01-0023.c2012	CP32		C01	
K01-0175.c1139	CP261		C01	
T01-0059.c1338	CP276		C05	
G01-0127.c7288	CP94		C01	
M03-0087.c1980	CP162		B04	
M03-0198.c2166	CP328		B02	
A04-0327.c6286	CP356		B02	
A01-0293.c3538	CP180		B05	
L01-0112.c3821	CP134		A04	
K01-0045.c1457	CP59		C02	
M03-0080.c4934	CP172		D06	
K01-0161.c95	CP252		A01	
A01-0292.c4049	CP180		B04	
E02-0077.c6545	CP82		A02	
N03-0232.c378	CP318		B05	
O01-0198.c3623	CP306		B04	
N03-0209.c4391	CP280		B06	
C01-0293.c5308	CP273		C01	
P01-0009.c546	CP80		A03	
O01-0199.c3931	CP293		C04	
O01-0027.c3398	CP86		C05	
O01-0288.c5660	CP365		B06	
B01-0161.c7232	CP155		D04	
A02-0945.c6211	CP320		C02	
R01-0043.c3426	CP120		A01	
H01-0134.c4531	CP86		B03	
E02-0178.c4033	CP210		B02	
A03-0079.c6775	CP35		A06	
A02-0861.c4704	CP284		A06	
G01-0112.c3237	CP121		A02	
H01-0012.c5383	CP25		B04	
B01-0098.c6976	CP86		C04	
H01-0255.c1146	CP175		B03	
O01-0162.c2698	CP248		D03	
A03-0368.c2277	CP159		D04	
A1090.c2920	CP0.9			
N02-0107.c1200	CP234		B01	
J01-0150.c915	CP247		D02	
H01-0317.c4241	CP224		A02	
R01-0061.c2796	CP167		B03	
A01-0304.c5141	CP189		A01	
H01-0235.c3554	CP161		D01	
A02-0118.c512	CP16		A06	
A02-0059.c6375	CP5		D06	
D01-0284.c164	CP353		C05	
H01-0101.c2717	CP62		D05	
M04-0176.c4787	CP347		C01	
A04-0336.c4958	CP361		B05	
B01-0236.c153	CP201		C04	
H01-0332.c5386	CP233		D04	
L01-0333.c2124	CP338		A04	
A02-0412.c6973	CP136		C01	
A04-0032.c2159	CP95		C02	
O01-0160.c1143	CP236		A05	
H01-0490.c4977	CP339		D01	
L01-0118.c3423	CP152		A03	
N02-0249.c2889	CP321		B01	
N02-0119.c4036	CP189		B01	
H01-0331.c2793	CP233		D03	
A02-0784.c738	CP268		C04	
L01-0083.c2118	CP123		A01	
A0232.c1196	CS11			
A03-0329.c6184	CP137		A03	
A1109.c6263	CP0.9			
R02-0017.c396	CP174		C04	
S01-0048.c6208	CP98		B03	
A02-0763.c6470	CP277		A06	
A03-0030.c2101	CP16		C03	
A01-0255.c931	CP150		B02	
A04-0191.c4721	CP248		B06	
A02-0586.c533	CP232		B02	
C01-0126.c6152	CP101		C06	
A01-0372.c4937	CP251		B03	
H01-0192.c1454	CP126		A05	
A04-0117.c5686	CP188		A04	
A02-0202.c1963	CP31		C04	
