extraction_id	concentration_id	extraction_batch_id	extraction_comment	extraction_location_in_batch	extraction_location_in_storage
A02-0768.e1124		EP278		B03	B3
J01-0009.e3089		EP102		E03	A3
G01-0301.e1101		EP351		E07	F7
A01-0502.e6005		EP357		A01	NAB 89 G1
A02-0606.e7691		EP217		C04	E4
Q01-0172.e5068		EP287		E02	G2
M04-0188.e3357		EP333		C03	E3
A01-0051.e4331		EP20		A06	F6
A02-0288.e3909		EP122		B01	K1
D01-0075.e4929		EP106		B05	J5
J01-0095.e1578		EP196		F05	
A02-1095.e3444		EP357		E03	K3
M04-0036.e2143		EP135		F04	B4
M03-0092.e4206		EP168		E03	G3
B01-0204.e3281		EP234		C06	J6
A02-0690.e2438		EP248		A05	D5
G01-0217.e2915		EP276		A06	G6
N03-0118.e1634		EP187		F07	J7
A02-0640.e2294		EP244		B04	C4
A02-0707.e147		EP262		B02	K2
A02-0414.e4800		EP102		A04	I4
A02-0715.e3196		EP265		A08	I8
L01-0163.e7409		EP178		D08	H8
H01-0139.e1319		EP90		E06	K6
P01-0030.e7342		EP69		C01	L1
R02-0158.e4994		EP303		G02	C2
N03-0039.e4847		EP95		A03	A3
F01-0020.e1582		EP22		B05	L5
A03-0092.e5991		EP42		A08	E8
A02-0722.e2454		EP265		B07	J7
H01-0144.e3702		EP90		E07	K7
A02-0899.e5106		EP319		G08	I8
A02-0032.e3468		EP7		A05	F5
D01-0064.e1118		EP90		A02	G2
A01-0413.e2146		EP287		C08	E8
N02-0169.e7609		EP256		D05	K5
M03-0027.e1917		EP102		D02	L2
C01-0264.e1199		EP242		D07	G7
H01-0353.e500		EP250		D06	J6
A02-0461.e3759		EP121		E01	H1
M04-0042.e6721		EP130		E01	J1
A03-0001.e5655		EP12		A09	E1
R02-0219.e1698		EP303		G08	C8
A02-0702.e4671		EP265		A02	I2
H01-0294.e7384		EP200		B08	E8
Q01-0257.e6689		EP336		F03	B3
D01-0010.e3193		EP82		B02	K2
A04-0196.e1717		EP234		C05	J5
A01-0399.e4203		EP276		D08	J8
A03-0047.e2300		EP33		B03	B3
O01-0012.e7085		EP108		F07	G7
A03-0235.e2654		EP116		D07	D7
A02-0682.e3668		EP256		B03	I3
E02-0168.e3598		EP200		C06	F6
L01-0294.e7325		EP307		C07	B7
A02-0588.e2629		EP234		B01	I1
H01-0098.e7112		EP54		B03	J3
L01-0129.e4069		EP163		B05	A5
H01-0349.e5103		EP244		E02	F2
C01-0335.e3519		EP324		C04	I4
L01-0212.e7175		EP225		H05	B5
T01-0033.e3766		EP262		C10	F3
J01-0116.e6586		EP220		E01	J1
A03-0308.e7562		EP128		A06	C6
A04-0063.e3156		EP128		A07	C7
E02-0069.e2139		EP90		D05	J5
D01-0320.e6081		EP370		B01	H1
A0024.e5575		EP0.005			
A02-0735.e6161		EP272		B01	F1
N02-0269.e3378		EP343		C01	J1
B01-0177.e3205		EP192		B01	G1
S01-0032.e1557		EP130		B05	G5
A01-0119.e5508		EP48		B03	I3
R02-0236.e1012		EP353		C06	L6
A02-0405.e897		EP100		F02	H2
A02-0680.e159		EP256		B01	I1
C01-0191.e1889		EP196		B01	
M03-0009.e6828		EP84		E04	E4
A01-0254.e3382		EP144		B07	B7
A02-0629.e4288		EP242		B03	E3
C01-0076.e4195		EP78		B03	L3
A02-0286.e5951		EP59		A04	I4
H01-0163.e7241		EP106		A08	I8
B01-0168.e423		EP109		B07	K7
B01-0308.e6304		EP368		A02	A2
J01-0003.e3007		EP57		C01	F1
S01-0064.e5013		EP205		B06	D6
N03-0148.e3763		EP220		E05	J5
A01-0054.e1658		EP20		A09	G1
E02-0151.e804		EP181		B06	E6
J01-0220.e3644		EP338		C07	E7
L01-0325.e1267		EP313		G07	F7
A02-0582.e2638		EP236		A01	NAB 61 D1
E01-0084.e6583		EP104		F01	H1
L01-0151.e3153		EP178		D06	H6
R02-0231.e3987		EP343		C05	J5
H01-0254.e2523		EP175		D08	B8
L01-0046.e5455		EP79		C01	D1
R01-0058.e1498		EP168		A08	C8
A02-1059.e860		EP0		B11	G2
A02-0555.e4509		EP234		A01	NAB 60 H1
A0032.e2243		EP0.005			
C01-0013.e5751		EP22		C04	A4
H01-0503.e29		EP351		E05	F5
G01-0098.e7515		EP76		D03	H3
Q01-0271.e6321		EP0		E01	C1
E01-0239.e4775		EP351		D01	E1
A02-0172.e4471		EP25		A03	E3
M04-0141.e5891		EP281		B07	H7
A01-0101.e2962		EP27		A01	K1
A01-0328.e1065		EP211		A03	G3
D01-0098.e2347		EP166		D04	L4
B01-0102.e5511		EP116		C02	C2
Q01-0107.e3613		EP222		B06	B6
J01-0174.e2526		EP287		B02	D2
M04-0134.e4272		EP303		D05	L5
H01-0300.e5016		EP206		B06	J6
G01-0233.e5162		EP211		E05	K5
H01-0158.e3851		EP100		C08	E8
A0250.e5192		EP0.003			
K01-0049.e6814		EP92		E07	E7
A02-0380.e384		EP92		A03	A3
E02-0224.e6530		EP283		B08	D8
A01-0496.e5044		EP351		A01	NAB 88 B1
R01-0060.e6097		EP184		B08	B8
A02-1019.e7099		EP338		A08	C8
H01-0528.e1568		EP373		D05	G5
K01-0094.e2004		EP158		A08	K8
E02-0095.e5005		EP67		A05	F5
C01-0221.e7506		EP192		A04	F4
R01-0185.e1793		EP348		E07	L7
A01-0117.e6511		EP45		A02	C2
T01-0023.e6455		EP227		C06	F6
J01-0246.e146		EP370		F05	L5
A01-0095.e6939		EP41		A07	G7
K01-0137.e5078		EP214		C01	C1
A03-0204.e1993		EP42		B07	F7
O01-0002.e1185		EP124		E06	E6
R02-0264.e7652		EP365		G07	I7
A04-0066.e6695		EP132		C04	E4
D01-0314.e7492		EP370		A08	G8
A04-0115.e878		EP192		D04	I4
N02-0056.e112		EP140		D08	A8
A02-0874.e6016		EP285		B05	J5
E02-0065.e4140		EP95		E05	E5
E01-0113.e5207		EP155		B07	D7
K01-0037.e2972		EP88		F07	F7
K01-0105.e2988		EP178		B05	F5
M03-0126.e2647		EP247		F02	A2
J01-0070.e5082		EP173		F06	H6
M04-0097.e3040		EP173		C07	E7
C01-0037.e3482		EP36		A05	I5
A02-1007.e2229		EP336		C03	K3
K01-0177.e3991		EP285		E01	NAB 73 A1
R01-0199.e4854		EP324		C07	I7
M03-0049.e3095		EP108		B05	C5
E01-0086.e6640		EP110		B01	I1
H01-0004.e1667		EP26		B02	I2
