archive_batch_id	archive_batch_comment	archive_batch_record_version	archive_date	archive_eluant	archive_input_ml	archive_machine	archive_method	archive_method_lot_id	archive_output_ml	archive_run_by
A04-0027.RB3534		1.0		Zymo DNA/RNA Shield						
C01-0328.RB6948		1.0		Zymo DNA/RNA Shield						
R02-0197.RB4337		1.0		Zymo DNA/RNA Shield						
M03-0144.RB517		1.0		Zymo DNA/RNA Shield						
A1045.RB7592		1.0		Zymo DNA/RNA Shield						
T01-0005.RB6627		1.0		Zymo DNA/RNA Shield						
C01-0262.RB3362		1.0		Zymo DNA/RNA Shield						
B01-0299.RB2234		1.0		Zymo DNA/RNA Shield						
T01-0072.RB4895		1.0		Zymo DNA/RNA Shield						
R01-0206.RB705		1.0		Zymo DNA/RNA Shield						
H01-0289.RB972		1.0		Zymo DNA/RNA Shield						
G01-0090.RB4106		1.0		Zymo DNA/RNA Shield						
L01-0322.RB463		1.0		Zymo DNA/RNA Shield						
A02-0838.RB4823		1.0		Zymo DNA/RNA Shield						
N02-0227.RB3691		1.0		Zymo DNA/RNA Shield						
E01-0241.RB3170		1.0		Zymo DNA/RNA Shield						
A01-0325.RB596		1.0		Zymo DNA/RNA Shield						
K01-0011.RB5373		1.0		Zymo DNA/RNA Shield						
A04-0002.RB1084		1.0		Zymo DNA/RNA Shield						
J01-0245.RB3556		1.0		Zymo DNA/RNA Shield						
L01-0256.RB2393		1.0		Zymo DNA/RNA Shield						
G01-0300.RB5460		1.0		Zymo DNA/RNA Shield						
J01-0151.RB4299		1.0		Zymo DNA/RNA Shield						
A01-0119.RB5508		1.0		Zymo DNA/RNA Shield						
H01-0006.RB1617		1.0		Zymo DNA/RNA Shield						
L01-0156.RB5832		1.0		Zymo DNA/RNA Shield						
A02-0866.RB1704		1.0		Zymo DNA/RNA Shield						
N02-0184.RB1750		1.0		Zymo DNA/RNA Shield						
Q01-0266.RB3886		1.0		Zymo DNA/RNA Shield						
H01-0102.RB5430		1.0		Zymo DNA/RNA Shield						
N02-0226.RB5085		1.0		Zymo DNA/RNA Shield						
J01-0179.RB7026		1.0		Zymo DNA/RNA Shield						
L01-0340.RB1186		1.0		Zymo DNA/RNA Shield						
P01-0072.RB4801		1.0		Zymo DNA/RNA Shield						
B01-0261.RB3743		1.0		Zymo DNA/RNA Shield						
N03-0056.RB2371		1.0		Zymo DNA/RNA Shield						
J01-0111.RB3643		1.0		Zymo DNA/RNA Shield						
A04-0104.RB4783		1.0		Zymo DNA/RNA Shield						
P01-0005.RB6650		1.0		Zymo DNA/RNA Shield						
A01-0475.RB202		1.0		Zymo DNA/RNA Shield						
H01-0454.RB1496		1.0		Zymo DNA/RNA Shield						
E02-0241.RB1609		1.0		Zymo DNA/RNA Shield						
L01-0191.RB5954		1.0		Zymo DNA/RNA Shield						
G01-0212.RB7502		1.0		Zymo DNA/RNA Shield						
R01-0125.RB1727		1.0		Zymo DNA/RNA Shield						
A03-0002.RB2463		1.0		Zymo DNA/RNA Shield						
N02-0195.RB861		1.0		Zymo DNA/RNA Shield						
A02-0641.RB6604		1.0		Zymo DNA/RNA Shield						
A02-0674.RB5592		1.0		Zymo DNA/RNA Shield						
O01-0011.RB134		1.0		Zymo DNA/RNA Shield						
M03-0165.RB2480		1.0		Zymo DNA/RNA Shield						
C01-0333.RB5747		1.0		Zymo DNA/RNA Shield						
E01-0230.RB593		1.0		Zymo DNA/RNA Shield						
M03-0056.RB3115		1.0		Zymo DNA/RNA Shield						
R01-0116.RB2155		1.0		Zymo DNA/RNA Shield						
A01-0284.RB4571		1.0		Zymo DNA/RNA Shield						
A04-0036.RB57		1.0		Zymo DNA/RNA Shield						
M04-0044.RB5046		1.0		Zymo DNA/RNA Shield						
B01-0091.RB285		1.0		Zymo DNA/RNA Shield						
Q01-0100.RB4367		1.0		Zymo DNA/RNA Shield						
D01-0234.RB4838		1.0		Zymo DNA/RNA Shield						
A02-0425.RB6300		1.0		Zymo DNA/RNA Shield						
A02-0676.RB5556		1.0		Zymo DNA/RNA Shield						
A02-0737.RB3347		1.0		Zymo DNA/RNA Shield						
A02-0392.RB1145		1.0		Zymo DNA/RNA Shield						
A02-0950.RB1323		1.0		Zymo DNA/RNA Shield						
J01-0239.RB2589		1.0		Zymo DNA/RNA Shield						
C01-0355.RB1103		1.0		Zymo DNA/RNA Shield						
A02-0130.RB5936		1.0		Zymo DNA/RNA Shield						
S01-0009.RB5197		1.0		Zymo DNA/RNA Shield						
A02-0031.RB4681		1.0		Zymo DNA/RNA Shield						
