sample_id	location_id	sample_collection_by	sample_collection_end_datetime	sample_collection_start_datetime	sample_comment	sample_event	sample_flow	sample_ph_lab	sample_qc	sample_received_by	sample_received_date	sample_recovered_datetime	sample_status
A0212.2587	StarCityWWTP-01	GS	1/4/21 23:59	1/4/21 0:00		Routine Surveillance	11.872		Pass	TD	1/8/21	1/4/21 0:00	Complete
A04-0033.5599	CheatLakeWWTP-01		3/12/22 8:00	3/11/22 8:00		Routine Surveillance	0.652	6.79	Pass	AJ	3/18/22	3/12/22 8:00	Complete
A02-1083.7170	Seneca-01	GZ	2/27/23 9:00	2/25/23 9:00		Routine Surveillance			Pass	AJ	2/27/23	2/27/23 11:45	Complete
C01-0346.7058	WheelingWWTP-01		1/31/23 7:00	1/30/23 7:00		Routine Surveillance	10.926		Pass	AJ	2/27/23	1/31/23 7:00	Complete
A02-0770.4940	Seneca-01	GZ	11/9/22 9:00	11/7/22 9:00		Routine Surveillance			Pass	AJ	11/9/22	11/9/22 10:00	Complete
A02-1082.946	UPlace-01	GZ	2/27/23 9:00	2/25/23 9:00		Routine Surveillance			Pass	AJ	2/27/23	2/27/23 11:39	Complete
A02-0445.4631	CollegePark-02	GZ	4/11/22 9:00	4/9/22 9:00		Routine Surveillance		6.84	Pass	AJ	4/11/22	4/11/22 11:01	Complete
A02-0298.6353	HonorsSummit-01 (MUB)	GZ	1/21/22 9:00	1/19/22 9:00		Routine Surveillance		7.15	Pass	AJ	1/21/22	1/21/22 10:37	Complete
N03-0186.3498	SalemWWTP-01		9/20/22 7:30	9/19/22 7:30		Routine Surveillance	0.84483		Pass	AJ	9/21/22	9/20/22 7:30	Complete
N03-0140.373	SalemWWTP-01		7/21/22 7:45	7/20/22 7:45		Routine Surveillance	0.44742		Pass	AJ	7/27/22	7/21/22 7:44	Complete
G01-0123.4615	KeyserWWTP-01		4/9/22 8:00	4/8/22 9:00		Routine Surveillance	2.06	7.15	Pass	JL	4/14/22	4/9/22 8:00	Complete
G01-0229.441	KeyserWWTP-01		8/17/22 8:00	8/16/22 9:00		Routine Surveillance	0.606		Pass	AJ	8/19/22	8/17/22 8:50	Complete
N02-0192.1129	ClarksburgWWTP-01		11/2/22 8:00	11/1/22 8:00		Routine Surveillance			Pass	SB	11/3/22	11/2/22 8:00	Complete
K01-0106.492	ParkersburgWWTP-01		6/21/22 6:37	6/20/22 6:37		Routine Surveillance	4.647	7.25	Pass	AJ	6/29/22	6/21/22 6:37	Complete
H01-0106.7665	MoundsvilleWWTP-01		1/23/22 8:00	1/22/22 8:00		Routine Surveillance	1.9	7.11	Pass	AJ	1/28/22	1/23/22 8:00	Complete
A02-1044.886	MtValley-01	GZ	2/15/23 9:00	2/13/23 9:00		Routine Surveillance			Pass	AJ	2/15/23	2/15/23 10:25	Complete
J01-0173.7234	AlpineLakeWWTP-01		11/12/22 7:30	11/11/22 7:30		Routine Surveillance	0.527		Pass	AJ	11/17/22	11/12/22 7:30	Complete
M03-0130.5964	ManningtonWWTP-01		9/7/22 11:00	9/6/22 11:00		Routine Surveillance	0.381		Pass	AJ	9/14/22	9/7/22 11:00	Complete
A01-0379.2419	StarCityWWTP-01		10/9/22 0:00	10/8/22 0:00		Routine Surveillance	7.9		Pass	LW	10/12/22	10/9/22 0:00	Complete
H01-0001.4337	MoundsvilleWWTP-01	DRC	9/28/21 8:00	9/27/21 8:00		Routine Surveillance			Pass	JL	10/1/21	9/28/21 8:10	Complete
E02-0191.5617	AthensWWTP-01		8/31/22 8:00	8/30/22 8:00		Routine Surveillance	0.156		Pass	AJ	9/6/22	8/31/22 8:00	Complete
A04-0237.4107	CheatLakeWWTP-01		12/28/22 8:00	12/27/22 8:00		Routine Surveillance	0.6		Pass	AJ	12/28/22	12/28/22 8:00	Complete
T01-0013.6503	PointPleasantWWTP-01		8/10/22 7:00	8/9/22 7:00		Routine Surveillance	0.19		Pass	AJ	8/22/22	8/10/22 7:00	Complete
M04-0106.6950	FarmingtonWWTP-01		8/31/22 0:00	8/30/22 0:00		Routine Surveillance	0.104		Pass	AJ	9/7/22	8/31/22 0:00	Complete
A1094.3167	StarCityWWTP-01	EL	7/18/21 23:55	7/18/21 0:00		Routine Surveillance	8.102		Pass	JL	7/30/21	7/18/21 23:55	Complete
H01-0060.5478	MoundsvilleWWTP-01		1/2/22 8:00	1/1/22 8:00		Routine Surveillance		6.85	Pass	JL	1/12/22	1/2/22 8:15	Complete
A02-0962.6478	OaklandE-02	GZ	1/20/23 9:00	1/18/23 9:00		Routine Surveillance						1/20/23 12:04	Complete
A02-0276.2289	HonorsSummit-01 (MUB)	GZ	12/20/21 9:00	12/18/21 9:00		Routine Surveillance		7.61	Pass	AJ	12/20/21	12/20/21 9:00	Complete
P01-0039.3618	StMarysWWTP-01		3/29/22 9:10	3/28/22 9:10		Routine Surveillance	0.224	6.9	Pass	AJ	3/31/22	3/29/22 9:40	Complete
C01-0298.2310	WheelingWWTP-01		11/3/22 7:00	11/2/22 7:00		Routine Surveillance	4.734		Pass	AJ	11/9/22	11/3/22 7:00	Complete
A04-0236.2699	CheatLakeWWTP-01		12/21/22 8:00	12/20/22 8:00		Routine Surveillance	0.563		Pass	AJ	12/28/22	12/21/22 8:00	Complete
G01-0263.3441	KeyserWWTP-01		9/13/22 8:00	9/12/22 9:00		Routine Surveillance	1.098		Pass	AJ	9/16/22	9/13/22 8:15	Complete
A02-0726.725	HonorsSummit-01 (MUB)	GZ	10/26/22 9:00	10/24/22 9:00		Routine Surveillance			Pass	AJ	10/26/22	10/26/22 11:00	Complete
A02-1066.1464	TowersBB-01	GZ	2/22/23 9:00	2/20/23 9:00		Routine Surveillance			Pass	AJ	2/22/23	2/22/23 11:33	Complete
R02-0233.4587	ElkinsWWTP-01		2/2/23 6:00	2/1/23 6:00		Routine Surveillance	2.957		Pass	AJ	2/10/23	2/2/23 6:00	Complete
A02-0695.687	TowersBB-01	GZ	10/10/22 9:00	10/8/22 9:00		Routine Surveillance			Pass	LW	10/12/22	10/10/22 9:53	Complete
R02-0237.7322	ElkinsWWTP-01		3/4/23 6:00	3/3/23 6:00		Routine Surveillance	4.751		Pass	AJ	3/8/23	3/4/23 6:00	Complete
H01-0233.5708	MoundsvilleWWTP-01		5/30/22 8:00	5/29/22 8:00		Routine Surveillance	1.8		Pass	JL	6/3/22	5/30/22 8:00	Complete
E02-0068.5674	AthensWWTP-01		3/3/22 8:00	3/2/22 8:00		Routine Surveillance	0.127	5.21	Pass	AJ	3/4/22	3/3/22 8:00	Complete
Q01-0014.4832	MadisonWWTP-01		5/18/22 8:00	5/17/22 8:00		Routine Surveillance	0.331	6.87	Pass	JL	5/19/22	5/18/22 8:00	Complete
A02-0740.3062	Seneca-01	GZ	11/2/22 9:00	10/31/22 9:00		Routine Surveillance			Pass	LW	11/2/22	11/2/22 9:49	Complete
N03-0273.6275	SalemWWTP-01		2/23/23 7:30	2/22/23 7:30		Routine Surveillance	0.77838		Pass	AJ	3/1/23	2/23/23 7:30	Complete
A04-0140.505	CheatLakeWWTP-01		8/16/22 8:00	8/15/22 8:00		Routine Surveillance	0.577		Pass	AJ	8/17/22	8/16/22 8:00	Complete
G01-0305.7351	KeyserWWTP-01		2/27/23 9:00	2/26/23 9:00		Routine Surveillance	1.058		Pass	AJ	3/2/23	2/27/23 9:00	Complete
K01-0121.3718	ParkersburgWWTP-01		7/28/22 6:30	7/27/22 6:30		Routine Surveillance	4.551		Pass	AJ	8/3/22	7/28/22 6:30	Complete
B01-0378.4403	CharlestonWWTP-01		1/25/23 7:00	1/24/23 7:00	LEFT IN OFFICE OVER WEEKEND	Routine Surveillance	10.4		Pass	AJ	1/30/23	1/25/23 7:00	Complete
A01-0202.835	StarCityWWTP-01	GG	3/16/22 0:00	3/15/22 0:00		Routine Surveillance	10.6	6.82	Pass	AJ	3/18/22	3/16/22 0:00	Complete
O01-0123.6213	GraftonWWTP-01		7/5/22 7:00	7/4/22 7:00		Routine Surveillance	1.38	6.83	Pass	AJ	7/6/22	7/5/22 7:00	Complete
A02-0723.4790	Seneca-01	GZ	10/26/22 9:00	10/24/22 9:00		Routine Surveillance			Pass	AJ	10/26/22	10/26/22 10:50	Complete
A04-0217.1425	CheatLakeWWTP-01		11/23/22 8:00	11/22/22 8:00		Routine Surveillance	0.535		Pass	AJ	11/30/22	11/23/22 8:00	Complete
D01-0135.2032	CharlesTownWWTP-01		8/10/22 7:40	8/9/22 7:40		Routine Surveillance	1.22		Pass	AJ	8/16/22	8/10/22 7:40	Complete
T01-0060.1386	PointPleasantWWTP-01		11/5/22 7:00	11/4/22 7:00		Routine Surveillance	0.11		Pass	AJ	11/11/22	11/5/22 7:00	Complete
E02-0134.7181	AthensWWTP-01		5/25/22 8:00	5/24/22 8:00		Routine Surveillance	0.638	7	Pass	AJ	5/27/22	5/25/22 8:00	Complete
H01-0275.2685	MoundsvilleWWTP-01		7/9/22 8:00	7/8/22 8:00		Routine Surveillance	1.5	7.21	Pass	AJ	7/15/22	7/9/22 8:00	Complete
G01-0019.2562	KeyserWWTP-01	TD	11/28/21 8:00	11/27/21 9:00		Routine Surveillance	0.622	7.31	Pass	AJ	12/2/21	11/28/21 8:30	Complete
A02-0891.5311	MtValley-01	GZ	1/12/23 9:00	1/11/23 9:00		Routine Surveillance			Pass	AJ	1/17/23	1/12/23 10:03	Complete
N03-0299.285	SalemWWTP-01		3/16/23 7:30	3/15/23 7:30		Routine Surveillance	0.56878		Pass	AJ	3/22/23	3/16/23 7:30	Complete
A04-0089.821	CheatLakeWWTP-01		6/1/22 8:00	5/31/22 8:00		Routine Surveillance	0.527	7.02	Pass	AJ	6/6/22	6/1/22 8:00	Complete
E02-0176.5828	AthensWWTP-01		8/9/22 8:00	8/8/22 8:00		Routine Surveillance	0.189		Pass	AJ	8/16/22	8/9/22 8:00	Complete
N02-0185.2250	ClarksburgWWTP-01		11/21/22 7:00	11/20/22 7:00		Routine Surveillance	8.147		Pass	AJ	11/28/22	11/21/22 7:00	Complete
A02-1054.4813	OaklandE-02	GZ	2/17/23 9:00	2/15/23 9:00		Routine Surveillance			Pass	AJ	2/20/23	2/17/23 9:19	Complete
A02-0899.5105	MtValley-01	GZ	1/9/23 9:00	1/9/23 9:00		Routine Surveillance			Pass	AJ	1/11/23	1/11/23 10:50	Complete
A02-0595.1638	HonorsSummit-01 (MUB)	GZ	9/9/22 21:00	9/7/22 21:00		Routine Surveillance			Pass	AJ	9/9/22	9/9/22 12:42	Complete
H01-0395.3694	MoundsvilleWWTP-01		11/6/22 8:00	11/5/22 8:00		Routine Surveillance	1.5		Pass	AJ	11/14/22	11/6/22 8:00	Complete
A03-0192.83	MorgantownHS-01	GZ	1/24/22 14:00	1/24/22 6:00		Routine Surveillance		8.23	Pass	AJ	1/25/22	1/25/22 12:05	Complete
A03-0138.7624	MountainviewES-01	GZ	12/10/21 14:00	12/10/21 6:00		Routine Surveillance		8.93	Pass	AJ	12/13/21	12/10/21 13:30	Complete
L01-0151.3152	WestUnionWWTP-01		6/28/22 9:00	6/27/22 9:00		Routine Surveillance	0.359	7.23	Pass	AJ	6/29/22	6/28/22 9:00	Complete
J01-0200.5496	AlpineLakeWWTP-01		12/24/22 7:30	12/23/22 7:30		Routine Surveillance	0.114		Pass	AJ	1/4/23	12/24/22 7:30	Complete
H01-0192.1453	MoundsvilleWWTP-01		4/18/22 8:00	4/17/22 8:00		Routine Surveillance	2	7.1	Pass	JL	4/22/22	4/18/22 8:00	Complete
M03-0220.7656	ManningtonWWTP-01		3/4/23 11:00	3/3/23 11:00		Routine Surveillance	0.425		Pass	AJ	3/8/23	3/4/23 11:00	Complete
D01-0052.6769	CharlesTownWWTP-01		4/14/22 7:30	4/13/22 7:30		Routine Surveillance	1.25	7.14	Pass	AJ	4/18/22	4/14/22 7:30	Complete
T01-0084.2917	PointPleasantWWTP-01		12/23/22 7:00	12/22/22 7:00		Routine Surveillance	0.32		Pass	AJ	1/6/23	12/23/22 7:00	Complete
R01-0186.2161	HuttonsvilleWWTP-01		2/17/23 9:00	2/16/23 9:00		Routine Surveillance	0.221		Pass	AJ	2/22/23	2/17/23 9:00	Complete
G01-0205.363	KeyserWWTP-01		10/25/22 8:00	10/24/22 8:00		Routine Surveillance	0.814		Pass	AJ	10/28/22	10/25/22 8:00	Complete
G01-0102.4986	KeyserWWTP-01		4/16/22 8:00	4/15/22 8:00		Routine Surveillance	1.148	7.32	Pass	JL	4/21/22	4/16/22 8:00	Complete
L01-0356.5262	WestUnionWWTP-01		3/10/23 9:10	3/9/23 9:10		Routine Surveillance			Fail: Missing Required Data	AJ	3/15/23	3/10/23 9:10	Complete
L01-0132.6496	WestUnionWWTP-01		5/30/22 9:00	5/29/22 9:00		Routine Surveillance	0.273	7.15	Pass	AJ	6/1/22	5/30/22 9:00	Complete
A03-0178.6232	MountainviewES-01	GZ	2/16/22 14:00	2/16/22 6:00		Routine Surveillance		4.92	Pass	AJ	2/18/22	2/17/22 10:45	Processing
G01-0206.3828	KeyserWWTP-01		11/9/22 9:00	11/8/22 9:00		Routine Surveillance	0.516		Pass	AJ	11/10/22	11/9/22 9:00	Complete
A02-0992.7379	TowersBB-01	GZ	1/30/23 9:00	1/28/23 9:00		Routine Surveillance			Pass	AJ	1/30/23	1/30/23 11:15	Complete
B01-0269.3121	CharlestonWWTP-01		10/6/22 7:00	10/5/22 7:00		Routine Surveillance	7.98		Pass	AJ	10/7/22	10/6/22 7:00	Complete
A03-0107.9	NorthES-01	BL	10/15/21 14:00	10/15/21 6:00		Routine Surveillance			Pass	JL	10/22/21	10/15/21 15:15	Complete
M04-0073.6300	FarmingtonWWTP-01		5/18/22 10:00	5/17/22 10:00		Routine Surveillance	0.083	7.32	Pass	AJ	5/25/22	5/18/22 11:00	Complete
N02-0292.5503	ClarksburgWWTP-01		3/14/23 7:00	3/13/23 7:00		Routine Surveillance	8.44		Pass	AJ	3/20/23	3/14/23 7:00	Complete
A0031.1691	StarCityWWTP-01	GG	12/1/20 23:59	12/1/20 0:00		Routine Surveillance	11.562		Pass	TD	12/4/20	12/1/20 0:00	Complete
E01-0211.1043	PrincetonWWTP-01		11/29/22 9:00	11/28/22 9:00		Routine Surveillance	2.118		Pass	AJ	12/2/22	11/29/22 9:00	Complete
B01-0064.3919	CharlestonWWTP-01	-	11/16/21 7:00	11/15/21 7:00		Routine Surveillance	7.236	6.94	Pass	AJ	11/19/21	11/16/21 7:20	Complete
H01-0008.3414	MoundsvilleWWTP-01	DRC	10/6/21 8:00	10/5/21 8:00		Routine Surveillance		7	Pass	JL	10/8/21	10/6/21 8:15	Complete
A0034.7556	StarCityWWTP-01	GG	12/6/20 23:59	12/6/20 0:00		Routine Surveillance	8.141		Pass	TD	12/7/20	12/6/20 0:00	Complete
E02-0005.1807	AthensWWTP-01	-	11/9/21 8:00	11/8/21 8:00		Routine Surveillance		6.81	Pass	JL	11/16/21	11/9/21 8:00	Complete
A02-0996.5716	NorthHighSt-02 (MUB)	GZ	1/30/23 9:00	1/28/23 9:00		Routine Surveillance			Pass	AJ	1/30/23	1/30/23 12:08	Complete
C01-0326.4875	WheelingWWTP-01		1/3/23 7:00	1/2/23 7:00		Routine Surveillance	7.863		Pass	AJ	1/11/23	1/3/23 7:00	Complete
C01-0139.6364	WheelingWWTP-01		4/1/22 7:00	3/31/22 7:00		Routine Surveillance	8.892	6.5	Pass	JL	4/5/22	4/1/22 7:00	Complete
A02-1093.5585	OaklandE-02	GZ	3/3/23 9:00	3/1/23 9:00		Routine Surveillance			Pass	AJ	3/6/23	3/3/23 12:26	Processing
J01-0224.2382	AlpineLakeWWTP-01		2/8/23 7:30	2/7/23 7:30		Routine Surveillance	0.15		Pass	AJ	2/15/23	2/8/23 7:30	Complete
M04-0121.4219	FarmingtonWWTP-01		10/13/22 0:00	10/12/22 0:00		Routine Surveillance	0.07		Pass	AJ	10/19/22	10/13/22 0:00	Complete
A02-0155 b.1120	OaklandE-02	EL	8/11/21 9:00	8/10/21 9:00	Was A07-0012	Routine Surveillance	11.84	7.13	Pass	JL	8/11/21	3/3/21 12:00	Complete
L01-0061.1036	WestUnionWWTP-01		3/22/22 9:10	3/21/22 9:10		Routine Surveillance	0.282	6.63	Pass	JL	3/23/22	3/22/22 9:10	Complete
A03-0256.3706	SuncrestES-01	GZ	3/21/22 14:00	3/21/22 6:00		Routine Surveillance		8	Pass	AJ	3/22/22	3/22/22 10:09	Complete
J01-0098.143	AlpineLakeWWTP-01		7/27/22 7:30	7/26/22 7:30		Routine Surveillance	0.071		Pass	AJ	8/3/22	7/27/22 7:30	Complete
N03-0181.6440	SalemWWTP-01		9/30/22 7:30	9/29/22 7:30		Routine Surveillance	0.43339		Pass	AJ	10/5/22	9/30/22 7:30	Complete
A02-0842.2013	OaklandE-02	GZ	11/18/22 9:00	11/16/22 9:00		Routine Surveillance			Pass	AJ	11/18/22	11/18/22 9:49	Complete
A02-0734.5742	MtValley-01	Gz	10/28/22 9:00	10/26/22 9:00		Routine Surveillance			Pass	AJ	10/28/22	10/28/22 9:00	Complete
J01-0122.4450	AlpineLakeWWTP-01		8/30/22 7:30	8/29/22 7:30		Routine Surveillance	0.045		Pass	AJ	8/31/22	8/30/22 7:30	Complete
A1046.1377	StarCityWWTP-01	EL	5/11/21 11:59	5/11/21 12:00		Routine Surveillance	12.067		Pass	MVS	5/14/21	5/14/21 10:53	Complete
A02-1045.3284	MtValley-01	GZ	2/13/23 9:00	2/11/23 9:00		Routine Surveillance			Pass	AJ	2/15/23	2/13/23 10:48	Complete
E01-0181.5344	PrincetonWWTP-01		9/28/22 9:00	9/27/22 9:00		Routine Surveillance	1.754		Pass	AJ	9/30/22	9/28/22 9:00	Complete
H01-0528.1567	MoundsvilleWWTP-01		3/19/23 8:00	3/18/23 8:00		Routine Surveillance	1.4		Pass	AJ	3/27/23	3/19/23 8:00	Complete
R01-0096.6325	HuttonsvilleWWTP-01		9/6/22 9:00	9/5/22 9:00		Routine Surveillance	0.15		Pass	AJ	9/7/22	9/6/22 8:45	Complete
M03-0144.516	ManningtonWWTP-01		10/1/22 11:00	9/30/22 11:00		Routine Surveillance	0.142		Pass	AJ	10/5/22	10/1/22 11:00	Complete
M04-0178.6888	FarmingtonWWTP-01		2/24/23 0:00	2/23/23 0:00		Routine Surveillance	0.095		Pass	AJ	3/8/23	2/24/23 0:00	Complete
R02-0105.5094	ElkinsWWTP-01		7/19/22 6:00	7/18/22 6:00		Routine Surveillance	3.327		Pass	AJ	7/20/22	7/19/22 6:00	Complete
K01-0011.5372	ParkersburgWWTP-01		12/30/21 6:30	12/29/21 6:30		Routine Surveillance	8.569	7.19	Pass	JL	1/5/22	12/30/21 6:30	Complete
A02-0312.3476	HonorsSummit-01 (MUB)	GZ	1/28/22 9:00	1/26/22 9:00		Routine Surveillance		7.64	Pass	AJ	1/28/22	1/28/22 11:11	Complete
C01-0076.4194	WheelingWWTP-01	GZ	2/11/22 7:00	2/10/22 7:00		Routine Surveillance	12.769	7.23	Pass	AJ	2/15/22	2/11/22 7:00	Complete
D01-0222.2295	CharlesTownWWTP-01		11/14/22 7:00	11/13/22 7:00	DUPLICATE DATE TO D01-0224	Routine Surveillance	1.4		Fail: Missing Required Data	AJ	11/18/22	11/14/22 7:00	Complete
B01-0254.2603	CharlestonWWTP-01		10/13/22 7:00	10/12/22 7:00		Routine Surveillance	6		Pass	AJ	10/14/22	10/13/22 7:00	Complete
M03-0007.4252	ManningtonWWTP-01		3/5/22 11:30	3/4/22 11:30		Routine Surveillance	0.195	7.05	Pass	AJ	3/9/22	3/5/22 11:30	Complete
A02-1118.6550	UPlace-01	GZ	3/13/23 9:00	3/11/23 9:00		Routine Surveillance			Pass	AJ	3/15/23	3/13/23 11:32	Complete
M03-0117.4106	ManningtonWWTP-01		8/16/22 11:00	8/15/22 11:00		Routine Surveillance	0.178		Pass	AJ	8/17/22	8/16/22 11:00	Complete
H01-0366.1111	MoundsvilleWWTP-01		10/8/22 8:00	10/7/22 8:00		Routine Surveillance	1.6		Pass	AJ	10/14/22	10/8/22 8:00	Complete
A0236.64	StarCityWWTP-01	GG	2/7/21 11:55	2/7/21 12:00		Routine Surveillance	10.415		Pass	TD	2/11/21	2/7/21 8:00	Complete
M03-0070.1439	ManningtonWWTP-01		5/7/22 11:00	5/6/22 11:00		Routine Surveillance	0.362	7.16	Pass	JL	5/18/22	5/7/22 11:00	Complete
N03-0291.546	SalemWWTP-01		3/14/23 7:30	3/13/23 7:30		Routine Surveillance	0.6567		Pass	AJ	3/22/23	3/14/23 7:30	Complete
A02-0846.277	TowersBB-01	GZ	12/3/22 9:00	12/1/22 9:00		Routine Surveillance			Pass	AJ	12/7/22	12/5/22 10:33	Complete
A03-0329.6183	MorgantownHS-01	GZ	5/2/22 14:00	5/2/22 6:00		Routine Surveillance		7.57	Pass	AJ	5/5/22	5/5/22 11:20	Complete
A02-0834.6903	MtValley-01	BML	11/28/22 9:00	11/26/22 9:00		Routine Surveillance			Pass	AJ	12/2/22	11/30/22 10:31	Complete
C01-0311.113	WheelingWWTP-01		11/22/22 7:00	11/21/22 7:00		Routine Surveillance	6.011		Pass	AJ	11/30/22	11/22/22 7:00	Complete
A03-0343.3894	MorgantownHS-01	Gz	5/16/22 14:00	5/16/22 6:00		Routine Surveillance		6.9	Pass	AJ	5/17/22	5/17/22 10:38	Complete
K01-0104.555	ParkersburgWWTP-01		6/10/22 6:20	6/9/22 6:20		Routine Surveillance	7.602	7.22	Pass	AJ	6/15/22	6/10/22 6:20	Complete
B01-0295.4009	CharlestonWWTP-01		11/7/22 7:00	11/6/22 7:00		Routine Surveillance	5.29		Pass	AJ	11/11/22	11/7/22 7:00	Complete
R02-0197.4336	ElkinsWWTP-01		1/24/23 6:00	1/23/23 6:00		Routine Surveillance	3.4819		Pass	AJ	1/26/23	1/24/23 6:00	Complete
R02-0112.2891	ElkinsWWTP-01		8/9/22 6:00	8/8/22 6:00		Routine Surveillance	2.4629		Pass	AJ	8/10/22	8/9/22 6:00	Complete
G01-0212.7501	KeyserWWTP-01		11/15/22 8:00	11/14/22 8:00		Routine Surveillance	0.978		Pass	AJ	11/17/22	11/15/22 8:00	Complete
C01-0029.5616	WheelingWWTP-01	GZ	10/28/21 7:00	10/27/21 7:00		Routine Surveillance		6.99	Pass	JL	10/29/21	10/28/21 7:00	Complete
L01-0084.7649	WestUnionWWTP-01		4/22/22 9:00	4/21/22 9:00		Routine Surveillance	0.144	7.17	Pass	AJ	4/27/22	4/22/22 9:00	Complete
A01-0178.5944	StarCityWWTP-01	GG	2/15/22 0:00	2/14/22 0:00		Routine Surveillance	8.7	6.72	Pass	AJ	2/18/22	2/15/22 0:00	Complete
B01-0113.4093	CharlestonWWTP-01		3/22/22 7:00	3/21/22 7:00		Routine Surveillance	4.9	6.84	Pass	JL	3/25/22	3/22/22 7:20	Complete
