Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
A01-0150	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	01/11/2022 12:00 AM	01/12/2022 12:00 AM	11.6	01/18/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	197182.484	10539.86359	103861.173795	8658431.9423979	462813.378373774	4560622.66038584	0.0179159740572709	0.00095765059256285	NA	121250.539742	92242.7406068297	5485131.58149789	3323810.80967318	0.0113498004914292	0.00687760885961178	83304.06268	41264.4092778953	3882045.87112099	2135580.35747514	NA	NA	45357.585618	70203.9860716906	2278960.16074409	4243414.43532009	0.00471561033095534	0.008780447018954
A0027	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	11/25/2020 12:00 AM	11/25/2020 11:59 PM	7.45	11/30/2020	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	15891.6	15891.6	15891.6	448163.8505922	448163.8505922	448163.8505922	0.00092733787988785	0.00092733787988785	NA	48469.92	62935.2398181576	1532968.31368316	2012360.1920027	0.00317200859477561	0.00416396331733716	41633.88	54080.9444849608	1328337.51810524	1768847.85870724	NA	NA	34797.84	47089.5113569284	1123706.72252733	1586683.97900304	0.00232516703055646	0.00328315671867869
O01-0016	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	04/06/2022 06:00 AM	04/07/2022 07:00 AM	2.91	04/13/2022	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8517.208965	8517.208965	8517.208965	93821.6824456639	93821.6824456639	93821.6824456639	0.00154540738668529	0.00154540738668529	NA	5341.763098	7923.47507429842	45339.8645039321	74573.7148266271	0.000746826956085193	0.00122835965782618	4654.9473382	6494.90294643755	40167.4164536457	67962.1670711542	NA	NA	3968.1315784	5791.18711455335	34994.9684033594	65949.9182194233	0.000576428403942669	0.00108631062789365
A03-0189	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	01/21/2022 06:00 AM	01/21/2022 02:00 PM	NA	01/24/2022	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1698	2551	2124.5	NA	NA	NA	NA	NA	NA	2176.3214124	5717.84833536579	NA	NA	NA	NA	17868.2943802	30977.2329957819	NA	NA	NA	NA	33560.267348	63051.4190734463	NA	NA	NA	NA
L01-0088	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	04/17/2022 09:00 AM	04/18/2022 09:00 AM	0.279	04/20/2022	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2755	637	1696	2909.63646945	672.75442143	1791.19544544	0.000515892991037234	0.000119282698835106	NA	6558.9633826	5586.24904188064	6929.63085025826	5639.0897937009	0.00122865795217345	0.000999838615904415	5268.4238917	3859.68355147606	5590.24320982098	3979.10344346104	NA	NA	3977.8844008	4133.06967124436	4250.85556938371	4476.08890233355	0.000753697795990019	0.000793632784101692
A02-0374	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	03/02/2022 09:00 AM	03/04/2022 09:00 AM	NA	03/04/2022	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2216	1577	1896.5	NA	NA	NA	NA	NA	NA	2279.0942862	2512.84349292295	NA	NA	NA	NA	2476.5857556	4229.94039315527	NA	NA	NA	NA	2674.077225	6190.26105435533	NA	NA	NA	NA
A02-0487	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	04/30/2022 09:00 AM	05/02/2022 08:00 AM	NA	05/02/2022	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	71987.41972	92910.17979	82448.799755	NA	NA	NA	NA	NA	NA	386130.23979	1327668.65879989	NA	NA	NA	NA	400182.514179	1368903.61179538	NA	NA	NA	NA	414234.788568	1410232.36421367	NA	NA	NA	NA
A02-0078	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	09/01/2021 10:32 AM	09/03/2021 10:32 AM	NA	09/03/2021	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	270792.5808	70220.28267	170506.431735	NA	NA	NA	NA	NA	NA	106856.196584	223959.011995259	NA	NA	NA	NA	81683.3184471	159960.906904982	NA	NA	NA	NA	56510.4403102	116702.892588363	NA	NA	NA	NA
M03-0031	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	04/06/2022 11:00 AM	04/07/2022 11:00 AM	0.693	04/13/2022	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	56	998	527	146.90419128	2618.04255174	1382.47337151	1.34650954427131e-05	0.00023996723663978	NA	4219.56219	4293.33229403686	3128.17207061149	3127.44720482162	0.000286725212704994	0.000286658772210964	4197.4743417	5164.8359015324	3265.46518638991	3149.80359704545	NA	NA	4175.3864934	7566.19285276339	3402.75830216832	4963.62503618791	0.000311893519905437	0.000454961048229873
M03-0021	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	03/15/2022 11:00 AM	03/16/2022 11:00 AM	0.358	03/23/2022	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	31687.32349	26404.43992	29045.881705	42941.9250139966	35782.6838684891	39362.3044412428	0.0039360151250226	0.00327980603744171	NA	8690.7153608	24157.4868380551	13023.7316029353	32645.4758741911	0.00119374258505365	0.00299225260075079	8420.8634398	21325.3812452488	12511.7457510202	28183.8216255557	NA	NA	8151.0115188	19137.8967908855	11999.7598991051	25667.1807598497	0.00109988633355684	0.002352628850582
