"capacity_mgd","concentration_method","county_names","dashboard_ignore","epaid","extraction_method","flow_rate","inhibition_adjust","inhibition_detect","inhibition_method","institution_type","lab_id","lod_ref","lod_sewage","major_lab_method","major_lab_method_desc","ntc_amplify","num_no_target_control","other_jurisdiction","pasteurized","pcr_gene_target","pcr_gene_target_ref","pcr_target","pcr_target_avg_conc","pcr_target_units","pcr_type","population_served","pretreatment","quant_stan_type","rec_eff_percent","rec_eff_spike_conc","rec_eff_spike_matrix","rec_eff_target_name","reporting_jurisdiction","sample_collect_date","sample_collect_time","sample_id","sample_location","sample_location_specify","sample_matrix","sample_type","site_id","stan_ref","test_result_date","wwtp_jurisdiction","wwtp_name","zipcode"
"0.125","","54049","","WV0021865","","0.123","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfA1 and InfA2 combined","https://doi.org/10.1021/acs.estlett.2c00350","FLUAV","4074.86773096026","copies/L wastewater","ddPCR","610","no","rna","-1","","","","WV","2026-02-15","09:00","M04-0428","wwtp","","raw wastewater","24-hr time-weighted composite","54049-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2026-02-25","WV","Farmington WWTP","26571"
"8","ceres nanotrap","54033","","WV0023302","thermo magmax microbiome ultra nucleic acid isolation kit","6.98","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","352750.6453125","copies/L wastewater","ddPCR","26498","no","rna","-1","","","","WV","2022-07-28","07:00","N02-0147","wwtp","","raw wastewater","24-hr flow-weighted composite","54033-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-08-10","WV","Clarksburg WWTP","26301"
"0.25","","54049","","WV0024953","","0.111","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfA1 and InfA2 combined","https://doi.org/10.1021/acs.estlett.2c00350","FLUAV","4507.04754330216","copies/L wastewater","ddPCR","1091","no","rna","-1","","","","WV","2026-03-01","08:00","M03-1011","wwtp","","raw wastewater","24-hr time-weighted composite","54049-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2026-03-10","WV","Mannington WWTP","26582"
"2.4","ceres nanotrap","54057","","WV0024392","thermo magmax microbiome ultra nucleic acid isolation kit","2.73","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","1896","copies/L wastewater","ddPCR","8168","no","rna","-1","","","","WV","2022-02-25","09:00","G01-0148","wwtp","","raw wastewater","24-hr time-weighted composite","54057-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-03-09","WV","Keyser WWTP","26726"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","13.039","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","1016","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2024-04-01","08:00","C01-0636","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2024-04-15","WV","Wheeling WWTP","26003"
"0.2","ceres nanotrap","54017","","WVG640072","thermo magmax microbiome ultra nucleic acid isolation kit","0.519","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","155805.2533575","copies/L wastewater","ddPCR","564","no","rna","-1","","","","WV","2023-02-16","09:00","L01-0332","wwtp","","raw wastewater","24-hr time-weighted composite","54017-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-02-24","WV","West Union WWTP","26456"
"0.75","ceres nanotrap","54061","","WV0083071","thermo magmax microbiome ultra nucleic acid isolation kit","0.570","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","907","copies/L wastewater","ddPCR","2000","no","rna","-1","","","","WV","2025-09-14","08:00","A04-0687","wwtp","","raw wastewater","24-hr time-weighted composite","54061-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-09-24","WV","Cheat Lake WWTP","26508"
"20.8","","54061","","WV0023124","","16.7","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfA1 and InfA2 combined","https://doi.org/10.1021/acs.estlett.2c00350","FLUAV","2201","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2026-03-11","12:00","A01-1515","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2026-03-19","WV","Star City WWTP","26505"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","3.95","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","569982.19711875","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2022-11-06","07:00","C01-0300","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-11-15","WV","Wheeling WWTP","26003"
"2.25","ceres nanotrap","54037","","WV0022349","thermo magmax microbiome ultra nucleic acid isolation kit","1.28","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","1036281.85629375","copies/L wastewater","ddPCR","17000","no","rna","-1","","","","WV","2022-03-20","07:03","D01-0062","wwtp","","raw wastewater","24-hr flow-weighted composite","54037-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-03-29","WV","CharlesTown WWTP","25414"
