Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
M04-0087	not institution specific	WWTP	WWTP	WWTP	56072	FarmingtonWWTP-01	active	2022-06-27	2022-06-28	2022-06-28	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU	0.051		204997.0436625			NA			NA																			
E02-0067	not institution specific	WWTP	WWTP	WWTP	58758	AthensWWTP-01	inactive	2022-03-08	2022-03-09	2022-03-09	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU	0.246		4296.8795925			NA			NA																			
A0028	not institution specific	WWTP	WWTP	WWTP	105612	StarCityWWTP-01	active	2020-11-26	2020-11-26	2020-11-26	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU	7.039		385			385			0.796639629200463																			
O01-0192	not institution specific	WWTP	WWTP	WWTP	16695	GraftonWWTP-01	active	2022-11-21	2022-11-22	2022-11-22	24-hr flow-weighted composite	Grafton	26354		-80.01837	39.33877	6071	Taylor	2.3	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU	1.65		113703.0717525			NA			NA																			
A02-0027	higher ed dorm	upstream	Sewer Network	Sewer Network	105612	OaklandE-02	active	2021-08-23	2021-08-23	2021-08-23	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	20.8	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU			32471.91505			NA			NA																			
E01-0095	not institution specific	WWTP	WWTP	WWTP	58758	PrincetonWWTP-01	active	2022-04-18	2022-04-19	2022-04-19	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU	3.705		25361.10611625			NA			NA																			
K01-0228	not institution specific	WWTP	WWTP	WWTP	83518	ParkersburgWWTP-01	active	2023-04-18	2023-04-19	2023-04-19	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU	4.362		592230.22336875			NA			NA																			
A02-0750	higher ed dorm	upstream	Sewer Network	Sewer Network	105612	MtValley-01	active	2022-10-31	2022-11-02	2022-11-02	48-hr time-weighted composite	Mountain Valley Apartments	26505	Captures all of Mountain Valley	-79.9657691	39.6727656		Monongalia	20.8	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU			180776.99304375			NA			NA																			
A02-0986	higher ed dorm	upstream	Sewer Network	Sewer Network	105612	TowersBB-01	active	2023-01-25	2023-01-27	2023-01-27	48-hr time-weighted composite	WVU Brooke & Braxton Towers	26505	Captures Brooke and Braxton Towers. Taken from the University Ave. side of the bottom flow, which compiles both towers	-79.9663361	39.6495489	904	Monongalia	20.8	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU			1765591.0846875			NA			NA																			
A02-0753	higher ed dorm	upstream	Sewer Network	Sewer Network	105612	OaklandE-02	active	2022-11-02	2022-11-04	2022-11-04	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	20.8	West Virginia University Zoonotic Pathogen Testing Laboratory	ZooWVU			11636.09592375			NA			NA																			
