assay_amplification_method	assay_amplification_method_lot_id	assay_batch_comment	assay_batch_id	assay_batch_record_version	assay_date	assay_machine	assay_method	assay_method_lot_id	assay_quantification_method	assay_quantification_type	assay_qx_manager_version	assay_reaction_ul	assay_run_by
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA0	1.0.0	11/10/20	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA1	1.0.0	11/17/20	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA2	1.0.0	11/20/20	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA3	1.0.0	12/14/20	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA4	1.0.0	2/22/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA5	1.0.0	3/11/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA5	1.0.0	3/11/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA6	1.0.0	3/15/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA7	1.0.0	3/16/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA8	1.0.0	3/22/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA9	1.0.0	3/30/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA10	1.0.0	4/12/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA11	1.0.0	4/19/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA12	1.0.0	4/26/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA13	1.0.0	5/3/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA14	1.0.0	5/7/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			MA15	1.0.0	5/17/21	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	TD
