concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A1104.c1	A1104	CP0.4	A01	
A1106.c1	A1106	CP0.4	A02	
A01-0001.c1	A01-0001	CP0.4	A03	
A02-0013.c1	A02-0013	CP0.4	A04	
A02-0151.c1	A02-0151	CP0.4	A05	
A02-0152.c1	A02-0152	CP0.4	A06	
A02-0153.c1	A02-0153	CP0.4	B01	
A02-0154.c1	A02-0154	CP0.4	B02	
A02-0155.c1	A02-0155	CP0.4	B03	
A02-0156.c1	A02-0156	CP0.4	B04	
A02-0001.c1	A02-0001	CP0.4	B05	
A02-0004.c1	A02-0004	CP0.4	B06	
A02-0002.c1	A02-0002	CP0.4	C01	
A02-0003.c1	A02-0003	CP0.4	C02	
A01-0002.c1	A01-0002	CP1	A01	
A01-0003.c1	A01-0003	CP1	A02	
A01-0004.c1	A01-0004	CP1	A03	
A02-0005.c1	A02-0005	CP1	A04	
A02-0006.c1	A02-0006	CP1	A05	
A02-0008.c1	A02-0008	CP1	A06	
A02-0009.c1	A02-0009	CP1	B01	
A02-0010.c1	A02-0010	CP1	B02	
A02-0011.c1	A02-0011	CP1	B03	
A02-0012.c1	A02-0012	CP1	B04	
A02-0014.c1	A02-0014	CP1	B05	
A02-0015.c1	A02-0015	CP1	B06	
A02-0016.c1	A02-0016	CP1.1	A01	
A02-0018.c1	A02-0018	CP1.1	A03	
A02-0019.c1	A02-0019	CP1.1	A04	
A01-0005.c1	A01-0005	CP1.1	A05	
A01-0007.c1	A01-0007	CP1.1	B01	
A01-0008.c1	A01-0008	CP1.1	B02	
A02-0021.c1	A02-0021	CP1.2	A01	
A02-0024.c1	A02-0024	CP1.2	A04	
A01-0009.c1	A01-0009	CP1.2	A05	
A01-0010.c1	A01-0010	CP1.2	A06	
A02-0020.c1	A02-0020	CP1.2	B01	
A02-0026.c1	A02-0026	CP2	A02	
A02-0027.c1	A02-0027	CP2	A03	
A02-0028.c1	A02-0028	CP2	A04	
A02-0030.c1	A02-0030	CP2	A06	
A02-0034.c1	A02-0034	CP2	B03	
A01-0011.c1	A01-0011	CP3	A01	
A01-0012.c1	A01-0012	CP3	A02	
A02-0035.c1	A02-0035	CP4	A01	
A02-0036.c1	A02-0036	CP4	A02	
A02-0037.c1	A02-0037	CP4	A03	
A02-0038.c1	A02-0038	CP4	A04	
A02-0039.c1	A02-0039	CP4	A05	
A02-0040.c1	A02-0040	CP4	A06	
A02-0041.c1	A02-0041	CP4	B01	
A02-0049.c1	A02-0049	CP4	B04	
A02-0017.c1	A02-0017	CP5	A01	
A02-0022.c1	A02-0022	CP5	A02	
A02-0025.c1	A02-0025	CP5	A04	
A02-0029.c1	A02-0029	CP5	B02	
A02-0031.c1	A02-0031	CP5	B03	
A02-0042.c1	A02-0042	CP5	B04	
A02-0052.c1	A02-0052	CP5	C01	
A02-0054.c1	A02-0054	CP5	C02	
A01-0015.c1	A01-0015	CP5	C06	
A02-0057.c1	A02-0057	CP5	D05	
