result_id	sample_id	assay_id	target	target_category	target_genetic_locus	responsible_lab_name	responsible_lab_abbrev	assay_target_copies_per_ul_reaction	assay_reaction_ul	extraction_output_ul	concentration_output_ml	assay_input_ul	extraction_input_ul	concentration_input_ml	target_copies_per_literww	target_result_validated
C01-0156.a2.a2	C01-0156	C01-0156.a2.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.29617855	20	75	0.475	5	400	10	10551.36084375	1
F4.a3	F4	F4.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.0647355020046234	20	75	0.475	5	400	10	2306.20225891471	1
A02-0287.a1	A02-0287	A02-0287.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	6.43832016	20	75	0.475	5	400	10	229365.1557	1
A02-0397.a1	A02-0397	A02-0397.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.079252958	20	75	0.475	5	400	10	2823.38662875	1
N02-0052.a2	N02-0052	N02-0052.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.242229968	20	75	0.475	5	400	10	8629.44261	1
S01-0029.a3	S01-0029	S01-0029.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A02-0115.a3	A02-0115	A02-0115.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.214059427	20	50	0.425	5	400	10	4548.76282375	1
B01-0105.a2	B01-0105	B01-0105.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.100729533	20	75	0.475	5	400	10	3588.489613125	1
K01-0076.a2	K01-0076	K01-0076.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.965147257	20	75	0.475	5	400	10	34383.371030625	1
H01-0167.a1	H01-0167	H01-0167.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.082643434	20	75	0.475	5	400	10	2944.17233625	1
L01-0057.a2	L01-0057	L01-0057.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.129717246	20	75	0.475	5	400	10	4621.17688875	1
H01-0125.a3	H01-0125	H01-0125.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.224781826	20	75	0.475	5	400	10	8007.85255125	1
E01-0004.a2	E01-0004	E01-0004.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.690484524	20	50	0.425	5	400	10	14672.796135	1
S01-0048.a1	S01-0048	S01-0048.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.09175764	20	75	0.475	5	400	10	3268.865925	1
A02-0346.a2	A02-0346	A02-0346.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A03-0328.a1	A03-0328	A03-0328.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
L01-0064.a1	L01-0064	L01-0064.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.084368072	20	75	0.475	5	400	10	3005.612565	1
H01-0154.a2	H01-0154	H01-0154.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	4.530924797	20	75	0.475	5	400	10	161414.195893125	1
G01-0086.a1	G01-0086	G01-0086.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.203330562	20	75	0.475	5	400	10	7243.65127125	1
A02-0268.a1	A02-0268	A02-0268.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A02-0505.a3	A02-0505	A02-0505.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.070852511	20	75	0.475	5	400	10	2524.120704375	1
S01-0011.a1	S01-0011	S01-0011.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.595523596	20	75	0.475	5	400	10	92465.5281075	1
G01-0010.a3	G01-0010	G01-0010.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.41044116	20	75	0.475	5	400	10	50246.966325	1
A02-0194.a1	A02-0194	A02-0194.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.611266971	20	50	0.425	5	400	10	12989.42313375	1
D01-0029.a1	D01-0029	D01-0029.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A03-0055.a1	A03-0055	A03-0055.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	50	0.425	5	400	10	0	1
J01-0013.a1	J01-0013	J01-0013.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.244410634	20	75	0.475	5	400	10	8707.12883625	1
P01-0053.a3	P01-0053	P01-0053.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.104236968	20	75	0.475	5	400	10	3713.441985	1
A03-0349.a3	A03-0349	A03-0349.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.062736735	20	75	0.475	5	400	10	2234.996184375	1
M04-0074.a1	M04-0074	M04-0074.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.214664817	20	75	0.475	5	400	10	7647.434105625	1
L01-0112.a1	L01-0112	L01-0112.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.074354276	20	75	0.475	5	400	10	2648.8710825	1
H01-0232.a3	H01-0232	H01-0232.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.067010544	20	75	0.475	5	400	10	2387.25063	1
A01-0088.a2	A01-0088	A01-0088.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.531058014	20	50	0.425	5	400	10	11284.9827975	1
