concentration_batch_id	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by	concentration_batch_record_version	concentration_batch_comment
CB1	2023-11-29	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	2.0.0	
CB2	2023-11-29	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	2.0.0	
CB3	2023-12-05	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	2.0.0	
CB4	2023-12-05	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	2.0.0	
CB5	2023-12-12	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB6	2023-12-12	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CP0	6/4/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.95		1.0.0	
CP0.1	7/7/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.95		1.0.0	
CP0.2	7/9/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.95		1.0.0	
CP0.3	7/30/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.95		1.0.0	
CP0.4	8/13/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP1	8/16/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP1.1	8/18/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP1.2	8/20/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP1.3	8/27/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP10	9/8/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP100	3/21/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP101	3/23/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP102	3/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP103	3/25/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP104	3/25/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP105	3/29/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP106	3/29/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP107	3/30/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP108	3/30/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP109	4/1/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP11	9/13/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP110	3/31/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP111	4/4/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP112	4/5/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	JL	1.0.0	
CP113	4/6/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP114	4/6/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP115	4/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
