extraction_batch_id	extraction_date	extraction_input_ul	extraction_eluant	extraction_machine	extraction_method	extraction_method_lot_id	extraction_output_ul	extraction_batch_record_version	extraction_run_by	extraction_batch_comment
EB1	2023-11-29	400	Kit Buffer	Bender	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2205332	75	2.0.0	AJ	
EB4	2023-12-05	400	Kit Buffer	Bender	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2205332	75	2.0.0	AJ	
EB6	2023-12-12	400	Kit Buffer	Bender	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2205332	75	2.0.0	AJ	
EP0	6/4/21	400	Kit buffer		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	1.0.0		
EP0.1	7/7/21	400	Kit buffer		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	1.0.0	JL	
EP0.2	7/9/21	400	Kit buffer		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	1.0.0	JL	
EP0.3	7/30/21	400	Kit buffer		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	1.0.0	JL	
EP0.4	8/13/21	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	1.0.0	JL	
EP1	8/16/21	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	1.0.0	JL	
EP1.2	8/18/21	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	1.0.0	JL	
EP1.4	8/20/21	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	1.0.0	JL	
EP10	9/8/21	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	1.0.0	JL	
EP100	3/21/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP102	3/23/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP104	3/25/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP106	3/29/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP108	3/30/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP109	4/1/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP11	9/13/21	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2105033	50	1.0.0	JL	
EP110	3/31/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP111	4/4/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2120258	75	1.0.0	AJ	
EP112	4/5/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	JL	
EP114	4/6/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP116	4/8/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP117	4/12/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP118	4/14/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP119	4/13/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP12	9/15/21	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2105033	50	1.0.0	JL	
EP12.1	9/17/21	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2105033	50	1.0.0	JL	
EP121	4/18/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP122	4/19/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP124	4/20/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP125	4/21/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP126	4/22/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP127	4/25/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP128	4/26/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP130	4/27/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP131	4/28/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP132	4/29/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP133	5/3/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP135	5/4/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP136	5/4/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP137	5/5/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP138	5/6/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP140	5/11/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP141	5/11/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP143	5/13/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP144	5/17/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP146	5/18/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP148	5/19/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP149	5/20/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP150	5/23/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP152	5/25/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP153	5/25/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP155	5/27/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP156	5/31/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP158	6/1/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP16	9/24/21	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	XXXXXX	50	1.0.0	JL	
EP160	6/2/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP161	6/3/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP163	6/8/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP164	6/8/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP166	6/10/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP168	6/14/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
