assay_batch_id	dye	assay_date
AP240	HEX	07/28/2023
AP226	HEX	06/02/2023
AP246	HEX	08/25/2023
AP53	HEX	03/14/2022
AP69	HEX	04/25/2022
AP198	HEX	03/24/2023
AP78	HEX	05/11/2022
MA19	HEX	07/07/2021
AP28	HEX	12/21/2021
AP83	HEX	05/20/2022
AP10	HEX	09/29/2021
MA19	FAM/HEX	07/07/2021
AP221	HEX	05/09/2023
AP40	HEX	02/02/2022
AP56	HEX	03/28/2022
AP127	HEX	10/18/2022
AP224	HEX	05/19/2023
AP224	HEX	05/19/2023
AP13	HEX	10/14/2021
AP56	HEX	03/28/2022
AP88	HEX	06/06/2022
AP48	HEX	02/24/2022
AP30	HEX	12/28/2021
AP132	HEX	11/10/2022
AP103	HEX	07/28/2022
AP32	HEX	01/12/2022
AP122	HEX	10/04/2022
MA19	HEX	07/07/2021
AP235	HEX	07/06/2023
AP100	HEX	07/18/2022
AP45	HEX	02/16/2022
AP221	HEX	05/09/2023
AP223	HEX	05/16/2023
AP240	HEX	07/28/2023
AP237	HEX	07/13/2023
AP0.6	HEX	06/01/2022
AP42	HEX	02/10/2022
AP245	HEX	08/21/2023
AP93	HEX	06/23/2022
AP252	HEX	09/15/2023
AP60	HEX	04/04/2022
AP52	HEX	03/10/2022
AP127	HEX	10/18/2022
AP41	HEX	02/07/2022
AP231	HEX	07/03/2023
AP88	HEX	06/06/2022
AP125	ALL	10/13/2022
AP228	HEX	06/16/2023
AP256	HEX	09/28/2023
AP87	HEX	06/02/2022
AP240	HEX	07/28/2023
AP50	HEX	03/02/2022
AP116	HEX	09/14/2022
AP130	HEX	10/31/2022
AP246	HEX	08/25/2023
AP17	HEX	11/08/2021
AP108	HEX	08/17/2022
AP222	HEX	05/12/2023
AP187	HEX	03/10/2023
AP136	HEX	12/02/2022
AP73	HEX	04/29/2022
AP111	HEX	08/25/2022
AP209	HEX	04/07/2023
AP80	HEX	05/16/2022
AB49	ALL	08/22/2024
AP176	HEX	02/21/2023
AP240	HEX	07/28/2023
AP49	HEX	02/28/2022
AP219	HEX	05/02/2023
AP87	HEX	06/02/2022
AP16	HEX	11/04/2021
AP23	HEX	12/03/2021
AP74	HEX	05/02/2022
AB49	ALL	08/22/2024
AP142	HEX	12/16/2022
AP999	HEX	09/17/2023
AP178	HEX	02/24/2023
AP105	HEX	08/04/2022
AP115	HEX	09/08/2022
AP191	HEX	03/17/2023
AP35	HEX	01/14/2022
AP100	HEX	07/18/2022
AP27	HEX	12/14/2021
AB49	ALL	08/22/2024
AP175	HEX	02/17/2023
AP77	HEX	05/09/2022
AP89	HEX	06/09/2022
AP47	HEX	02/22/2022
AP201	HEX	03/28/2023
AP165	HEX	02/02/2023
AP219	HEX	05/02/2023
AP96	HEX	07/05/2022
AP48	HEX	02/24/2022
AP108	HEX	08/17/2022
AP184	HEX	03/06/2023
AP226	HEX	06/02/2023
AP209	HEX	04/07/2023
AP187	HEX	03/10/2023
AP179	HEX	02/28/2023
AP95	HEX	06/30/2022
AP11	HEX	10/05/2021
AP242	HEX	08/03/2023
AP79	ALL	05/12/2022
AB49	ALL	08/22/2024
AP171	HEX	02/10/2023
AP190	HEX	03/15/2023
AP134	HEX	11/21/2022
AP237	HEX	07/13/2023
AP85	HEX	05/26/2022
AP102	HEX	07/25/2022
AP229	HEX	06/21/2023
AP236	HEX	07/13/2023
AP235	HEX	07/06/2023
AP251	HEX	09/14/2023
AP213	HEX	04/14/2023
AP80	HEX	05/16/2022
AP184	HEX	03/06/2023
AP25	HEX	12/09/2021
AP258	HEX	10/13/2023
AP74	HEX	05/02/2022
AP202	HEX	03/31/2023
AP133	HEX	11/15/2022
AP241	HEX	07/28/2023
AP244	HEX	08/14/2023
AP137	HEX	12/07/2022
AP128	HEX	10/20/2022
AP58	HEX	03/30/2022
AP156	HEX	01/19/2023
AP70	HEX	04/26/2022
AP219	HEX	05/02/2023
AP114	HEX	09/07/2022
AP92	HEX	06/20/2022
AP38	HEX	01/24/2022
AP73	HEX	04/29/2022
AP209	HEX	04/07/2023
AP229	HEX	06/21/2023
AP111	HEX	08/25/2022
AP68	HEX	04/21/2022
AP111	HEX	08/25/2022
AP109	HEX	08/18/2022
AP102	HEX	07/25/2022
AP244	HEX	08/14/2023
AB49	ALL	08/22/2024
AP78	HEX	05/11/2022
AP68	HEX	04/21/2022
AP108	HEX	08/17/2022
AB49	ALL	08/22/2024
AP245	HEX	08/21/2023
AP187	HEX	03/10/2023
AP242	HEX	08/03/2023
AP142	HEX	12/16/2022
AP45	HEX	02/16/2022
AP57	HEX	03/29/2022
AP27	HEX	12/14/2021
AP19	HEX	11/17/2021
AP115	HEX	09/08/2022
AP88	HEX	06/06/2022
AP252	HEX	09/15/2023
AP87	HEX	06/02/2022
AP222	HEX	05/12/2023
AP246	HEX	08/25/2023
AP110	HEX	08/23/2022
AP214	HEX	04/18/2023
AP95	HEX	06/30/2022
AP125	ALL	10/13/2022
AP50	HEX	03/02/2022
AP136	HEX	12/02/2022
AP10	HEX	09/29/2021
AP119	HEX	09/22/2022
AP123	HEX	10/06/2022
AP53	HEX	03/14/2022
AP135	HEX	11/29/2022
AP102	HEX	07/25/2022
AP35	HEX	01/14/2022
AP36	HEX	01/19/2022
AP228	HEX	06/16/2023
AP123	HEX	10/06/2022
AP259	HEX	10/18/2023
AP7	HEX	09/09/2021
AP0.1	HEX	08/16/2021
AP112	HEX	08/30/2022
AP129	HEX	10/25/2022
AP129	HEX	10/25/2022
AP257	HEX	10/09/2023
AP142	HEX	12/16/2022
AP146	HEX	12/29/2022
AP60	HEX	04/04/2022
AP128	HEX	10/20/2022
AP130	HEX	10/31/2022
AP130	HEX	10/31/2022
