assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
A0020.a1	A0020.e1	A0020	MA2		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	12727	0	0	3996
A0020.a2	A0020.e1	A0020	MA2		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	12727	0	0	
A0020.a3	A0020.e1	A0020	MA2		5	unknown	sample	Human	RNase P	sample	RNA	HEX	12727	0	0	35942.4
A0021.a1	A0021.e1	A0021	MA2		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	14612	0	0	19320
A0021.a2	A0021.e1	A0021	MA2		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	14612	0	0	19320
A0021.a3	A0021.e1	A0021	MA2		5	unknown	sample	Human	RNase P	sample	RNA	HEX	14612	0	0	88968
A0022.a1	A0022.e1	A0022	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	12254	0	0	49795.2
A0022.a2	A0022.e1	A0022	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	12254	0	0	49795.2
A0022.a3	A0022.e1	A0022	MA3		5	unknown	sample	Human	RNase P	sample	RNA	HEX	12254	0	0	27648
A0023.a1	A0023.e1	A0023	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	12579	0	0	49394.4
A0023.a2	A0023.e1	A0023	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	12579	0	0	29647.2
A0023.a3	A0023.e1	A0023	MA3		5	unknown	sample	Human	RNase P	sample	RNA	HEX	12579	0	0	24684
A0024.a1	A0024.e1	A0024	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	13430	0	0	23962.8
A0024.a2	A0024.e1	A0024	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	13430	0	0	7980
A0024.a3	A0024.e1	A0024	MA3		5	unknown	sample	Human	RNase P	sample	RNA	HEX	13430	0	0	39968.4
A0025.a1	A0025.e1	A0025	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	12472	0	0	103305.6
A0025.a2	A0025.e1	A0025	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	12472	0	0	70675.2
A0025.a3	A0025.e1	A0025	MA3		5	unknown	sample	Human	RNase P	sample	RNA	HEX	12472	0	0	27158.4
A0027.a1	A0027.e1	A0027	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	10133	0	0	15891.6
A0027.a2	A0027.e1	A0027	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	10133	0	0	15891.6
A0027.a3	A0027.e1	A0027	MA3		5	unknown	sample	Human	RNase P	sample	RNA	HEX	10133	0	0	42362.4
A0028.a1	A0028.e1	A0028	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	10501	0	0	9676.8
A0028.a2	A0028.e1	A0028	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	10501	0	0	9676.8
A0028.a3	A0028.e1	A0028	MA3		5	unknown	sample	Human	RNase P	sample	RNA	HEX	10501	0	0	9676.8
A0029.a1	A0029.e1	A0029	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	10527	0	0	28170
A0029.a2	A0029.e1	A0029	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	10527	0	0	32202
A0029.a3	A0029.e1	A0029	MA3		5	unknown	sample	Human	RNase P	sample	RNA	HEX	10527	0	0	24138
A0030.a1	A0030.e1	A0030	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	10315	0	0	57250.8
A0030.a2	A0030.e1	A0030	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	10315	0	0	52029.6
A0030.a3	A0030.e1	A0030	MA3		5	unknown	sample	Human	RNase P	sample	RNA	HEX	10315	0	0	26014.8
A0031.a1	A0031.e1	A0031	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	9322	0	0	82456.8
A0031.a2	A0031.e1	A0031	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	9322	0	0	82456.8
A0031.a3	A0031.e1	A0031	MA3		5	unknown	sample	Human	RNase P	sample	RNA	HEX	9322	0	0	51510
A0032.a1	A0032.e1	A0032	MA3		5	unknown	sample	SARS-CoV-2	N1	sample	RNA	FAM	10476	0	0	443142
A0032.a2	A0032.e1	A0032	MA3		5	unknown	sample	SARS-CoV-2	N2	sample	RNA	FAM/HEX	10476	0	0	408920.4
