sample_id	sample_status	location_id	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_collection_by	sample_flow	sample_received_by	sample_received_date	sample_ph_lab	sample_comment
A0020	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/17/2020 0:00	11/17/2020 23:59	11/17/2020 0:00	GG	6.708	TD	11/19/2020		
A0021	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/18/2020 0:00	11/18/2020 23:59	11/18/2020 0:00	GG	6.705	TD	11/19/2020		
A0022	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/19/2020 0:00	11/19/2020 23:59	11/19/2020 0:00	GG	9.875	TD	11/30/2020		
A0023	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/22/2020 0:00	11/22/2020 23:59	11/22/2020 0:00	GG	8.214	TD	11/30/2020		
A0024	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/23/2020 0:00	11/23/2020 23:59	11/23/2020 0:00	GG	7.092	TD	11/30/2020		
A0025	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/24/2020 0:00	11/24/2020 23:59	11/24/2020 0:00	GG	8.122	TD	11/30/2020		
A0027	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/25/2020 0:00	11/25/2020 23:59	11/25/2020 0:00	GG	7.45	TD	11/30/2020		
A0028	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/26/2020 0:00	11/26/2020 23:59	11/26/2020 0:00	GG	7.039	TD	11/30/2020		
A0029	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/29/2020 0:00	11/29/2020 23:59	11/29/2020 0:00	GG	6.738	TD	12/04/2020		
A0030	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/30/2020 0:00	11/30/2020 23:59	11/30/2020 0:00	GG	10.196	TD	12/04/2020		
A0031	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/01/2020 0:00	12/01/2020 23:59	12/01/2020 0:00	GG	11.562	TD	12/04/2020		
A0032	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/02/2020 0:00	12/02/2020 23:59	12/02/2020 0:00	GG	10.819	TD	12/04/2020		
A0033	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/03/2020 0:00	12/03/2020 23:59	12/03/2020 0:00	GG	8.998	TD	12/07/2020		
A0034	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/06/2020 0:00	12/06/2020 23:59	12/06/2020 0:00	GG	8.141	TD	12/07/2020		
A0035	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/07/2020 12:00	12/07/2020 11:59	12/07/2020 0:00	GG	7.578	TD	12/11/2020		
A0036	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/08/2020 12:00	12/08/2020 11:59	12/08/2020 0:00	GG	7.104	TD	12/11/2020		
A0037	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/09/2020 12:00	12/09/2020 11:59	12/09/2020 0:00	GG	6.932	TD	12/11/2020		
A0038	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/10/2020 12:00	12/10/2020 11:59	12/10/2020 0:00	DW	6.775	TD	12/14/2020		
A0039	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/13/2020 12:00	12/13/2020 11:59	12/13/2020 0:00	DW	6.302	TD	12/14/2020		
A0040	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/14/2020 12:00	12/14/2020 11:59	12/14/2020 0:00	GG	9.162	TD	12/18/2020		
A0041	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/15/2020 12:00	12/15/2020 11:59	12/15/2020 0:00	GG	6.989	TD	12/18/2020		
A0042	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/16/2020 12:00	12/16/2020 11:59	12/16/2020 0:00	GG	8.322	TD	12/18/2020		
