assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
N02-0037.a2	N02-0037	02/20/2022 7:00	02/21/2022 7:00	Routine Surveillance	8.86	Pass	ClarksburgWWTP-01	SARS-CoV-2	N2	ZooWVU	94014.118036875	94014.118036875	354.797033877557	3153114.36546359	11899.4428464925	100	0	8990.826416	yes
C01-0318.a3	C01-0318	11/30/2022 7:00	12/01/2022 7:00	Routine Surveillance	9.873	Pass	WheelingWWTP-01	Human	RNase P	ZooWVU	252513.34012875	252513.34012875	505.0266802575	9437270.1801649	18874.5403603298	100	NA	NA	Missing controls: HEX
R01-0319.a1	R01-0319	03/23/2023 9:00	03/24/2023 9:00	Routine Surveillance	0.177	Pass	HuttonsvilleWWTP-01	SARS-CoV-2	N1	ZooWVU	1	1	0.0475963826749167	0.67001757	0.0318904126606378	100	0	1449.91745	yes
A01-0297.a1	A01-0297	07/04/2022 0:00	07/05/2022 0:00	Routine Surveillance	7.4	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	413236.89961875	413236.89961875	855.067248010988	11575606.082175	23952.1728235702	100	0	5914.488984	yes
T01-0402.a4	T01-0402	02/08/2026 07:45 AM	02/09/2026 07:45 AM	Routine Surveillance	0.46	Pass	PointPleasantWWTP-01	SARS-CoV-2	SC2	ZooWVU	4215016.26491547	4215016.26491547	76428.2187654664	7339559.77091189	133083.586054613	100	0	453.68091583252	yes
G01-0076.a2	G01-0076	01/18/2022 9:00	01/19/2022 8:00	Routine Surveillance	0.86	Pass	KeyserWWTP-01	SARS-CoV-2	N2	ZooWVU	658944.63065	658944.63065	8067.39263773261	2145163.01110558	26263.0143377275	100	0	6737.739562	yes
T01-0041.a2	T01-0041	09/19/2022 7:00	09/20/2022 7:00	Routine Surveillance	0.21	Pass	PointPleasantWWTP-01	SARS-CoV-2	N2	ZooWVU	158814.20106375	158814.20106375	2879.67726316863	126247.141618233	2289.15941284195	100	9.8852694	1118.6196136	yes
A01-1281.a10	A01-1281	06/24/2025 12:00 AM	06/25/2025 12:00 AM	Routine Surveillance	6.9	Pass	StarCityWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	100628.973394632	100628.973394632	208.220852082918	2628361.26302665	5438.58894021406	100	0	NA	yes
J01-1028.a5	J01-1028	05/31/2026 07:30 AM	06/01/2026 07:30 AM	Routine Surveillance	0.212	Pass	AlpineLakeWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	2465	2465	352.142857142857	1978.1795578	282.597079685714	100	NA	NA	Missing controls: all
N03-0348.a1	N03-0348	05/06/2023 7:00	05/07/2023 7:00	Routine Surveillance	6.4514	Pass	SalemWWTP-01	SARS-CoV-2	N1	ZooWVU	248	248	13.3837021046951	6056.456130352	326.845986527361	100	0	752.9010008	yes
B01-0257.a3	B01-0257	10/13/2022 7:00	10/14/2022 7:00	Routine Surveillance	5.99	Pass	CharlestonWWTP-01	Human	RNase P	ZooWVU	94270.74553875	94270.74553875	188.5414910775	2137552.00299034	4275.10400598068	100	NA	NA	Missing controls: HEX
A01-0972.a2	A01-0972	08/19/2024 12:00 AM	08/20/2024 12:00 AM	Routine Surveillance	7.5	Pass	StarCityWWTP-01	Human Norovirus GI	ORF1_2	ZooWVU	1261	1261	2.60925343486178	35800.515075	74.0782053364509	100	NA	NA	Missing controls: all
C01-1295.a5	C01-1295	06/09/2026 08:00 AM	06/10/2026 08:00 AM	Routine Surveillance	10.2	Pass	WheelingWWTP-01	Respiratory Syncitial Virus, Bovine	Unk	ZooWVU	168512.128293514	168512.128293514	337.024256587028	6506452.45474822	13012.9049094964	100	NA	NA	Missing controls: all
N02-0016.a3	N02-0016	03/02/2022 7:00	03/03/2022 7:00	Routine Surveillance	11.8	Pass	ClarksburgWWTP-01	Human	RNase P	ZooWVU	2658	2658	10.0309457317533	118727.113404	448.06065893275	100	NA	NA	Missing controls: HEX
M03-0379.a2	M03-0379	07/07/2024 08:00 AM	07/08/2024 08:00 AM	Routine Surveillance	0.148	Pass	ManningtonWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	30433065.032959	30433065.032959	2789465.17259019	17049841.0485492	1562771.86512825	100	0	NA	yes
C01-0109.a1	C01-0109	01/18/2022 7:00	01/19/2022 7:00	Routine Surveillance	7.455	Pass	WheelingWWTP-01	SARS-CoV-2	N1	ZooWVU	410452.8810375	410452.8810375	820.905762075	11583075.3432429	23166.1506864857	100	0	6466.830444	yes
