Sample ID	Description	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Composite Start	Sample Composite End	Sample Received By	Concentration Output Volume (mL)	Concentration Date	Sample Received Date	Extraction Date	Extraction Run by	Extraction Method	Extraction Output Volume (mL)	Extraction Input Volume (mL)	Concentration Input Volume (mL)	Assay Target 1 Concentration (CN/Rxn)	Assay Target 2 Concentration (CN/Rxn)	Assay Control, Internal Concentration (CN/Rxn)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Assay Volume (mL)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Run By	Assay Date	Concentration Plate Comment	Sample pH (Lab)	Assay Type	Assay Amplification Method	Site	Location	Date Created	Created by	Status
A1049	A1049	Composite	EL	5/16/21 23:55	5/16/21 0:00	5/16/21 23:59	MVS	0.95	6/4/21	6/4/21			Thermo MagMax Microbiome Ultra	0.05	0.4	10	0	0	78.03	12384	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.005			BRSV		185321.25			pH -  6.58	6.58	N1/N2/BRSV Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	6/4/21 9:12	Mathilda Santee	Available
A1050	A1050	Composite	EL	5/17/21 23:55	5/17/21 0:00	5/17/21 23:55	JL	0.95	7/7/21	5/21/21	7/7/21	JL	Thermo MagMax Microbiome Ultra	0.05	0.4	10	0	0	114.92	12110	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.005			BRSV		272935			pH - 6.98	6.98	N1/N2/BRSV Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	7/8/21 11:12	Josh Lambert	Available
A1051	A1051	Composite	EL	5/18/21 23:55	5/18/21 0:00	5/18/21 23:55	JL	0.95		5/21/21	7/7/21	JL	Thermo MagMax Microbiome Ultra	0.05	0.4	10	0	3.03	85.02	15526	SARS-CoV-2 N1	0	SARS-CoV-2 N2	7196.25	0.005			BRSV		201922.5			pH: 6.74	6.74	N1/N2/BRSV Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	7/8/21 11:16	Josh Lambert	Available
A1052	A1052	Composite	EL	5/19/21 23:55	5/19/21 0:00	5/19/21 23:55	JL	0.95	7/7/21	5/21/21	7/7/21	JL	Thermo MagMax Microbiome Ultra	0.05	0.4	10	0	1.69	76.32	13896	SARS-CoV-2 N1	0	SARS-CoV-2 N2	4013.75	0.005			BRSV		181260			pH - 6.80	6.8	N1/N2/BRSV Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	7/8/21 11:19	Josh Lambert	Available
A1053	A1053	Composite	EL	5/20/21 23:55	5/20/21 0:00	5/20/21 23:55	JL	0.95	7/7/21	5/21/21	7/7/21	JL	Thermo MagMax Microbiome Ultra	0.05	0.4	10	1.83	1.83	75.27	12837	SARS-CoV-2 N1	4346.25	SARS-CoV-2 N2	4346.25	0.005			BRSV		178766.25			pH: 6.83	6.83	N1/N2/BRSV Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	7/8/21 11:21	Josh Lambert	Available
A1054	A1054	Composite	EL	5/23/21 0:00		5/23/21 23:55	JL	0.95	7/7/21	5/28/21	7/7/21	JL	Thermo MagMax Microbiome Ultra	0.05	0.4	10	0	1.59	136.99	14814	SARS-CoV-2 N1	0	SARS-CoV-2 N2	3776.25	0.005			BRSV		325351.25			pH - 7.02	7.02	N1/N2/BRSV Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	7/8/21 11:23	Josh Lambert	Available
A1055	A1055	Composite	EL	5/24/21 23:55	5/24/21 0:00	5/24/21 23:55	JL	0.95		5/28/21	7/7/21	JL	Thermo MagMax Microbiome Ultra	0.05	0.4	10	2.94	2.94	131.34	15989	SARS-CoV-2 N1	6982.5	SARS-CoV-2 N2	6982.5	0.005			BRSV		311932.5			pH - 6.88	6.88	N1/N2/BRSV Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	7/8/21 11:26	Josh Lambert	Available
A1056	A1056	Composite	EL	5/25/21 23:55	5/25/21 0:00	5/25/21 23:55	JL	0.95	7/7/21	5/28/21	7/7/21	JL	Thermo MagMax Microbiome Ultra	0.05	0.4	10	0	0	108.06	13749	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.005	Human RNase P	256642.5						pH - 6.89	6.89	CDC nCov-2 Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	7/8/21 11:27	Josh Lambert	Available
A1057	A1057	Composite	EL	5/26/21 23:55	5/26/21 0:00	5/26/21 23:55	JL	0.95		5/28/21	7/7/21	JL	Thermo MagMax Microbiome Ultra	0.05	0.4	10	0	0	101.34	15590	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.005			BRSV		240682.5			pH - 6.80	6.8	N1/N2/BRSV Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	7/8/21 11:31	Josh Lambert	Available
A1058	A1058	Composite	EL	5/27/21 23:55	5/27/21 0:00	5/27/21 11:55	JL	0.95		5/28/21	7/7/21	JL	Thermo MagMax Microbiome Ultra	0.05	0.4	10	0	0	125.1	14521	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.005			BRSV		297112.5			pH - 7.03	7.03	N1/N2/BRSV Triplex	OneStep RT-ddPCR	StarCityWWTP-01	Monongalia County	7/8/21 11:34	Josh Lambert	Available
