Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A0044	13954	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			55059.6	SARS-CoV-2 N2			79172.4																													CDC N1/N2/RP Triplex	0.005		12/21/20 13:00	100				3.4				AT	Human RNase P	34414.8	Timothy Driscoll	12/21/20 16:22	12/21/20 16:22	Monongalia County	A0044	12/21/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	12/20/20 0:00	Composite	12/20/20 11:59	12/20/20 12:00	TD	12/21/20		StarCityWWTP-01	Available
A1043	12654	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	5/7/21 23:55	100				5					Human RNase P	39060	Josh Lambert	5/7/21 15:23	5/7/21 15:23	Monongalia County	A1043		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	5/4/21 23:55	Composite	5/4/21 23:55	5/4/21 0:00	Josh Lambert	5/7/21		StarCityWWTP-01	Available
A1004	12806	OneStep RT-ddPCR				3/16/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			5520	SARS-CoV-2 N2			5520																													CDC N1/N2/RP Triplex	0.005		3/12/21 11:00	100				5				AHT	Human RNase P	60660	Mathilda Santee	3/12/21 11:03	3/12/21 11:03	Monongalia County	A1004	3/15/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AHT		Pass	Not Assessed	Not Assessed	Pass	EL	3/11/21 12:00	Composite	3/11/21 12:00	3/11/21 12:00	MVS	3/12/21		StarCityWWTP-01	Available
A1021	11698	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			42240	SARS-CoV-2 N2			12060																													CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Human RNase P	36210	Josh Lambert	4/9/21 12:54	4/9/21 12:54	Monongalia County	A1021	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	4/4/21 11:55	Composite	4/4/21 11:55	4/4/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A01-0005	14966	OneStep RT-ddPCR	None			8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G5	AP000000	A05	JL	SARS-CoV-2 N1	0	99.84027292	92886.37927	SARS-CoV-2 N2	31.54926549	99.85634831	94328.14019																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL			Josh Lambert		8/18/21 13:14	Monongalia County	Primary	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	GG	8/14/21 23:55	Composite	8/14/21 23:55	8/14/21 0:00	JL	8/18/21	6.85	StarCityWWTP-01	
A02-0028	14645	OneStep RT-ddPCR	None			8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I4	AP000002	A04	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	0																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A04	JL						WVU Morgantown	Tertiary	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A04	JL		Pass	Pass	Pass			8/23/21 9:45	Composite	8/23/21 9:00	8/21/21 9:00				HonorsSummit-01 (MUB)	
A1062		OneStep RT-ddPCR	BRSV	494760												SARS-CoV-2 N1			4013.75	SARS-CoV-2 N2			4013.75																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 7.03						Josh Lambert		07/08/2021 11:41 AM		A1062	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/02/2021 11:55 PM	Composite	06/02/2021 11:55 PM	06/02/2021 12:00 AM	JL	06/04/2021	7.03	StarCityWWTP-01	Available
A0040	11665	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			81396	SARS-CoV-2 N2			81396																													CDC N1/N2/RP Triplex	0.005		12/14/20 17:00	100				4.2				AT	Human RNase P	15246	Timothy Driscoll	12/21/20 16:22	12/21/20 16:22	Monongalia County	A0040	12/21/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	12/14/20 0:00	Composite	12/14/20 11:59	12/14/20 12:00	TD	12/18/20		StarCityWWTP-01	Available
A1015	8511	OneStep RT-ddPCR				3/30/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			33192	SARS-CoV-2 N2			19920																													CDC N1/N2/RP Triplex	0.005		3/26/21 11:00	100				4				MVS	Human RNase P	119568	Mathilda Santee	3/26/21 10:56	3/26/21 10:56	Monongalia County	A1015	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Fail: Droplet Count Below Threshold	Not Assessed	Not Assessed	Pass	EL	3/26/21 10:55	Composite	3/25/21 12:00	3/25/21 12:00	MVS	3/26/21		StarCityWWTP-01	Available
A1079		OneStep RT-ddPCR	BRSV	189430												SARS-CoV-2 N1			4607.5	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.41						Josh Lambert		07/09/2021 12:11 PM		A1079	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/27/2021 11:55 PM	Composite	06/27/2021 11:55 PM	06/27/2021 12:00 AM	JL	07/09/2021	6.41	StarCityWWTP-01	Available
