Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Volume Tested (mL)
A01-0005	14966	OneStep RT-ddPCR	Human RNase P	23.5946941375732	25069.3625211715	None				08/18/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G5	AP000000	A05	JL	SARS-CoV-2 N1	210.036067962646	0	1685.59967041016	223163.32626	SARS-CoV-2 N2	238.606586456298	1.368028819561	1874.41497802734	253519.49406																																					0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL	Josh Lambert		08/18/2021 01:14 PM	NaN	Star City	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	GG	08/14/2021 11:55 PM	Composite	08/14/2021 11:55 PM	08/14/2021 12:00 AM	JL	08/18/2021	6.85	StarCityWWTP-01		
A01-0036																																																																																	Monongalia County													Pass	DW	09/01/2021 11:55 PM	Composite	09/01/2021 11:55 PM	09/01/2021 12:00 AM	JL	09/01/2021	6.53	StarCityWWTP-01		
A01-0018																																																																																	Monongalia County													Pass	JT	08/30/2021 11:55 PM	Composite	08/30/2021 11:55 PM	08/30/2021 12:00 AM	JL	09/01/2021	6.89	StarCityWWTP-01		
A02-0008	18971	OneStep RT-ddPCR	Human RNase P	33.5114979743958	35605.9665977955	None				08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A06	JL	SARS-CoV-2 N1	6.202232837677	0	1714.01901245117	6589.87239	SARS-CoV-2 N2	1.24031588435173	0	1783.14178466797	1317.83566	None																																				0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A06	JL	Eric Lundstrum		08/13/2021 10:02 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL	NaN	Pass	Eric Lundstrom	08/13/2021 10:02 AM	Composite	08/13/2021 09:45 AM	08/11/2021 09:45 AM	Josh Lambert	08/13/2021	7.5	NorthHighSt-02 (MUB)		10
A02-0071																																																																																	WVU Morgantown													Pass	EL	09/01/2021 10:20 AM	Grab			JL	09/01/2021	8.16	HonorsSummit-01 (MUB)		
A01-0031																																																																																	Monongalia County													Pass	GG	09/06/2021 11:55 PM	Composite	09/06/2021 11:55 PM	09/06/2021 12:00 AM	JL	09/07/2021	6.56	StarCityWWTP-01		
A02-0056	10639	OneStep RT-ddPCR	Human RNase P	11.1752116680145	11873.6623972654	None				2021-08-30	Manual	DQ	58477036	QX One	CDC nCov-2 Triplex	C7	AP0005	G02	JL	SARS-CoV-2 N1	39.1316437721252	0	2615.09490966796	41577.371507883	SARS-CoV-2 N2	5.5870807170868	0	2786.11602783204	5936.27326190472																																					0.005		2021-08-27	10	NT04155	Kookaburra	Nanotrap	0.425		CP0005	C03	JL				WVU Morgantown		2021-08-27	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	C7	EP0005	B03	JL		Pass	EL	08/27/2021 10:39 AM	Composite	08/27/2021 09:49 AM	08/25/2021 09:49 AM	JL	08/27/2021	7.17	NorthHighSt-02 (MUB)		
A02-0078																																																																																	WVU Morgantown													Pass	WL	09/03/2021 10:32 AM	Composite	09/03/2021 10:32 AM	09/01/2021 10:32 AM	JL	09/03/2021	6.92	NorthHighSt-02 (MUB)		
A02-0016	17093	OneStep RT-ddPCR	Human RNase P	6.8837696313858	7314.00523334741	None				08/18/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G1	AP000000	A01	JL	SARS-CoV-2 N1	23.4130358695984	0	1685.59967041016	24876.35112	SARS-CoV-2 N2	24.7910022735596	1.368028819561	1874.41497802734	26340.43992																																					0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL	Eric Lundstrum		08/18/2021 09:23 AM	WVU Morgantown	G	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL	NaN	Pass	EL	08/18/2021 09:23 AM	Composite	08/18/2021 09:23 AM	08/16/2021 09:28 AM	JL	08/18/2021	6.91	Evansdale-01		
A02-0074																																																																																	WVU Morgantown													Pass	EL	09/03/2021 09:30 AM	Composite	09/03/2021 09:08 AM	09/01/2021 09:08 AM	JL	09/03/2021	6.81	Evansdale-01		
