Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Volume Tested (mL)
A0241	14527	OneStep RT-ddPCR	Human RNase P		4860					3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				43740	SARS-CoV-2 N2				72930																																				CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				5				AT	Timothy Driscoll	2/24/21 10:43	2/24/21 10:43	Monongalia County	A0241	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	GG	2/14/21 8:00	Composite	2/14/21 11:55	2/14/21 12:00	TD	2/18/21		StarCityWWTP-01	Available	
A02-0037	19154	OneStep RT-ddPCR	Human RNase P	36.3416719436646	38613.0264401436	None					CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	L3	AP0004	C02	JL		18.1651401519775	-20	2835.2719116211			28.7667322158814	-20	3151.89849853516																																						0.005		2021-08-25	10	NT04155	Kookaburra	Nanotrap	0.425		CP0004	A03	JL				WVU Morgantown		2021-08-25	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	L3	EP0004	A03	JL		Pass	EL	08/25/2021 09:24 AM	Composite	08/23/2021 09:35 AM	08/25/2021 09:35 AM	JL	08/25/2021	7.43	OaklandE-02		
A01-0003	19784	OneStep RT-ddPCR	Human RNase P	32.1334409713746	34141.7810320855	None				08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A02	JL	SARS-CoV-2 N1	23.7983345985412	0	1714.01901245117	25285.73	SARS-CoV-2 N2	30.9425330162048	0	1783.14178466797	32876.44184	None																																				0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A02	JL	Josh Lambert		08/16/2021 01:05 PM	Monongalia County	Star City	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL	NaN	Pass	GG	08/11/2021 11:55 PM	Composite	08/11/2021 11:55 PM	08/11/2021 12:00 AM	Josh Lambert	08/13/2021	6.87	StarCityWWTP-01		10
A02-0081																																																																				2021-09-03	10	NT04155	Halcyon	Nanotrap	0.425		CP0008	B05	JL				WVU Morgantown		2021-09-03	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	J3	EP0008	A11	JL		Pass	EL	09/03/2021 10:46 AM	Grab			JL	09/03/2021	8.22	CollegePark-02		
A1047	13275	OneStep RT-ddPCR	Human RNase P		0						Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				4779																																				CDC N1/N2/RP Triplex	0.005		5/18/21 10:00	100				4.5				KD	Mathilda Santee	5/18/21 9:18	5/18/21 9:18	Monongalia County	A1047	5/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KD		Pass	EL	5/17/21 9:18	Composite	5/12/21 11:59	5/12/21 12:00	MVS	5/18/21		StarCityWWTP-01	Available	
A0224	13877	OneStep RT-ddPCR	Human RNase P		4080					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				44784	SARS-CoV-2 N2				44784																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0224	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	GS	1/20/21 0:00	Composite	1/20/21 23:59	1/20/21 0:00	TD	1/22/21		StarCityWWTP-01	Available	
A0434	13546	OneStep RT-ddPCR	Human RNase P		37512					3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				37512	SARS-CoV-2 N2				31284																																				CDC N1/N2/RP Triplex	0.005			100				6					Mathilda Santee	3/8/21 10:55	3/8/21 10:55	Monongalia County	A0434		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	EL	3/2/21 12:00	Composite	3/2/21 12:00	3/2/21 12:00				StarCityWWTP-01	Available	
A1027	12104	OneStep RT-ddPCR	Human RNase P		42000						Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				9336	SARS-CoV-2 N2				4656																																				CDC N1/N2/RP Triplex	0.005		4/16/21 11:00	100				4				JL	Aiyana-Mei Tom	4/16/21 11:18	4/16/21 11:18	Monongalia County	A1027	4/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Pass	EL	4/12/21 12:00	Composite	4/13/21 12:00	4/12/21 12:00	MVS	4/16/21		StarCityWWTP-01	Available	
A0050	14694	OneStep RT-ddPCR	Human RNase P		0					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				33642	SARS-CoV-2 N2				33642																																				CDC N1/N2/RP Triplex	0.005		1/3/21 13:00	100				7				MS	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0050	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	GG	12/29/20 0:00	Composite	12/29/20 11:59	12/29/20 12:00	TD	1/14/21		StarCityWWTP-01	Available	
A1051	15526	OneStep RT-ddPCR		85.02		BRSV		201922.5												SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	3.03			7196.25																																				N1/N2/BRSV Triplex	0.005			10				0.95	pH: 6.74				Josh Lambert		7/8/21 11:16		A1051	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County		EL	5/18/21 23:55	Composite	5/18/21 23:55	5/18/21 0:00	JL	5/21/21	6.74	StarCityWWTP-01	Available	
