concentration_batch_id	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by	concentration_batch_record_version	concentration_batch_comment
CB	02/06/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB1	11/29/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	2.0.0	
CB10	01/04/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB100	11/14/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB101	11/14/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB102	11/21/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB103	11/21/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB104	12/02/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB105	12/02/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB106	12/05/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB107	12/05/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB108	12/12/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB109	12/19/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB11	01/04/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB110	12/19/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB111	01/09/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB112	01/09/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB113	01/10/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB114	01/16/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB115	01/16/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB116	01/23/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB117	01/23/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB118	01/30/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04991	0.475	AJ	2.0.0	
CB119	01/30/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB12	01/09/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB121	12/31/1899	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	TD	2.0.0	
CB122	12/31/1899	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04991	0.475	AJ	2.0.0	
CB123	02/13/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB124	02/20/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB126	02/27/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB127	02/27/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB128	03/06/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB129	03/06/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB13	01/10/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB130	03/13/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB131	03/13/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB132	03/20/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB133	03/20/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB134	03/27/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB135	03/27/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB136	04/03/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB137	04/03/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB138	04/11/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB139	04/11/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB14	01/18/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	2.0.0	
CB140	04/17/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB141	04/17/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB142	04/24/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB143	04/24/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB144	05/01/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
