assay_batch_id	concentration_batch_id	extraction_batch_id	archive_batch_id
AP0	CP0	EP0	
AP0.1	CP0.1	EP0.1	
AP0.2	CP0.2	EP0.2	
AP0.3	CP0.3	EP0.3	
AP0.4	CP0.4	EP0.4	
AP0.5	CP1	EP1	
AP0.6	CP1.1	EP1.2	
AP10	CP1.2	EP1.4	
AP11	CP1.3	EP10	
AP12	CP10	EP100	
AP13	CP100	EP102	
AP14	CP101	EP104	
AP15	CP102	EP106	
AP16	CP103	EP108	
AP17	CP104	EP109	
AP19	CP105	EP11	
AP20	CP106	EP110	
AP21	CP107	EP111	
AP22	CP108	EP112	
AP23	CP109	EP114	
AP24	CP11	EP116	
AP25	CP110	EP117	
AP27	CP111	EP118	
AP28	CP112	EP119	
AP30	CP113	EP12	
AP32	CP114	EP12.1	
AP33	CP115	EP121	
AP35	CP116	EP122	
AP36	CP117	EP124	
AP38	CP118	EP125	
AP39	CP119	EP126	
AP4	CP12	EP127	
AP4.1	CP120	EP128	
AP4.2	CP121	EP130	
AP4.3	CP122	EP131	
AP40	CP123	EP132	
AP41	CP124	EP133	
AP42	CP125	EP135	
AP45	CP126	EP136	
AP46	CP127	EP137	
AP47	CP128	EP138	
AP48	CP129	EP140	
AP49	CP13	EP141	
AP5	CP130	EP143	
AP5.1	CP131	EP144	
AP5.2	CP132	EP146	
AP50	CP133	EP148	
AP51	CP134	EP149	
AP52	CP135	EP150	
AP53	CP136	EP152	
AP54	CP137	EP153	
AP55	CP138	EP155	
AP56	CP139	EP156	
AP57	CP140	EP158	
AP58	CP141	EP16	
AP59	CP142	EP160	
AP60	CP143	EP161	
AP61	CP144	EP163	
AP62	CP145	EP164	
AP63	CP146	EP166	
AP64	CP147	EP168	
AP65	CP148	EP17	
AP66	CP149	EP170	
AP67	CP150	EP173	
AP68	CP151	EP175	
AP69	CP152	EP178	
AP7	CP153	EP179	
AP70	CP154	EP18	
AP71	CP155	EP181	
AP72	CP156	EP182	
AP73	CP157	EP184	
AP74	CP158	EP187	
AP75	CP159	EP19	
AP76	CP16	EP2	
AP77	CP160	EP20	
AP78	CP161	EP21	
AP79	CP162	EP22	
AP8	CP163	EP23	
AP80	CP164	EP24	
AP81	CP165	EP25	
AP82	CP166	EP26	
AP83	CP167	EP27	
AP84	CP168	EP28	
AP85	CP169	EP29	
AP87	CP17	EP3	
AP88	CP170	EP30	
AP89	CP172	EP31	
AP9	CP173	EP32	
AP90	CP174	EP32.1	
AP91	CP175	EP33	
AP92	CP176	EP34	
AP93	CP177	EP35	
AP94	CP178	EP35.1	
AP95	CP179	EP36	
AP96	CP18	EP37	
AP97	CP180	EP38	
AP98	CP181	EP39	
AP99	CP182	EP4	
MA0	CP183	EP40	
MA1	CP184	EP41	
MA10	CP185	EP42	
MA11	CP186	EP43	
MA12	CP187	EP44	
MA13	CP19	EP45	
MA14	CP2	EP46	
