assay_id	sample_id	collection_start_datetime	collection_end_datetime	sample_flow	sample_qc	location_id	target	target_category	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_lday	target_copies_flownorm	target_copies_flownorm_per_person	target_copies_per_ldayperson	target_result_validated
A02-0387.a1	A02-0387	3/7/22 9:00	3/9/22 9:00	NA	NA	HonorsSummit-01	SARS-CoV-2	Pathogen	N1	ZooWVU	2631.57429	1315.787145	NA	NA	1.5054772826087	1
N02-0059.a2	N02-0059	5/1/22 7:00	5/2/22 7:00	8.293	NA	ClarksburgWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	26012.763211875	26012.763211875	816603201297.94	30817540.9954691	0.981687795753453	1
P01-0050.a2	P01-0050	3/11/22 11:15	3/12/22 11:15	0.315	NA	StMarysWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	110831.45813625	110831.45813625	132155890632.216	45697057.6183319	38.3234640858402	1
A02-0198.a2	A02-0198	10/27/21 10:26	10/29/21 10:26	NA	NA	CollegePark-02	SARS-CoV-2	Pathogen	N2	ZooWVU	13095.0055225	6547.50276125	NA	NA	11.5476239175485	1
A0239.a1	A0239	2/10/21 12:00	2/10/21 11:55	8.969	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	0	0	0	1
N03-0039.a2	N03-0039	2/17/22 7:35	2/18/22 7:35	0.70815	NA	SalemWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	38239.3193925	38239.3193925	102505776156.57	55318821.4552456	20.6364378804641	1
N03-0107.a1	N03-0107	6/24/22 7:30	6/25/22 7:30	0.46584	NA	SalemWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	0	0	0	1
M03-0030.a3	M03-0030	4/8/22 11:00	4/9/22 11:00	0.637	NA	ManningtonWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
D01-0029.a2.a1	D01-0029	4/11/22 7:19	4/12/22 7:19	1.25	NA	CharlesTownWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	43413.4798575	43413.4798575	205422275984.224	12083663.2931896	2.55373410926471	1
E02-0117.a3	E02-0117	4/29/22 8:00	4/30/22 8:00	0.117	NA	AthensWWTP-01	Human	Internal Control	RNase P	ZooWVU	8610.532005	8610.532005	3813544092.9745	1594957.79714534	3.60122626725219	1
