assay_amplification_method	assay_amplification_method_lot_id	assay_batch_comment	assay_batch_id	assay_batch_record_version	assay_date	assay_machine	assay_method	assay_method_lot_id	assay_quantification_method	assay_quantification_type	assay_qx_manager_version	assay_reaction_ul	assay_run_by
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP999	1.0.0	09/17/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	AJ
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP0	1.0.0	08/13/2021	Zoo QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477036		AP0.1	1.0.0	08/16/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477036		AP0.2	1.0.0	08/18/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477036		AP0.3	1.0.0	08/20/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP0.4	1.0.0	09/02/2021	Zoo QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP0.5	1.0.0	09/03/2021	Zoo QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP0.6	1.0.0	06/01/2022	Zoo QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037		AP10	1.0.0	09/29/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP100	1.0.0	07/18/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP102	1.0.0	07/25/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
