assay_id	extraction_id	assay_template	assay_type	assay_target_macromolecule	assay_target_fluorophore	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment	sample_id	assay_batch_id	assay_location_in_batch	assay_accepted_droplets	assay_target	assay_target_genetic_locus	assay_input_ul	assay_class
A0020.a1	A0020.e1	sample	sample	RNA	FAM	0	0	3996	A0020	MA2		12727	SARS-CoV-2	N1:SARS	5	unknown
A0020.a2	A0020.e1	sample	sample	RNA	FAM/HEX	0	0		A0020	MA2		12727	SARS-CoV-2	N2:SARS	5	unknown
A0020.a3	A0020.e1	sample	sample	RNA	HEX	0	0	35942.4	A0020	MA2		12727	Human	RNase P	5	unknown
A0021.a1	A0021.e1	sample	sample	RNA	FAM	0	0	19320	A0021	MA2		14612	SARS-CoV-2	N1:SARS	5	unknown
A0021.a2	A0021.e1	sample	sample	RNA	FAM/HEX	0	0	19320	A0021	MA2		14612	SARS-CoV-2	N2:SARS	5	unknown
A0021.a3	A0021.e1	sample	sample	RNA	HEX	0	0	88968	A0021	MA2		14612	Human	RNase P	5	unknown
A0022.a1	A0022.e1	sample	sample	RNA	FAM	0	0	49795.2	A0022	MA3		12254	SARS-CoV-2	N1:SARS	5	unknown
A0022.a2	A0022.e1	sample	sample	RNA	FAM/HEX	0	0	49795.2	A0022	MA3		12254	SARS-CoV-2	N2:SARS	5	unknown
A0022.a3	A0022.e1	sample	sample	RNA	HEX	0	0	27648	A0022	MA3		12254	Human	RNase P	5	unknown
A0023.a1	A0023.e1	sample	sample	RNA	FAM	0	0	49394.4	A0023	MA3		12579	SARS-CoV-2	N1:SARS	5	unknown
A0023.a2	A0023.e1	sample	sample	RNA	FAM/HEX	0	0	29647.2	A0023	MA3		12579	SARS-CoV-2	N2:SARS	5	unknown
A0023.a3	A0023.e1	sample	sample	RNA	HEX	0	0	24684	A0023	MA3		12579	Human	RNase P	5	unknown
A0024.a1	A0024.e1	sample	sample	RNA	FAM	0	0	23962.8	A0024	MA3		13430	SARS-CoV-2	N1:SARS	5	unknown
A0024.a2	A0024.e1	sample	sample	RNA	FAM/HEX	0	0	7980	A0024	MA3		13430	SARS-CoV-2	N2:SARS	5	unknown
A0024.a3	A0024.e1	sample	sample	RNA	HEX	0	0	39968.4	A0024	MA3		13430	Human	RNase P	5	unknown
A0025.a1	A0025.e1	sample	sample	RNA	FAM	0	0	103305.6	A0025	MA3		12472	SARS-CoV-2	N1:SARS	5	unknown
A0025.a2	A0025.e1	sample	sample	RNA	FAM/HEX	0	0	70675.2	A0025	MA3		12472	SARS-CoV-2	N2:SARS	5	unknown
A0025.a3	A0025.e1	sample	sample	RNA	HEX	0	0	27158.4	A0025	MA3		12472	Human	RNase P	5	unknown
A0027.a1	A0027.e1	sample	sample	RNA	FAM	0	0	15891.6	A0027	MA3		10133	SARS-CoV-2	N1:SARS	5	unknown
A0027.a2	A0027.e1	sample	sample	RNA	FAM/HEX	0	0	15891.6	A0027	MA3		10133	SARS-CoV-2	N2:SARS	5	unknown
A0027.a3	A0027.e1	sample	sample	RNA	HEX	0	0	42362.4	A0027	MA3		10133	Human	RNase P	5	unknown
A0028.a1	A0028.e1	sample	sample	RNA	FAM	0	0	9676.8	A0028	MA3		10501	SARS-CoV-2	N1:SARS	5	unknown
A0028.a2	A0028.e1	sample	sample	RNA	FAM/HEX	0	0	9676.8	A0028	MA3		10501	SARS-CoV-2	N2:SARS	5	unknown
A0028.a3	A0028.e1	sample	sample	RNA	HEX	0	0	9676.8	A0028	MA3		10501	Human	RNase P	5	unknown
A0029.a1	A0029.e1	sample	sample	RNA	FAM	0	0	28170	A0029	MA3		10527	SARS-CoV-2	N1:SARS	5	unknown
A0029.a2	A0029.e1	sample	sample	RNA	FAM/HEX	0	0	32202	A0029	MA3		10527	SARS-CoV-2	N2:SARS	5	unknown
A0029.a3	A0029.e1	sample	sample	RNA	HEX	0	0	24138	A0029	MA3		10527	Human	RNase P	5	unknown
A0030.a1	A0030.e1	sample	sample	RNA	FAM	0	0	57250.8	A0030	MA3		10315	SARS-CoV-2	N1:SARS	5	unknown
A0030.a2	A0030.e1	sample	sample	RNA	FAM/HEX	0	0	52029.6	A0030	MA3		10315	SARS-CoV-2	N2:SARS	5	unknown
A0030.a3	A0030.e1	sample	sample	RNA	HEX	0	0	26014.8	A0030	MA3		10315	Human	RNase P	5	unknown
A0031.a1	A0031.e1	sample	sample	RNA	FAM	0	0	82456.8	A0031	MA3		9322	SARS-CoV-2	N1:SARS	5	unknown
A0031.a2	A0031.e1	sample	sample	RNA	FAM/HEX	0	0	82456.8	A0031	MA3		9322	SARS-CoV-2	N2:SARS	5	unknown
A0031.a3	A0031.e1	sample	sample	RNA	HEX	0	0	51510	A0031	MA3		9322	Human	RNase P	5	unknown
A0032.a1	A0032.e1	sample	sample	RNA	FAM	0	0	443142	A0032	MA3		10476	SARS-CoV-2	N1:SARS	5	unknown
A0032.a2	A0032.e1	sample	sample	RNA	FAM/HEX	0	0	408920.4	A0032	MA3		10476	SARS-CoV-2	N2:SARS	5	unknown
A0032.a3	A0032.e1	sample	sample	RNA	HEX	0	0	28299.6	A0032	MA3		10476	Human	RNase P	5	unknown
A0033.a1	A0033.e1	sample	sample	RNA	FAM	0	0	53241.6	A0033	MA3		9338	SARS-CoV-2	N1:SARS	5	unknown
A0033.a2	A0033.e1	sample	sample	RNA	FAM/HEX	0	0	29030.4	A0033	MA3		9338	SARS-CoV-2	N2:SARS	5	unknown
A0033.a3	A0033.e1	sample	sample	RNA	HEX	0	0	24192	A0033	MA3		9338	Human	RNase P	5	unknown
A0034.a1	A0034.e1	sample	sample	RNA	FAM	0	0	106176	A0034	MA3		15971	SARS-CoV-2	N1:SARS	5	unknown
A0034.a2	A0034.e1	sample	sample	RNA	FAM/HEX	0	0	99096	A0034	MA3		15971	SARS-CoV-2	N2:SARS	5	unknown
A0034.a3	A0034.e1	sample	sample	RNA	HEX	0	0	84912	A0034	MA3		15971	Human	RNase P	5	unknown
A0035.a1	A0035.e1	sample	sample	RNA	FAM	0	0	112130.4	A0035	MA3		16284	SARS-CoV-2	N1:SARS	5	unknown
A0035.a2	A0035.e1	sample	sample	RNA	FAM/HEX	0	0	75832.8	A0035	MA3		16284	SARS-CoV-2	N2:SARS	5	unknown
