control_id	control_batch_id	control_type	control_location_in_batch	control_input_ul	control_template	control_macromolecule	control_fluorophore	control_accepted_droplets	control_calculated_copies_per_ul_reaction	control_copies_per_ul_reaction	control_comment
AP4.b3	AP4	PCR Negative		5	None	None	FAM/HEX		0	0	
MA0.b1	MA0	PCR Negative		5	None	None	FAM		0	0	
MA1.b1	MA1	PCR Negative		5	None	None	FAM		0	0	
MA2.b1	MA2	PCR Negative		5	None	None	FAM		0	0	
MA3.b1	MA3	PCR Negative		5	None	None	FAM		0	0	
MA4.b1	MA4	PCR Negative		5	None	None	FAM		0	0	
MA5.b1	MA5	PCR Negative		5	None	None	FAM		0	0	
MA6.b1	MA6	PCR Negative		5	None	None	FAM		0	0	
MA7.b1	MA7	PCR Negative		5	None	None	FAM		0	0	
MA8.b1	MA8	PCR Negative		5	None	None	FAM		0	0	
MA9.b1	MA9	PCR Negative		5	None	None	FAM		0	0	
MA10.b1	MA10	PCR Negative		5	None	None	FAM		0	0	
MA11.b1	MA11	PCR Negative		5	None	None	FAM		0	0	
MA12.b1	MA12	PCR Negative		5	None	None	FAM		0	0	
MA13.b1	MA13	PCR Negative		5	None	None	FAM		0	0	
MA14.b1	MA14	PCR Negative		5	None	None	FAM		0	0	
MA15.b1	MA15	PCR Negative		5	None	None	FAM		0	0	
MA16.b1	MA16	PCR Negative		5	None	None	FAM		0	0	
MA17.b1	MA17	PCR Negative		5	None	None	FAM		0	0	
MA18.b1	MA18	PCR Negative		5	None	None	FAM		0	0	
MA19.b1	MA19	PCR Negative		5	None	None	FAM		0	0	
MA20.b1	MA20	PCR Negative		5	None	None	FAM		0	0	
MA21.b1	MA21	PCR Negative		5	None	None	FAM		0	0	
AP0.b1	AP0	PCR Negative		5	None	None	FAM		0	0	
AP0.1.b1	AP0.1	PCR Negative		5	None	None	FAM		0	0	
AP0.2.b1	AP0.2	PCR Negative		5	None	None	FAM		0	0	
AP0.3.b1	AP0.3	PCR Negative		5	None	None	FAM		0	0	
AP4.b1	AP4	PCR Negative		5	None	None	FAM		0	0	
AP5.b1	AP5	PCR Negative		5	None	None	FAM		0	0	
AP0.4.b1	AP0.4	PCR Negative		5	None	None	FAM		0	0	
AP0.5.b1	AP0.5	PCR Negative		5	None	None	FAM		0	0	
AP7.b1	AP7	PCR Negative		5	None	None	FAM		0	0	
AP8.b1	AP8	PCR Negative		5	None	None	FAM		0	0	
AP9.b1	AP9	PCR Negative		5	None	None	FAM		0	0	
AP10.b1	AP10	PCR Negative		5	None	None	FAM		0	0	
AP11.b1	AP11	PCR Negative		5	None	None	FAM		0	0	
AP12.b1	AP12	PCR Negative		5	None	None	FAM		0	0	
AP13.b1	AP13	PCR Negative		5	None	None	FAM		0	0	
AP14.b1	AP14	PCR Negative		5	None	None	FAM		0	0	
AP15.b1	AP15	PCR Negative		5	None	None	FAM		0	0	
AP16.b1	AP16	PCR Negative		5	None	None	FAM		0	0	
AP17.b1	AP17	PCR Negative		5	None	None	FAM		0	0	
AP19.b1	AP19	PCR Negative		5	None	None	FAM		0	0	
AP20.b1	AP20	PCR Negative		5	None	None	FAM		0	0	
AP21.b1	AP21	PCR Negative		5	None	None	FAM		0	0	
AP22.b1	AP22	PCR Negative		5	None	None	FAM		0	0	
AP23.b1	AP23	PCR Negative		5	None	None	FAM		0	0	
AP24.b1	AP24	PCR Negative		5	None	None	FAM		0	0	
AP25.b1	AP25	PCR Negative		5	None	None	FAM		0	0	
AP27.b1	AP27	PCR Negative		5	None	None	FAM		0	0	
AP28.b1	AP28	PCR Negative		5	None	None	FAM		0	0	
AP30.b1	AP30	PCR Negative		5	None	None	FAM		0	0	
AP32.b1	AP32	PCR Negative		5	None	None	FAM		0	0	
AP33.b1	AP33	PCR Negative		5	None	None	FAM		0	0	
AP35.b1	AP35	PCR Negative		5	None	None	FAM		0	0	
AP36.b1	AP36	PCR Negative		5	None	None	FAM		0	0	
AP38.b1	AP38	PCR Negative		5	None	None	FAM		0	0	
AP39.b1	AP39	PCR Negative		5	None	None	FAM		0	0	
AP40.b1	AP40	PCR Negative		5	None	None	FAM		0	0	
AP41.b1	AP41	PCR Negative		5	None	None	FAM		0	0	
AP42.b1	AP42	PCR Negative		5	None	None	FAM		0	0	
AP45.b1	AP45	PCR Negative		5	None	None	FAM		0	0	
AP46.b1	AP46	PCR Negative		5	None	None	FAM		0	0	
AP47.b1	AP47	PCR Negative		5	None	None	FAM		0	0	
AP48.b1	AP48	PCR Negative		5	None	None	FAM		0	0	
AP49.b1	AP49	PCR Negative		5	None	None	FAM		0	0	
AP50.b1	AP50	PCR Negative		5	None	None	FAM		0	0	
AP51.b1	AP51	PCR Negative		5	None	None	FAM		0	0	
AP52.b1	AP52	PCR Negative		5	None	None	FAM		0	0	
AP53.b1	AP53	PCR Negative		5	None	None	FAM		0	0	
AP54.b1	AP54	PCR Negative		5	None	None	FAM		0	0	
AP55.b1	AP55	PCR Negative		5	None	None	FAM		0	0	
AP56.b1	AP56	PCR Negative		5	None	None	FAM		0	0	
AP57.b1	AP57	PCR Negative		5	None	None	FAM		0	0	
AP58.b1	AP58	PCR Negative		5	None	None	FAM		0	0	
AP59.b1	AP59	PCR Negative		5	None	None	FAM		0	0	
AP60.b1	AP60	PCR Negative		5	None	None	FAM		0	0	
AP61.b1	AP61	PCR Negative		5	None	None	FAM		0	0	
AP62.b1	AP62	PCR Negative		5	None	None	FAM		0	0	
AP63.b1	AP63	PCR Negative		5	None	None	FAM		0	0	
AP64.b1	AP64	PCR Negative		5	None	None	FAM		0	0	
AP65.b1	AP65	PCR Negative		5	None	None	FAM		0	0	
AP66.b1	AP66	PCR Negative		5	None	None	FAM		0	0	
AP67.b1	AP67	PCR Negative		5	None	None	FAM		0	0	
