extraction_batch_comment	extraction_batch_id	extraction_batch_record_version	extraction_date	extraction_eluant	extraction_input_ul	extraction_machine	extraction_method	extraction_method_lot_id	extraction_output_ul	extraction_run_by
	EP0	1.0.0	06/04/2021	Kit buffer	400		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	
	EP0.1	1.0.0	07/07/2021	Kit buffer	400		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	JL
	EP0.2	1.0.0	07/09/2021	Kit buffer	400		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	JL
	EP0.3	1.0.0	07/30/2021	Kit buffer	400		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	JL
	EP0.4	1.0.0	08/13/2021	Kit buffer	400	Bender	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP1	1.0.0	08/16/2021	Kit buffer	400	Wall-E	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP1.2	1.0.0	08/18/2021	Kit buffer	400	Bender	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP1.4	1.0.0	08/20/2021	Kit buffer	400	Bender	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP10	1.0.0	09/08/2021	Kit buffer	400	Wall-E	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP100	1.0.0	03/21/2022	Kit buffer	400	Wall-E	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	AJ
	EP102	1.0.0	03/23/2022	Kit buffer	400	Wall-E	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	AJ
	EP104	1.0.0	03/25/2022	Kit buffer	400	Bender	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	AJ
	EP106	1.0.0	03/29/2022	Kit buffer	400	Wall-E	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	AJ
	EP108	1.0.0	03/30/2022	Kit buffer	400	Wall-E	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	AJ
