extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
A0020.e1	A0020.c1	ME14			
A0021.e1	A0021.c1	ME13			
A0022.e1	A0022.c1	ME22			
A0023.e1	A0023.c1	ME21			
A0024.e1	A0024.c1	ME24			
A0025.e1	A0025.c1	ME18			
A0027.e1	A0027.c1	ME16			
A0028.e1	A0028.c1	ME15			
A0029.e1	A0029.c1	ME17			
A0030.e1	A0030.c1	ME20			
A0031.e1	A0031.c1	ME23			
A0032.e1	A0032.c1	ME19			
A0033.e1	A0033.c1	ME26			
A0034.e1	A0034.c1	ME25			
A0035.e1	A0035.c1	ME28			
A0036.e1	A0036.c1	ME27			
A0037.e1	A0037.c1	ME29			
A0038.e1	A0038.c1	ME30			
A0039.e1	A0039.c1	ME31			
A0040.e1	A0040.c1	ME35			
A0041.e1	A0041.c1	ME34			
A0042.e1	A0042.c1	ME33			
A0043.e1	A0043.c1	ME32			
A0044.e1	A0044.c1	ME36			
A0045.e1	A0045.c1	ME53			
A0046.e1	A0046.c1	ME49			
A0047.e1	A0047.c1	ME51			
A0048.e1	A0048.c1	ME50			
A0049.e1	A0049.c1	ME52			
A0050.e1	A0050.c1	ME48			
A01-0001.e1	A01-0001.c1	EP0.4	A03		
A01-0002.e1	A01-0002.c1	EP1	A01		
A01-0003.e1	A01-0003.c1	EP1	A02		
A01-0004.e1	A01-0004.c1	EP1	A03		
A01-0005.e1	A01-0005.c1	EP1.2	A05	G5	
A01-0006.e1	A01-0006.c1	EP7	A01	F1	
A01-0007.e1	A01-0007.c1	EP1.2	A07	G7	
A01-0008.e1	A01-0008.c1	EP1.2	A08	G8	
A01-0009.e1	A01-0009.c1	EP1.4	A05	H5	
A01-0010.e1	A01-0010.c1	EP1.4	A06	H6	
A01-0011.e1	A01-0011.c1	EP3	A01	K1	
A01-0012.e1	A01-0012.c1	EP3	A02	K2	
A01-0013.e1	A01-0013.c1	EP7	A02	F2	
A01-0014.e1	A01-0014.c1	EP6	A01	E1	
A01-0015.e1	A01-0015.c1	EP5	B05	D1	
A01-0016.e1	A01-0016.c1	EP7	A03	F3	
A01-0017.e1	A01-0017.c1	EP7	B05	H1	
A01-0018.e1	A01-0018.c1	EP7	B06	H2	
A01-0026.e1	A01-0026.c1	EP7		I1	
A01-0027.e1	A01-0027.c1	EP9	A01	K1	
A01-0028.e1	A01-0028.c1	EP9	A02	K2	
A01-0029.e1	A01-0029.c1	EP11	A01	A1	
A01-0030.e1	A01-0030.c1	EP11	A02	A2	
A01-0031.e1	A01-0031.c1	EP9	A03	K3	
A01-0032.e1	A01-0032.c1	EP11	A03	A3	
A01-0033.e1	A01-0033.c1	EP12	A01	D1	
A01-0034.e1	A01-0034.c1	EP12	A02	D2	
A01-0035.e1	A01-0035.c1	EP12	A03	D3	
A01-0036.e1	A01-0036.c1	EP8	A02	I2	
A01-0037.e1	A01-0037.c1	EP12	B02	G6	
A01-0038.e1	A01-0038.c1	EP12	B03	G7	
A01-0039.e1	A01-0039.c1	EP12	B04	G8	
A01-0040.e1	A01-0040.c1	EP17	A01	NAB_10 K1	
A01-0041.e1	A01-0041.c1	EP17	A02	K2	
A01-0042.e1	A01-0042.c1	EP17	A03	K3	
A01-0043.e1	A01-0043.c1	EP17	A04	K4	
A01-0044.e1	A01-0044.c1	EP17	A05	K5	
A01-0045.e1	A01-0045.c1	EP19	A08	C8	
A01-0046.e1	A01-0046.c1	EP8	A03	I3	
A01-0047.e1	A01-0047.c1	EP17	A06	K6	
A01-0048.e1	A01-0048.c1	EP19	A05	C5	
A01-0049.e1	A01-0049.c1	EP19	A06	C6	
A01-0050.e1	A01-0050.c1	EP19	A07	C7	
A01-0051.e1	A01-0051.c1	EP20	A06	F6	
A01-0052.e1	A01-0052.c1	EP20	A07	F7	
A01-0053.e1	A01-0053.c1	EP20	A08	F8	
A01-0054.e1	A01-0054.c1	EP20	A09	NAB_11 G1	
A01-0055.e1	A01-0055.c1	EP20	A10	NAB_11 G2	
A01-0056.e1	A01-0056.c1	EP22	A06	K6	
A01-0057.e1	A01-0057.c1	EP22	A07	K7	
A01-0058.e1	A01-0058.c1	EP22	A08	K8	
A01-0059.e1	A01-0059.c1	EP26	B05	I5	
A01-0060.e1	A01-0060.c1	EP26	B06	I6	
A01-0061.e1	A01-0061.c1	EP26	B07	I7	
A01-0062.e1	A01-0062.c1	EP27	A02	K2	
A01-0063.e1	A01-0063.c1	EP27	A03	K3	
A01-0064.e1	A01-0064.c1	EP27	A04	K4	
A01-0065.e1	A01-0065.c1	EP27	A05	K5	
A01-0066.e1	A01-0066.c1	EP27	A06	K6	
A01-0067.e1	A01-0067.c1	EP28	A01	NAB_13 A1	
A01-0068.e1	A01-0068.c1	EP28	B01	B1	
A01-0069.e1	A01-0069.c1	EP28	A03	A3	
A01-0070.e1	A01-0070.c1	EP29	B03	E3	
A01-0071.e1	A01-0071.c1	EP29	B04	E4	
A01-0072.e1	A01-0072.c1	EP29	B05	E5	
A01-0073.e1	A01-0073.c1	EP31	A04	F4	
A01-0074.e1	A01-0074.c1	EP31	A05	F5	
A01-0075.e1	A01-0075.c1	EP31	A06	F6	
A01-0076.e1	A01-0076.c1	EP32	A01	I1	
A01-0077.e1	A01-0077.c1	EP32	A02	I2	
A01-0078.e1	A01-0078.c1	EP32	A03	I3	
A01-0079.e1	A01-0079.c1	EP34	A01	D1	
A01-0080.e1	A01-0080.c1	EP34	A02	D2	
A01-0081.e1	A01-0081.c1	EP34	A03	D3	
A01-0082.e1	A01-0082.c1	EP34	B07	E7	
A01-0083.e1	A01-0083.c1	EP34	B08	E8	
A01-0084.e1	A01-0084.c1	EP34	C01	F1	
A01-0085.e1	A01-0085.c1	EP36	A01	I1	
A01-0086.e1	A01-0086.c1	EP35	B01	H1	
A01-0087.e1	A01-0087.c1	EP35	B02	H2	
A01-0088.e1	A01-0088.c1	EP37	A02	K2	
A01-0089.e1	A01-0089.c1	EP37	A03	K3	
A01-0090.e1	A01-0090.c1	EP37	A04	K4	
A01-0091.e1	A01-0091.c1	EP38	A06	NAB_16 A1	
A01-0092.e1	A01-0092.c1	EP38	A07	A2	
A01-0093.e1	A01-0093.c1	EP38	A08	A3	
A01-0094.e1	A01-0094.c1	EP41	A06	G6	
A01-0095.e1	A01-0095.c1	EP41	A07	G7	
A01-0096.e1	A01-0096.c1	EP41	A08	G8	
A01-0097.e1	A01-0097.c1	EP41	B01	H1	
A01-0098.e1	A01-0098.c1	EP41	B02	H2	
A01-0099.e1	A01-0099.c1	EP41	B03	H3	
A01-0100.e1	A01-0100.c1	EP41	B04	H4	
A01-0101.e1	A01-0101.c1	EP27	A01	K1	
A01-0102.e1	A01-0102.c1	EP30	A04	A4	
A01-0103.e1	A01-0103.c1	EP30	A05	A5	
A01-0111.e1	A01-0111.c1	EP41	B05	H5	
A01-0112.e1	A01-0112.c1	EP41	B06	H6	
A01-0113.e1	A01-0113.c1	EP44	A07	A7	
A01-0114.e1	A01-0114.c1	EP44	A08	A8	
A01-0115.e1	A01-0115.c1	EP44	B01	B1	
A01-0116.e1	A01-0116.c1	EP45	A01	NAB_17 C1	
A01-0117.e1	A01-0117.c1	EP45	A02	C2	
A01-0118.e1	A01-0118.c1	EP45	A03	C3	
A01-0119.e1	A01-0119.c1	EP48	B03	I3	
A01-0120.e1	A01-0120.c1	EP48	B04	I4	
A01-0121.e1	A01-0121.c1	EP48	B05	I5	
A01-0122.e1	A01-0122.c1	EP49	A01	NAB_17 K1	
A01-0123.e1	A01-0123.c1	EP49	A02	K2	
A01-0124.e1	A01-0124.c1	EP49	A03	K3	
A01-0125.e1	A01-0125.c1	EP57	A01	NAB_20 D1	
A01-0126.e1	A01-0126.c1	EP57	A02	D2	
A01-0127.e1	A01-0127.c1	EP57	A03	D3	
A01-0128.e1	A01-0128.c1	EP52	A05	F5	
A01-0129.e1	A01-0129.c1	EP52	A07	F7	
A01-0130.e1	A01-0130.c1	EP52	A06	F6	
A01-0131.e1	A01-0131.c1	EP54	A01	NAB_18 I1	
A01-0132.e1	A01-0132.c1	EP54	A02	I2	
A01-0133.e1	A01-0133.c1	EP54	A03	I3	
A01-0134.e1	A01-0134.c1	EP54	A04	I4	
A01-0135.e1	A01-0135.c1	EP54	A05	I5	
A01-0136.e1	A01-0136.c1	EP54	A06	I6	
A01-0137.e1	A01-0137.c1	EP55	A01	NAB_18 K1	
A01-0138.e1	A01-0138.c1	EP55	A02	K2	
A01-0139.e1	A01-0139.c1	EP55	A03	K3	
A01-0140.e1	A01-0140.c1	EP55	A04	K4	
A01-0141.e1	A01-0141.c1	EP55	A05	K5	
A01-0142.e1	A01-0142.c1	EP55	A06	K6	
A01-0143.e1	A01-0143.c1	EP57	A04	D4	
A01-0144.e1	A01-0144.c1	EP57	A05	D5	
A01-0145.e1	A01-0145.c1	EP57	A06	D6	
A01-0146.e1	A01-0146.c1	EP58	A06	G6	
A01-0147.e1	A01-0147.c1	EP58	A07	G7	
A01-0148.e1	A01-0148.c1	EP58	A08	G8	
A01-0149.e1	A01-0149.c1	EP60	A04	A4	
A01-0150.e1	A01-0150.c1	EP60	A05	A5	
A01-0151.e1	A01-0151.c1	EP60	A06	A6	
A01-0152.e1	A01-0152.c1	EP60	A07	A7	
A01-0153.e1	A01-0153.c1	EP60	A08	A8	
A01-0154.e1	A01-0154.c1	EP64	A01	NAB_21 L1	
A01-0155.e1	A01-0155.c1	EP64	A02	L2	
A01-0156.e1	A01-0156.c1	EP64	A03	L3	
A01-0157.e1	A01-0157.c1	EP64	A04	L4	
A01-0158.e1	A01-0158.c1	EP64	A05	L5	
A01-0159.e1	A01-0159.c1	EP64	B04	A4	
A01-0160.e1	A01-0160.c1	EP69	A01	NAB_22 J1	
A01-0161.e1	A01-0161.c1	EP69	A02	J2	
A01-0162.e1	A01-0162.c1	EP69	A03	J3	
A01-0163.e1	A01-0163.c1	EP69	A04	J4	
A01-0164.e1	A01-0164.c1	EP69	A05	J5	
A01-0165.e1	A01-0165.c1	EP69	A06	J6	
A01-0166.e1	A01-0166.c1	EP72	A06	F6	
A01-0167.e1	A01-0167.c1	EP72	A07	F7	
A01-0168.e1	A01-0168.c1	EP72	A08	F8	
A01-0169.e1	A01-0169.c1	EP74	B02	A2	
A01-0170.e1	A01-0170.c1	EP74	B03	A3	
A01-0171.e1	A01-0171.c1	EP74	B04	A4	
A01-0172.e1	A01-0172.c1	EP76	B08	F8	
A01-0173.e1	A01-0173.c1	EP76	C02	G2	
A01-0174.e1	A01-0174.c1	EP76	C01	G1	
A01-0175.e1	A01-0175.c1	EP78	C02	A2	
A01-0176.e1	A01-0176.c1	EP78	C03	A3	
A01-0177.e1	A01-0177.c1	EP78	B02	L2	
A01-0178.e1	A01-0178.c1	EP81	C07	G7	
A01-0179.e1	A01-0179.c1	EP81	C05	G5	
A01-0180.e1	A01-0180.c1	EP81	C06	G6	
A01-0181.e1	A01-0181.c1	EP84	B05	B5	
A01-0182.e1	A01-0182.c1	EP86	A04	J4	
A01-0183.e1	A01-0183.c1	EP86	A05	J5	
A01-0184.e1	A01-0184.c1	EP86	A06	J6	
A01-0185.e1	A01-0185.c1	EP84	B06	B6	
A01-0186.e1	A01-0186.c1	EP88	A06	A6	
A01-0187.e1	A01-0187.c1	EP88	A07	A7	
A01-0188.e1	A01-0188.c1	EP88	A08	A8	
A01-0189.e1	A01-0189.c1	EP90	F02	L2	
A01-0190.e1	A01-0190.c1	EP90	F06	L6	
A01-0191.e1	A01-0191.c1	EP90	C05	I5	
A01-0192.e1	A01-0192.c1	EP92	B06	B6	
A01-0193.e1	A01-0193.c1	EP92	B07	B7	
A01-0194.e1	A01-0194.c1	EP92	B08	B8	
A01-0195.e1	A01-0195.c1	EP95	E08	E8	
A01-0196.e1	A01-0196.c1	EP95	C08	C8	
A01-0197.e1	A01-0197.c1	EP95	C07	C7	
A01-0198.e1	A01-0198.c1	EP100	D08	F8	
A01-0199.e1	A01-0199.c1	EP100	E02	G2	
A01-0200.e1	A01-0200.c1	EP100	E06	G6	
A01-0201.e1	A01-0201.c1	EP100	E01	G1	
A01-0202.e1	A01-0202.c1	EP100	E05	G5	
A01-0203.e1	A01-0203.c1	EP100	E08	G8	
A01-0204.e1	A01-0204.c1	EP102	B04	J4	
A01-0205.e1	A01-0205.c1	EP102	B07	J7	
A01-0206.e1	A01-0206.c1	EP102	B05	J5	
A01-0207.e1	A01-0207.c1	EP106	D03	L3	
A01-0208.e1	A01-0208.c1	EP106	C05	K5	
A01-0209.e1	A01-0209.c1	EP106	C03	K3	
A01-0210.e1	A01-0210.c1	EP108	A01	NAB 32 B1	
A01-0211.e1	A01-0211.c1	EP108	A02	B2	
A01-0212.e1	A01-0212.c1	EP108	A03	B3	
A01-0213.e1	A01-0213.c1	EP111	C08	C8	
A01-0214.e1	A01-0214.c1	EP111	C06	C6	
A01-0215.e1	A01-0215.c1	EP111	C07	C7	
A01-0216.e1	A01-0216.c1	EP112	A07	D7	
A01-0217.e1	A01-0217.c1	EP112	A08	D8	
A01-0218.e1	A01-0218.c1	EP112	B01	E1	
A01-0219.e1	A01-0219.c1	EP117	A05	G5	
A01-0220.e1	A01-0220.c1	EP117	A06	G6	
A01-0221.e1	A01-0221.c1	EP117	A07	G7	
A01-0222.e1	A01-0222.c1	EP119	A02	J2	
A01-0223.e1	A01-0223.c1	EP119	A03	J3	
A01-0224.e1	A01-0224.c1	EP119	A04	J4	
A01-0225.e1	A01-0225.c1	EP121	B01	E1	
A01-0226.e1	A01-0226.c1	EP121	B02	E2	
A01-0227.e1	A01-0227.c1	EP122	B04	K4	
A01-0228.e1	A01-0228.c1	EP122	B02	K2	
