Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.far.mean	n1.far.ci	n1.mid.mean	n1.mid.ci	n1.near.mean	n1.near.ci	n1.load.far.mean	n1.load.far.ci	n1.load.mid.mean	n1.load.mid.ci	n1.load.near.mean	n1.load.near.ci	n1n2.far.mean	n1n2.far.ci	n1n2.mid.mean	n1n2.mid.ci	n1n2.near.mean	n1n2.near.ci	n1n2.load.far.mean	n1n2.load.far.ci	n1n2.load.mid.mean	n1n2.load.mid.ci	n1n2.load.near.mean	n1n2.load.near.ci	n2.far.mean	n2.far.ci	n2.mid.mean	n2.mid.ci	n2.near.mean	n2.near.ci	n2.load.far.mean	n2.load.far.ci	n2.load.mid.mean	n2.load.mid.ci	n2.load.near.mean	n2.load.near.ci
A02-0135	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	09/01/2021 09:44 AM	10/01/2021 09:44 AM	23514.39223	49404.83749	NA	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	23514.39223	49404.83749	36459.61486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C01-0011	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	09/29/2021 07:00 AM	09/29/2021 07:00 AM	73315.46485	93348.72961	NA	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	73315.46485	93348.72961	83332.09723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G02-0011	higher ed dorm	upstream	Sewer Network	Campus	26868	PotomacState-01	10/12/2021 09:25 AM	10/13/2021 09:25 AM	0	3612.5	NA	48-hr time-weighted composite	WVU Keyser	26726		-78.98272	39.43807	1193	Mineral	-1	Complete	discontinued	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	3612.5	1806.25	NA	NA	NA	NA	NA	NA	NA	9800.97368266667	52629.8716550873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11961.3123985	11143.2979466641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14121.6511143333	39412.0018268007	NA	NA	NA	NA	NA	NA
A01-0227	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	04/13/2022 12:00 AM	04/14/2022 12:00 AM	32474.3589386344	28864.8520410061	9.7	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	32474.3589386344	28864.8520410061	30669.6054898202	1192409.00177799	1059873.40577609	1126141.20377704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L01-0037	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	03/03/2022 09:00 AM	03/04/2022 09:00 AM	41130.29435	82300.98456	0.28	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	41130.29435	82300.98456	61715.639455	43594.6077099214	87232.0315897155	65413.3196498184	155671.946294	154218.23947726	92285.1583	92804.9648679176	36580.428242	22192.8286819129	200812.348526068	159112.468458616	116163.120460565	116731.062572965	41640.6200275566	31061.7061271862	163873.805373667	156170.847274714	99442.2188965	93408.3879557651	43977.07466	28500.080042316	210606.969826564	160299.372404243	126767.069670895	116030.917863606	48089.0552412761	42088.3789409937	172075.664453333	160638.276075551	106599.279493	94335.5407483762	51373.721078	35430.2137086589	220401.591127059	164018.881530622	137371.018881226	116036.905257024	54537.4904549957	53677.2892130915
E01-0012	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	11/23/2021 08:15 AM	11/24/2021 08:15 AM	668949.8019	688787.3268	1.881	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	668949.8019	688787.3268	678868.56435	4763160.87613693	4904411.11974968	4833785.99794331	NA	NA	68329.0824119	49579.9664312913	94162.696714	109570.51216054	NA	NA	774542.760645555	1117356.10742203	774542.760645555	1117356.10742203	NA	NA	64456.44307405	43808.9849483518	86945.333274	94131.9760740022	NA	NA	715156.384011984	923141.236613359	715156.384011984	923141.236613359	NA	NA	60583.8037362	39575.589125081	79727.969834	79301.7011204848	NA	NA	655770.007378414	729932.936553821	655770.007378414	729932.936553821
L01-0082	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	04/05/2022 09:00 AM	04/06/2022 09:00 AM	41454.3870091437	41454.3870091437	0.309	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	41454.3870091437	41454.3870091437	41454.3870091437	48488.8519986393	48488.8519986393	48488.8519986393	6246.79326452315	7060.98300952764	5328.49230431021	10606.5120924496	10055.862092413	26597.6318135278	6331.81081424836	7784.99334381289	4539.40006221824	10624.8691875185	7605.23397908349	28507.1761574349	6687.77650082484	7103.54817194914	6030.31913959421	11021.1980643531	11760.0770210847	26365.667068425	6682.11082166817	7807.10840258888	5038.05648921741	10879.0199909761	8979.14128604652	28450.7616132869	7128.75973712653	7388.19001443345	6732.14597487822	11547.6614207919	13464.2919497564	26194.3399627972	7032.41082908798	8081.3358656997	5536.71291621659	11265.7946280336	10353.0485930096	28518.6787525633
L01-0081	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	04/08/2022 09:00 AM	04/09/2022 09:00 AM	2809.00527723134	0	0.384	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2809.00527723134	0	1404.50263861567	4083.16287992997	0	2041.58143996498	7432.28608835488	9587.52078804335	9709.61212646215	14999.6929014291	18957.1193056181	32823.0727272368	9051.44828840629	10949.4674344661	9470.01313654509	16998.6842888228	18376.7656193666	40515.4461343032	7805.7077564299	9736.83488904342	10420.0252576265	15078.2797557823	19393.4449008666	33678.7496311422	9382.37763737523	11113.1724971846	9938.66373371424	17013.8434650941	18456.196303787	41169.3327530749	8179.12942450493	9957.86408125518	11130.4383887909	15249.6769522917	19829.7704961151	34715.289422796	9713.30698634417	11361.3346477091	10407.3143308834	17129.0788217831	18535.6269882074	41976.2123163145
E01-0091	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	04/07/2022 09:00 AM	04/08/2022 09:00 AM	0	0	1.697	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	0	0	0	51271.2478430205	45851.136546114	57492.5727741793	70167.5808809553	46542.4405205995	53827.7973761771	553578.915157097	459389.262241492	531799.796162102	681807.881732088	413189.818722459	475557.320183843	46508.9105340062	41229.5941573679	50577.1480682306	61943.60254405	44817.512257956	51884.5979863659	509263.695180511	425787.915216071	469210.903329457	604159.790869114	399562.005217112	457499.748628881	41746.5732249919	37718.4415210866	43661.7233622819	55188.3130467214	43092.5839953125	50240.0717664044	464948.475203925	402286.466328368	406622.010496812	536822.782601589	385934.191711765	442587.862173251
H01-0103	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	01/19/2022 08:00 AM	01/20/2022 08:00 AM	1650249.195	1806442.337	2.4	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1650249.195	1806442.337	1728345.766	14992487.5325879	16411499.7285676	15701993.6305777	442763.939056533	406784.064542902	645753.444845	558162.132273667	1011685.37342	1019454.18437474	1342831.73521761	1626040.49927409	2010631.57506187	2382623.74396282	3262734.5021741	5588472.66272515	440085.5819784	398077.365105172	642044.3710225	542388.673125762	995486.65394	979767.758735825	1392002.71325321	1689936.09768547	2075576.61132461	2485416.54501044	3382436.69562841	5827707.85852838	437407.224900267	394671.436900088	638335.2972	536989.620976555	979287.93446	984674.8598899	1441173.6912888	1754823.50992572	2140521.64758735	2589824.99567961	3502138.88908271	6071099.8526177
