Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
A02-0311	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	02/14/2022 09:00 AM	02/16/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10598.49853	2649.373272	6623.935901	NA	NA	NA	6085.6231836	12239.9257371799	NA	NA	5957.9574796	8482.44368618821	NA	NA	5830.2917756	7936.63211420676	NA	NA
A02-0355	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	02/16/2022 09:00 AM	02/18/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	13333.68273	2666.397225	8000.0399775	NA	NA	NA	8214.218778	12859.933549196	NA	NA	6212.5093673	8643.55532187331	NA	NA	4210.7999566	6302.49573245986	NA	NA
G01-0076	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	01/18/2022 09:00 AM	01/19/2022 08:00 AM	0.86	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	942162.4339	988416.9459	965289.6899	3067165.14506208	3217744.51641421	3142454.83073815	912169.2481	152665.315794277	3136913.91599652	504929.759986111	683837.73708	308007.193683191	2342310.16178715	925790.203306339	455506.22606	561981.929554317	1547706.40757778	1785459.19675603
A03-0252	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	03/11/2022 06:00 AM	03/11/2022 01:30 PM	NA	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	273	6790.629057	3531.8145285	NA	NA	NA	1381.2	1554.52498395533	NA	NA	2190.4398155	1656.75421317191	NA	NA	2999.679631	4069.95105433333	NA	NA
A03-0334	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	04/27/2022 06:00 AM	04/27/2022 02:00 PM	NA	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2544.65650767088	15270.2567540109	8907.45663084089	NA	NA	NA	36638.9721503616	143736.105424143	NA	NA	38867.4155234606	146539.455694409	NA	NA	41095.8588965596	149513.041235991	NA	NA
L01-0067	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	03/16/2022 09:00 AM	03/17/2022 09:00 AM	0.37	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	19	3349.32373836636	1684.16186918318	26.6114323	4691.06852180628	2358.83997705314	11521.972275275	18301.9434345074	16460.7327705577	27165.9010930759	11872.3931922257	15723.3026926237	16946.7576291295	23353.6755616639	12222.8141091764	14720.9358715405	17432.7824877012	21759.1038489556
N02-0066	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	04/11/2022 07:00 AM	04/12/2022 07:00 AM	10.709	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8791.75543785095	103	4447.37771892548	356399.792376918	4175.40943607	180287.600906494	9473.76251220703	6748.77722829524	471740.589562265	502765.786874085	6537.36751533747	4621.3260512505	335745.346792531	357776.798868329	3600.97251846791	7038.78904593737	199750.104022797	448969.808548258
A01-0093	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	11/18/2021 12:00 AM	11/18/2021 11:55 PM	8.055	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	102718.3378	132499.6389	117608.98835	3132033.89100202	4040109.76490246	3586071.82795224	65476.120062	57156.3291969218	2039985.59939152	1556052.86368121	65877.9478616	71704.3501527831	2024270.5184442	2023301.02140164	66279.7756612	89686.5864538686	2008555.43749688	2615661.49513442
A02-0147	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	10/06/2021 09:18 AM	10/08/2021 09:18 AM	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	14316.84643	54447.79009	34382.31826	NA	NA	NA	4932.4252356	10612.2371031106	NA	NA	10372.0513988	26966.4400653548	NA	NA	15811.677562	43417.9309105622	NA	NA
A01-0144	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	01/04/2022 12:00 AM	01/05/2022 12:00 AM	11	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	35852.66836	44820.62481	40336.646585	1492887.5427029	1866308.85498224	1679598.19884257	28981.1131264	38639.992674752	1381431.41346857	1703342.11450726	31194.6330852	42472.6757066459	1482791.29228349	1879531.5289855	33408.153044	46433.027506595	1584151.17109841	2064371.55550961
C01-0016	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	10/06/2021 07:00 AM	10/07/2021 07:00 AM	NA	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	35385.10725	66198.29983	50791.70354	NA	NA	NA	40082.69055	37843.7258509325	705804.806177049	625706.282386592	47917.22428	40338.4712556629	842134.534004001	663617.620628924	55751.75801	45550.763246428	978464.261830953	753954.31766211
M04-0024	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	03/09/2022 12:30 PM	03/10/2022 01:00 PM	0.104	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1907	618	1262.5	750.75279448	243.29587152	497.024333	9975.8730906	23672.2140235372	4082.20881394	9887.24253112324	10132.0548088	22921.5463147262	4139.37636867049	9549.99190929632	10288.236527	22444.1423939827	4196.54392340097	9314.78429673377
A1078	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	06/24/2021 12:00 AM	06/24/2021 11:55 PM	7.935	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	810	2827	1818.5	24330.1549635	84915.24454545	54622.699754475	1202	1585.45770854698	42491.02662327	47390.1494746923	2947.375	4193.60159551819	103998.818220622	118922.610096886	4692.75	6894.62622786282	165506.609817974	197313.414869581
C01-0156	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	04/18/2022 07:00 AM	04/19/2022 07:00 AM	12.504	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3516.8251208961	10551.3608269393	7034.0929739177	166461.062761065	499425.099755955	332943.08125851	6270.71247808634	4793.77102054547	247641.916461348	98675.9112136059	6451.16484197079	5108.33241102499	255559.597281379	139645.924448961	6631.61720585523	7842.70909578145	263477.27810141	320995.480008525
A1074	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	06/20/2021 12:00 AM	06/20/2021 11:55 PM	7.122	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2537	10853.75	6695.375	68396.73358074	292613.735554575	180505.234567658	2396.65	2522.32785279731	82477.73198202	66178.7699008178	3165.425	3861.59311123237	105984.453521958	88048.7998193681	3934.2	7350.69601852583	129491.175061896	190296.090431362
L01-0073	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	03/11/2022 09:00 AM	03/12/2022 09:00 AM	0.34	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	12002.7959905565	16004.4924169779	14003.6442037672	15448.0713500082	20598.4123176518	18023.24183383	22882.413969646	39372.564093678	24265.3426139953	35475.3577333849	23691.3856405362	42648.4226409821	24865.4211655462	39345.2630915889	24500.3573114264	46081.7444234241	25465.4997170971	43485.4679419622
