Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
A01-0206	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	03/20/2022 12:00 AM	03/21/2022 12:00 AM	8.5	03/22/2022	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	33394.62172	36431.81719	34913.219455	1074504.84754339	1172229.60342818	1123367.22548579	0.00222335881382096	0.00242557027691645	NA	36232.790304	26500.3135249965	1256213.51956075	783971.320814627	37494.509975	20534.2906742136	1306612.02049621	562448.787157248	38756.229646	15052.5496331371	1357010.52143167	364547.226844485
A0042	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	12/16/2020 12:00 PM	12/16/2020 11:59 AM	8.322	12/18/2020	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	84394.8	84394.8	84394.8	2658620.3511415	2658620.3511415	2658620.3511415	0.00550120085900823	0.00550120085900823	NA	89704.56	26688.5920381275	2519537.78416946	620221.818986647	87201.36	18646.3745599452	2457689.14819905	557829.676744558	84698.16	17093.8699372718	2395840.51222864	665108.820519515
D01-0016	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	01/12/2022 07:00 AM	01/13/2022 07:00 AM	NA	01/14/2022	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1018511.349	58885.52159	538698.435295	NA	NA	NA	NA	NA	NA	552185.08032	739496.405611154	NA	NA	411408.963443	634061.687623189	NA	NA	270632.846566	745666.975116221	NA	NA
A03-0299	k12	upstream	Sewer Network	K-12 School	105612	MountainviewES-01	04/13/2022 06:00 AM	04/13/2022 02:00 PM	NA	04/18/2022	8-hr time-weighted composite	Mountainview Elementary	26501		-79.94331	39.61036	726	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1636	749	1192.5	NA	NA	NA	NA	NA	NA	1656.8	1400.04810350886	NA	NA	1878.1	1022.72414948914	NA	NA	2099.4	1456.61049024528	NA	NA
C01-0065	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	12/22/2021 07:00 AM	12/23/2021 07:00 AM	6.62	01/04/2022	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	43062.86998	59637.3041	51350.08704	1079130.29546957	1494475.90521326	1286803.10034141	0.00215826059093913	0.00298895181042652	NA	124774.28399	213062.095315174	3263420.37024281	5628922.8855589	110416.169235	199121.37541749	2883463.83313273	5250625.6692835	96058.05448	200903.502786722	2503507.29602266	5285800.55546395
E02-0098	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	01/13/2022 08:00 AM	01/14/2022 08:00 AM	0.56	01/21/2022	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1003843.882	549355.883	776599.8825	2127977.97484251	1164540.86171754	1646259.41828002	0.0889994970657678	0.0487051803311392	NA	519949.1402918	1014985.44921591	784647.104686621	1612784.46709424	477303.0898115	941419.372552273	691835.22754876	1290784.68472093	434657.0393312	902575.162348804	599023.350410898	1025628.57970595
M03-0016	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	03/11/2022 12:00 PM	03/12/2022 12:00 PM	0.283	03/16/2022	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1533	1307	1420	1642.25848899	1400.15123621	1521.2048626	0.000150527817505958	0.000128336501944088	NA	6152.3430894	14633.2004608912	11139.7182247355	23829.0012631732	5383.0238054	11594.161635231	9555.63850039782	18462.5297128193	4613.7045214	9937.4998244201	7971.55877606009	16570.8626571399
C01-0084	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	02/22/2022 07:00 AM	02/23/2022 07:00 AM	16.09	03/01/2022	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5679.870425	1527	3603.4352125	345945.270335483	93005.3660163	219475.318175892	0.000691890540670966	0.0001860107320326	NA	13147.6509964	26399.657873749	755288.263327551	1671018.17347729	16556.6592631	34960.9985937197	937494.645380452	2202857.9504158	19965.6675298	43775.3999630147	1119701.02743335	2747048.04381545
N02-0018	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	03/17/2022 07:00 AM	03/18/2022 07:00 AM	10.32	03/23/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10875.34413	3624.801063	7250.0725965	424850.007886839	141604.416540313	283227.212213576	0.00160332858286225	0.000534396620651798	NA	285646.2749548	1139227.18013027	13068534.0595819	52196074.7719797	292818.785705	1167691.97223414	13402591.9834062	53494362.9354476	299991.2964552	1196173.90168968	13736649.9072305	54793311.1575418
J01-0010	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	03/18/2022 09:00 AM	03/19/2022 09:00 AM	0.122	03/23/2022	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2153	863	1508	994.29850306	398.55067726	696.42459016	0.000142042643294286	5.69358110371429e-05	NA	12803.9571518	27178.7884008739	9680.39956970837	13604.4796368827	12555.69291	34404.9432912286	8400.75813603981	15529.0919920151	12307.4286682	41820.9044324812	7121.11670237126	19159.2803479577
