Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
L01-0102	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	05/07/2022	05/08/2022	05/11/2022	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.522	58540.08012	43897.39349	51218.736805	115674.26284664	86740.548055892	101207.405451266	205.096210720992	153.79529797144	179.445754346216	51952.220566	72804.2330003531	69850.0690763717	92211.610124869	123.847640206333	163.495762632746	46371.984057	70993.1135033941	62646.8192296062	87343.6790315571	111.075920619869	154.864679133966	40791.747548	69808.1764604088	55443.5693828408	83438.2965870886	98.3042010334057	147.940242175689
A02-0279	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	active	01/08/2022	01/10/2022	01/10/2022	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	108467.3578	90369.96335	99418.660575	NA	NA	NA	NA	NA	NA	23678.6525394	87375.3446796164	NA	NA	NA	NA	21752.2594418	79990.8100825932	NA	NA	NA	NA	19825.8663442	72676.8157295262	NA	NA	NA	NA
A04-0089	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	active	05/31/2022	06/01/2022	06/06/2022	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.527	483386.868238449	481216.397881509	482301.633059979	964313.814541513	959983.919199347	962148.86687043	482.156907270757	479.991959599673	481.074433435215	709509.055495263	516688.333072965	1378186.5984271	962270.504227771	689.093299213552	481.135252113885	503210.348137622	449555.059102486	973911.487929112	819129.40337029	486.955743964556	409.564701685145	296911.640779982	783674.335508818	569636.377431121	1478417.2276363	284.818188715561	739.208613818151
N03-0062	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	05/09/2022	05/10/2022	05/18/2022	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.80607	2769	2052	2410.5	8449.0647597603	6261.2787602124	7355.17175998635	4.55966797612536	3.37899555327167	3.96933176469852	2094.464423	1815.88205763526	4718.71752777072	6181.82983595618	2.54652861725349	3.33611971719168	2067.0610521	1825.37885124434	4660.30967641639	5741.88915089356	2.51500792035423	3.09869894813468	2039.6576812	1949.29497440903	4601.90182506205	5512.50910591894	2.48348722345496	2.97491047270315
G01-0084	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	02/19/2022	02/20/2022	02/24/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.361	2504.662243	7514.436096	5009.5491695	12903.8771352348	38713.9465188789	25808.9118270568	1.57980866004343	4.73970941710075	3.15975903857209	138489.5001766	251867.911104188	492147.208808076	824577.944082763	60.2530862889417	100.952245847547	133576.5679899	260466.069597001	475927.747868296	861438.449985256	58.2673540485181	105.465040399762	128663.6358032	272362.964621106	459708.286928517	908400.661157133	56.2816218080946	111.214576537357
O01-0088	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	06/27/2022	06/28/2022	06/29/2022	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2.39	22352.9419675469	20117.1107590198	21235.0263632834	202229.969627558	182002.11424954	192116.041938549	33.3108169374993	29.9789349776873	31.6448759575933	15839.430520311	20436.6368190258	133029.391597571	190980.87764329	21.9122700704285	31.4578945220375	14972.3765866365	20761.6794165487	126106.671286758	192790.413548169	20.7719768220652	31.755956769588	14105.3226529621	21214.2503726422	119183.950975944	195489.937733183	19.6316835737018	32.200615670101
G01-0103	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	04/19/2022	04/19/2022	04/21/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.88	2406.992828	2406.992828	2406.992828	17129.5348755542	17129.5348755542	17129.5348755542	2.09715167428431	2.09715167428431	2.09715167428431	3819.6372258	2326.11785974757	18427.9341278047	13871.6960952501	2.25611338489284	1.69829775896794	3555.6355544	1532.58349963816	17719.555469662	14407.3769791772	2.16938730039937	1.76388062918428	3291.633883	2623.96816414056	17011.1768115193	18327.2428821178	2.08266121590589	2.24378585726221
H01-0219	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	05/14/2022	05/15/2022	05/20/2022	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.9	441742.613911628	434423.285722731	438082.949817179	3177136.12544171	3124493.4750146	3150814.80022815	264.761343786809	260.374456251216	262.567900019013	126459.5997791	327271.425637058	947541.25689669	2311322.05133158	78.9617714080575	192.610170944298	125112.528998891	325343.12323137	934341.262671425	2299913.28470327	77.8617718892854	191.659440391939	123765.458218682	323514.418570296	921141.26844616	2289780.18522377	76.7617723705133	190.815015435314
A01-0027	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	09/04/2021	09/04/2021	09/07/2021	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	9.983	76130.29808	87863.26289	81996.780485	2876944.78189199	3320330.56570675	3098637.67379937	59.5295642669259	68.7040756022751	64.1168199346005	75648.754178	27627.8283638165	3100673.17008757	1281478.2920883	64.1589382984517	26.516269907472	71353.424057	20140.6164590273	2899360.41181769	741637.206409759	59.9933871010117	15.3459114055984	67058.093936	41106.8219800829	2698047.65354781	1459916.880036	55.8278359035716	30.2085101811786
A0032	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	12/02/2020	12/02/2020	12/04/2020	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10.819	443142	408920.4	426031.2	18148592.9177822	16747069.5067871	17447831.2122847	375.529567078757	346.52933096315	361.029449020954	124139.28	332364.153881551	4988695.25926059	13763583.5713028	103.225775104713	284.795223706812	120598.2	318405.74928155	4838675.21009658	13199713.6273737	100.121569485528	273.127661549696	117057.12	304478.444184384	4688655.16093257	12636939.840175	97.0173638663418	261.482781000144
