assay_id	extraction_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_target	assay_target_genetic_locus	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
L01-0534.a1	L01-0534.e1	AB1	G05	5	SARS-CoV-2	N1:SARS	RNA	FAM	16333	0	3.47039079666138	
L01-0534.a2	L01-0534.e1	AB1	G05	5	Homo sapiens	RNase P	RNA	HEX	16333	0	0	
L01-0534.a3	L01-0534.e1	AB1	G05	5	SARS-CoV-2	N2:SARS	RNA	FAM/HEX	16333	0	3.47039079666138	
A01-0730.a1	A01-0730.e1	AB1	C04	5	SARS-CoV-2	N1:SARS	RNA	FAM	18120	0	15.3655185699463	
A01-0730.a2	A01-0730.e1	AB1	C04	5	Homo sapiens	RNase P	RNA	HEX	18120	0	0.555469930171967	
A01-0730.a3	A01-0730.e1	AB1	C04	5	SARS-CoV-2	N2:SARS	RNA	FAM/HEX	18120	0	17.0531692504883	
D01-0271.a1	D01-0271.e1	AB1	B05	5	SARS-CoV-2	N1:SARS	RNA	FAM	19032	0	12.5538120269775	
D01-0271.a2	D01-0271.e1	AB1	B05	5	Homo sapiens	RNase P	RNA	HEX	19032	0	0.132190808653831	
D01-0271.a3	D01-0271.e1	AB1	B05	5	SARS-CoV-2	N2:SARS	RNA	FAM/HEX	19032	0	12.8876314163208	
A01-0726.a1	A01-0726.e1	AB1	C01	5	SARS-CoV-2	N1:SARS	RNA	FAM	18510	0	10.5089683532715	
A01-0726.a2	A01-0726.e1	AB1	C01	5	Homo sapiens	RNase P	RNA	HEX	18510	0	0.815733850002289	
A01-0726.a3	A01-0726.e1	AB1	C01	5	SARS-CoV-2	N2:SARS	RNA	FAM/HEX	18510	0	11.7430400848389	
Q01-0480.a1	Q01-0480.e1	AB1	F03	5	SARS-CoV-2	N1:SARS	RNA	FAM	15459	0	25.4802932739258	
Q01-0480.a2	Q01-0480.e1	AB1	F03	5	Homo sapiens	RNase P	RNA	HEX	15459	0	1.13966238498688	
Q01-0480.a3	Q01-0480.e1	AB1	F03	5	SARS-CoV-2	N2:SARS	RNA	FAM/HEX	15459	0	27.7241764068604	
PCR NC.a1	PCR NC.e1	AB1	H03	5	SARS-CoV-2	N1:SARS	RNA	FAM	18748	0	0	
PCR NC.a2	PCR NC.e1	AB1	H03	5	Homo sapiens	RNase P	RNA	HEX	18748	0	0	
PCR NC.a3	PCR NC.e1	AB1	H03	5	SARS-CoV-2	N2:SARS	RNA	FAM/HEX	18748	0	0	
E01-0383.a1	E01-0383.e1	AB1	H02	5	SARS-CoV-2	N1:SARS	RNA	FAM	20000	0	10.4204015731812	
