concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
K01-0351.c1	K01-0351	CB14	C03	
H01-0748.c1	H01-0748	CB14	B02	
M04-0220.c1	M04-0220	CB14	C01	
R02-0377.c1	R02-0377	CB14	A06	
G01-0536.c1	G01-0536	CB14	B01	
O01-0459.c1	O01-0459	CB14	C02	
T01-0248.c1	T01-0248	CB14	B03	
A01-0778.c1	A01-0778	CB14	A05	
C01-0580.c1	C01-0580	CB14	D03	
C01-0578.c1	C01-0578	CB14	D01	
A01-0777.c1	A01-0777	CB14	A04	
C01-0579.c1	C01-0579	CB14	D02	
D01-0410.c1	D01-0410	CB14	B04	
J01-0390.c1	J01-0390	CB14	C04	
C01-0576.c1	C01-0576	CB14	C05	
M03-0321.c1	M03-0321	CB14	B06	
A01-0775.c1	A01-0775	CB14	A02	
C01-0577.c1	C01-0577	CB14	C06	
N02-0433.c1	N02-0433	CB14	B05	
A01-0776.c1	A01-0776	CB14	A03	
A02-1320.c1	A02-1320	CB14	D04	
A01-0774.c1	A01-0774	CB14	A01	
A01-0785.c1	A01-0785	CB16	A02	
K01-0352.c1	K01-0352	CB16	A04	
A01-0784.c1	A01-0784	CB16	A01	
D01-0412.c1	D01-0412	CB16	A03	
Q01-0488.c1	Q01-0488	CB16	A05	
N02-0429.c1	N02-0429	CB15	C03	
A04-0535.c1	A04-0535	CB15	B02	
G01-0545.c1	G01-0545	CB15	C01	
A02-1321.c1	A02-1321	CB15	A06	
A04-0529.c1	A04-0529	CB15	B01	
M04-0216.c1	M04-0216	CB15	C02	
Q01-0486.c1	Q01-0486	CB15	B03	
A01-0783.c1	A01-0783	CB15	A05	
C01-0583.c1	C01-0583	CB15	D03	
C01-0581.c1	C01-0581	CB15	D01	
A01-0782.c1	A01-0782	CB15	A04	
C01-0582.c1	C01-0582	CB15	D02	
Q01-0487.c1	Q01-0487	CB15	B04	
C01-0585.c1	C01-0585	CB15	D05	
R02-0383.c1	R02-0383	CB15	C04	
T01-0249.c1	T01-0249	CB15	C05	
M03-0278.c1	M03-0278	CB15	B06	
A01-0780.c1	A01-0780	CB15	A02	
H01-0901.c1	H01-0901	CB15	C06	
O01-0475.c1	O01-0475	CB15	B05	
A01-0781.c1	A01-0781	CB15	A03	
A01-0779.c1	A01-0779	CB15	A01	
C01-0584.c1	C01-0584	CB15	D04	
