Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/uL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Accepted Droplets,Positives,Negatives
A01,,,,,SARS-CoV-2 N1,0.566703617572784,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19981,9,19972
A01,,,,,Human RNase P,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19981,0,19981
A01,,,,,SARS-CoV-2 N2,0.566703617572784,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,19981,9,19972
B01,,,,,SARS-CoV-2 N1,0.3499795794487,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,17973,5,17968
B01,,,,,Human RNase P,0.0699881240725517,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,17973,1,17972
B01,,,,,SARS-CoV-2 N2,0.209976062178612,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,17973,3,17970
C01,,,,,SARS-CoV-2 N1,3.73429799079895,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,15855,47,15808
C01,,,,,Human RNase P,0.238028511404991,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,15855,3,15852
C01,,,,,SARS-CoV-2 N2,3.81387186050415,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,15855,48,15807
D01,,,,,SARS-CoV-2 N1,71.8267974853516,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,16774,931,15843
D01,,,,,Human RNase P,0.525030910968781,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,16774,7,16767
D01,,,,,SARS-CoV-2 N2,58.4800338745117,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,16774,762,16012
E01,,,,,SARS-CoV-2 N1,0.505850970745087,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19897,8,19889
E01,,,,,Human RNase P,6.84621238708496,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19897,108,19789
E01,,,,,SARS-CoV-2 N2,0.252900063991547,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,19897,4,19893
F01,,,,,SARS-CoV-2 N1,0.0676178783178329,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18603,1,18602
F01,,,,,Human RNase P,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,18603,0,18603
F01,,,,,SARS-CoV-2 N2,0.135239392518997,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,18603,2,18601
G01,,,,,SARS-CoV-2 N1,30.2627658843994,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18299,435,17864
G01,,,,,Human RNase P,0.0687412396073341,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,18299,1,18298
G01,,,,,SARS-CoV-2 N2,33.1530265808105,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,18299,476,17823
H01,,,,,SARS-CoV-2 N1,0.0715771839022636,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,17574,1,17573
H01,,,,,Human RNase P,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,17574,0,17574
H01,,,,,SARS-CoV-2 N2,0.286333173513412,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,17574,4,17570
A02,,,,,SARS-CoV-2 N1,3.66883277893066,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19571,57,19514
A02,,,,,Human RNase P,0.257113128900528,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19571,4,19567
A02,,,,,SARS-CoV-2 N2,4.24910163879395,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,19571,66,19505
