Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/uL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
A01,,,,,1,225.333724975586,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,4506.67431640625,,,233.781539916992,216.942276000977,16822,2759,14063,,,,,,,,,7662.73583984375,,,3.06816265957375,10.3111741944884,,,,,,,,,,,,9044.31719928671,5171.53216029749,5806.71310920792,,,,,229.636749267578,221.045379638672,,,,,,,,,,,,,No,0,0,0,0
A02,,,,,1,19.6950931549072,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,393.90185546875,,,21.9718437194824,17.422456741333,18538,288,18250,,,,,,,,,8243.513671875,,,2.8966286969743,17.8378459042971,,,,,,,,,,,,9021.21447075738,4995.00484092733,5057.55465069058,,,,,20.8561840057373,18.5350704193115,,,,,,,,,,,,,No,0,0,0,0
A03,,,,,1,11.1758031845093,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,223.516067504883,,,12.959641456604,9.39448928833008,17071,151,16920,,,,,,,,,7549.5283203125,,,1.11667655803903,10.1596807005608,,,,,,,,,,,,8071.74999029905,5162.5201018241,5188.25343397569,,,,,12.0856084823608,10.2666540145874,,,,,,,,,,,,,No,0,0,0,0
A04,,,,,1,75.6530456542969,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1513.06091308594,,,80.1780548095703,71.1442642211914,18468,1078,17390,,,,,,,,,7958.13671875,,,2.28403463192541,10.0562021033481,,,,,,,,,,,,8711.48623617593,4835.34290338377,5061.59818347636,,,,,77.9596939086914,73.3506240844727,,,,,,,,,,,,,No,0,0,0,0
A05,,,,,1,398.771667480469,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,7975.43359375,,,409.583801269531,388.051696777344,19563,5315,14248,,,,,,,,,7491.15576171875,,,1.62938125849714,8.89607776901139,,,,,,,,,,,,8421.7035436449,4915.84700107307,5868.34035709051,,,,,404.276428222656,393.290863037109,,,,,,,,,,,,,No,0,0,0,0
A06,,,,,1,32.7681465148926,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,655.362915039063,,,35.7695999145508,29.7738361358643,17850,459,17391,,,,,,,,,7958.13671875,,,2.45142489221764,17.0666072636265,,,,,,,,,,,,8613.7851732707,4516.17556456835,4621.54266879213,,,,,34.2986068725586,31.2395458221436,,,,,,,,,,,,,No,0,0,0,0
A07,,,,,1,26.9801425933838,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,539.602844238281,,,29.53590965271,24.429557800293,20216,429,19787,,,,,,,,,8225.236328125,,,3.24909283411096,23.6540508966265,,,,,,,,,,,,8886.71920527389,4651.42333105878,4741.29976210539,,,,,28.2834548950195,25.6781768798828,,,,,,,,,,,,,No,0,0,0,0
A08,,,,,1,120.221870422363,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,2404.4375,,,126.24112701416,114.231292724609,16906,1541,15365,,,,,,,,,7984.080078125,,,2.72187713367882,12.0234926891267,,,,,,,,,,,,8737.82973306447,4887.85196828349,5238.78156342885,,,,,123.289321899414,117.161895751953,,,,,,,,,,,,,No,0,0,0,0
A09,,,,,1,455.194152832031,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,9103.8828125,,,466.986785888672,443.511077880859,19237,5841,13396,,,,,,,,,7387.3818359375,,,1.62339938285211,9.98127936413224,,,,,,,,,,,,8316.24096056901,4877.26309421889,5921.45240218536,,,,,461.196960449219,449.219848632813,,,,,,,,,,,,,No,0,0,0,0
A10,,,,,1,51.397087097168,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1027.94177246094,,,55.1237144470215,47.6814651489258,18308,733,17575,,,,,,,,,8373.2314453125,,,2.92857893080685,10.6840550036994,,,,,,,,,,,,9202.47168768119,4764.56841074524,4942.2493754598,,,,,53.297046661377,49.4999923706055,,,,,,,,,,,,,No,0,0,0,0
