Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/uL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Accepted Droplets,Positives,Negatives
A01,,,,,SARS-CoV-2 N1,2.87591528892517,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,17953,41,17912
A01,,,,,Human RNase P,0.210210010409355,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,17953,3,17950
A01,,,,,SARS-CoV-2 N2,3.71889185905457,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,17953,53,17900
B01,,,,,SARS-CoV-2 N1,0.654318392276764,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19229,10,19219
B01,,,,,Human RNase P,0.196259766817093,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19229,3,19226
B01,,,,,SARS-CoV-2 N2,0.654318392276764,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,19229,10,19219
C01,,,,,SARS-CoV-2 N1,0.510211050510406,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19727,8,19719
C01,,,,,Human RNase P,0.255079686641693,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19727,4,19723
C01,,,,,SARS-CoV-2 N2,0.63779616355896,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,19727,10,19717
D01,,,,,SARS-CoV-2 N1,0.583775758743286,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,10776,5,10771
D01,,,,,Human RNase P,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,10776,0,10776
D01,,,,,SARS-CoV-2 N2,0.817361891269684,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,10776,7,10769
E01,,,,,SARS-CoV-2 N1,0.328055083751678,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19174,5,19169
E01,,,,,Human RNase P,0.0656041726469994,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19174,1,19173
E01,,,,,SARS-CoV-2 N2,0.393676370382309,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,19174,6,19168
F01,,,,,SARS-CoV-2 N1,0.53766256570816,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18720,8,18712
F01,,,,,Human RNase P,0.0671952590346336,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,18720,1,18719
F01,,,,,SARS-CoV-2 N2,0.134394094347954,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,18720,2,18718
G01,,,,,SARS-CoV-2 N1,2.04663515090942,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18453,30,18423
G01,,,,,Human RNase P,0.409060686826706,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,18453,6,18447
G01,,,,,SARS-CoV-2 N2,1.91008913516998,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM/HEX,18453,28,18425
H01,,,,,SARS-CoV-2 N1,0.0685128420591354,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18360,1,18359
H01,,,,,Human RNase P,0.274073779582977,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,18360,4,18356
