extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
A01-1369.e1	A01-1369.c1	EB187	A03	E3	
A01-1367.e1	A01-1367.c1	EB187	A01	NAB 157 E1	
K01-0557.e1	K01-0557.c1	EB187	B06	F6	
A01-1372.e1	A01-1372.c1	EB187	A06	E6	
N02-0609.e1	N02-0609.c1	EB187	D05	H5	
D01-0611.e1	D01-0611.c1	EB187	C02	G2	
U01-0181.e1	U01-0181.c1	EB187	C08	G8	
C01-1005.e1	C01-1005.c1	EB187	B03	F3	
C01-1003.e1	C01-1003.c1	EB187	B01	F1	
L01-0651.e1	L01-0651.c1	EB187	C05	G5	
D01-0600.e1	D01-0600.c1	EB187	D02	H2	
N03-0609.e1	N03-0609.c1	EB187	B07	F7	
O01-0586.e1	O01-0586.c1	EB187	D04	H4	
Q01-0634.e1	Q01-0634.c1	EB187	C04	G4	
C01-1001.e1	C01-1001.c1	EB187	A07	E7	
A01-1368.e1	A01-1368.c1	EB187	A02	E2	
C01-1002.e1	C01-1002.c1	EB187	A08	E8	
F01-0152.e1	F01-0152.c1	EB187	C06	G6	
A01-1371.e1	A01-1371.c1	EB187	A05	E5	
M04-0405.e1	M04-0405.c1	EB187	C01	G1	
J01-0554.e1	J01-0554.c1	EB187	B05	F5	
H01-1002.e1	H01-1002.c1	EB187	C03	G3	
O01-0588.e1	O01-0588.c1	EB187	D03	H3	
C01-1004.e1	C01-1004.c1	EB187	B02	F2	
M03-0535.e1	M03-0535.c1	EB187	B08	F8	
G01-0643.e1	G01-0643.c1	EB187	D01	H1	
K01-0551.e1	K01-0551.c1	EB187	B04	F4	
R02-0551.e1	R02-0551.c1	EB187	C07	G7	
A01-1370.e1	A01-1370.c1	EB187	A04	E4	
