Asset Tag ID,Description,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Assay Date,Comments,Sample pH (Lab),"Control, Process (Type)","Control, Internal (Type)",Sample QC Check,Assay Target 1,Assay Target 1 Result (CN/L),Assay Target 2,Assay Target 2 Result (CN/L),Sample Flow (MGD),Status: WaTCH,Event Type,Site,Location,Category,Department
A03-0371,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
M01-0029,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
C01-034,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
M04-036,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
C1-0188,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
A03-0025,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,,,Sample,
A03-0022,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,,,Sample,
A03-0009,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,,,Sample,
A1104,TO BE REMOVED,,,,,,,,08/13/2021,,,,,Fail,SARS-CoV-2 N1,20692.07087,SARS-CoV-2 N2,23876.9865,,Rejected,,,,Sample,
A03-0008,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,,,Sample,
A1106,TO BE REMOVED,,,,,,,,08/13/2021,,,,,Fail,SARS-CoV-2 N1,9559.44598,SARS-CoV-2 N2,12291.38918,,Rejected,,,,Sample,
A03-0015,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,,,Sample,
A03-0012,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,,,Sample,
A03-0003,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,,,Sample,
C01-0021,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,,,Sample,WWTP
A01-0021,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0020,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,Monongalia,StarCityWWTP-01,Sample,WWTP
