assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
AB122.HE1	NA	NA	AB122	B04	5	control	PCR Negative	Respiratory Syncitial Virus, Bovine (BRSV)	Other	NA	RNA	HEX	21822	0	0	
AB122.CZ2	NA	NA	AB122	B04	5	control	PCR Negative	Influenza Virus B (FluB)	NEP/NS1	NA	RNA	Cy5.5	21822	0	0.057643223553896	
AB122.FA3	NA	NA	AB122	B04	5	control	PCR Negative	Influenza Virus A (FluA)	M	NA	RNA	FAM	21822	0	0	
AB122.CY4	NA	NA	AB122	B04	5	control	PCR Negative	Respiratory Syncitial Virus, Human (RSV)	G	NA	RNA	Cy5	21822	0	0	
AB122.RO5	NA	NA	AB122	B04	5	control	PCR Negative	SARS-CoV-2	SC2	NA	RNA	ROX	21822	0	0	
J01-0558.a1	J01-0558.e1	J01-0558	AB122	F02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21548	0	6.61371660232544	
J01-0558.a2	J01-0558.e1	J01-0558	AB122	F02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21548	0	0.116755150258541	
J01-0558.a3	J01-0558.e1	J01-0558	AB122	F02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21548	0	0.175136774778366	
J01-0558.a4	J01-0558.e1	J01-0558	AB122	F02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21548	0	2.92213487625122	
J01-0558.a5	J01-0558.e1	J01-0558	AB122	F02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21548	0	0	
K01-0541.a1	K01-0541.e1	K01-0541	AB122	H02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21799	0	0.519431710243225	
K01-0541.a2	K01-0541.e1	K01-0541	AB122	H02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21799	0	0	
K01-0541.a3	K01-0541.e1	K01-0541	AB122	H02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21799	0	2.07901501655579	
K01-0541.a4	K01-0541.e1	K01-0541	AB122	H02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21799	0	0.346263974905014	
K01-0541.a5	K01-0541.e1	K01-0541	AB122	H02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21799	0	5.78354740142822	
A01-1393.a1	A01-1393.e1	A01-1393	AB122	A01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21268	0	0	
A01-1393.a2	A01-1393.e1	A01-1393	AB122	A01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21268	0	0.41407185792923	
A01-1393.a3	A01-1393.e1	A01-1393	AB122	A01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21268	0	0.47323614358902	
A01-1393.a4	A01-1393.e1	A01-1393	AB122	A01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21268	0	0	
A01-1393.a5	A01-1393.e1	A01-1393	AB122	A01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21268	0	0.236595809459686	
A01-1395.a1	A01-1395.e1	A01-1395	AB122	C01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21325	0	0.176968365907669	
A01-1395.a2	A01-1395.e1	A01-1395	AB122	C01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21325	0	0.117976143956184	
A01-1395.a3	A01-1395.e1	A01-1395	AB122	C01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21325	0	0	
A01-1395.a4	A01-1395.e1	A01-1395	AB122	C01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21325	0	0.235963344573975	
A01-1395.a5	A01-1395.e1	A01-1395	AB122	C01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21325	0	0	
A01-1396.a1	A01-1396.e1	A01-1396	AB122	D01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21834	0	0.460966229438782	
A01-1396.a2	A01-1396.e1	A01-1396	AB122	D01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21834	0	0.115225724875927	
A01-1396.a3	A01-1396.e1	A01-1396	AB122	D01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21834	0	0	
A01-1396.a4	A01-1396.e1	A01-1396	AB122	D01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21834	0	0.172842532396317	
A01-1396.a5	A01-1396.e1	A01-1396	AB122	D01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21834	0	0.922101438045502	
T01-0399.a1	T01-0399.e1	T01-0399	AB122	G02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	22242	0	7.25974988937378	
T01-0399.a2	T01-0399.e1	T01-0399	AB122	G02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	22242	0	0.169671759009361	
T01-0399.a3	T01-0399.e1	T01-0399	AB122	G02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	22242	0	0.2827989757061	
T01-0399.a4	T01-0399.e1	T01-0399	AB122	G02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	22242	0	0.0565547123551369	
T01-0399.a5	T01-0399.e1	T01-0399	AB122	G02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	22242	0	0.0565547123551369	
AB122.HE6	NA	NA	AB122	D04	5	control	PCR Negative	Respiratory Syncitial Virus, Bovine (BRSV)	Other	NA	RNA	HEX	21981	0	0	
AB122.CZ7	NA	NA	AB122	D04	5	control	PCR Negative	Influenza Virus B (FluB)	NEP/NS1	NA	RNA	Cy5.5	21981	0	0	
AB122.FA8	NA	NA	AB122	D04	5	control	PCR Negative	Influenza Virus A (FluA)	M	NA	RNA	FAM	21981	0	0	
AB122.RO9	NA	NA	AB122	D04	5	control	PCR Negative	SARS-CoV-2	SC2	NA	RNA	ROX	21981	0	0	
AB122.CY10	NA	NA	AB122	D04	5	control	PCR Negative	Respiratory Syncitial Virus, Human (RSV)	G	NA	RNA	Cy5	21981	0	0	
AB122.FA11	NA	NA	AB122	C04	5	control	PCR Negative	Influenza Virus A (FluA)	M	NA	RNA	FAM	22055	0	0.0570342391729355	
AB122.CY12	NA	NA	AB122	C04	5	control	PCR Negative	Respiratory Syncitial Virus, Human (RSV)	G	NA	RNA	Cy5	22055	0	0	
AB122.RO13	NA	NA	AB122	C04	5	control	PCR Negative	SARS-CoV-2	SC2	NA	RNA	ROX	22055	0	0	
AB122.CZ14	NA	NA	AB122	C04	5	control	PCR Negative	Influenza Virus B (FluB)	NEP/NS1	NA	RNA	Cy5.5	22055	0	0.114071063697338	
AB122.HE15	NA	NA	AB122	C04	5	control	PCR Negative	Respiratory Syncitial Virus, Bovine (BRSV)	Other	NA	RNA	HEX	22055	0	0	
L01-0656C.a1	L01-0656C.e1	L01-0656C	AB122	A04	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21634	0	0.290747672319412	
L01-0656C.a2	L01-0656C.e1	L01-0656C	AB122	A04	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21634	0	0	
L01-0656C.a3	L01-0656C.e1	L01-0656C	AB122	A04	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21634	0	0	
L01-0656C.a4	L01-0656C.e1	L01-0656C	AB122	A04	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21634	0	0	
