Asset Tag ID,Site,Location,Category,Department,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Comments,Sample QC Check,Sample Flow (MGD),Event Type
A02-0002 100K,Monongalia,,Sample,WVU Morgantown,,,,,,,,,,,
A02-0001 10K,Monongalia,,Sample,WVU Morgantown,,,,,,,,,,,
A02-0004 1K,Monongalia,,Sample,WVU Morgantown,,,,,,,,,,,
A02-0003 0,Monongalia,,Sample,WVU Morgantown,,,,,,,,,,,
L01-0656C,Doddridge,WestUnionWWTP-01,Sample,WWTP,Composite,,10/27/2025 08:00 AM,10/26/2025 08:00 AM,10/27/2025 08:00 AM,AJ,10/30/2025,,Pass,0.174,Routine Surveillance
L01-0656B,Doddridge,WestUnionWWTP-01,Sample,WWTP,Composite,,10/27/2025 08:00 AM,10/26/2025 08:00 AM,10/27/2025 08:00 AM,AJ,10/30/2025,,Pass,0.174,Routine Surveillance
L01-0656A,Doddridge,WestUnionWWTP-01,Sample,WWTP,Composite,,10/27/2025 08:00 AM,10/26/2025 08:00 AM,10/27/2025 08:00 AM,AJ,10/30/2025,,Pass,0.174,Routine Surveillance
W01-1001,Nicholas,SummersvilleWWTP-01,Sample,WWTP,Composite,,02/23/2026 11:00 AM,02/22/2026 10:00 AM,02/23/2026 10:00 AM,LS,02/26/2026,,Pass,1.02,Routine Surveillance
W01-1000,Nicholas,SummersvilleWWTP-01,Sample,WWTP,Composite,,02/16/2026 07:00 AM,02/15/2026 07:00 AM,02/16/2026 07:00 AM,LS,02/19/2026,,Pass,1.91,Routine Surveillance
V01-0032,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/02/2025 07:00 AM,04/01/2025 07:00 AM,04/02/2025 07:00 AM,AJ,04/11/2025,,Pass,3.6,Routine Surveillance
V01-0030,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/04/2025 07:00 AM,04/03/2025 07:00 AM,04/04/2025 07:00 AM,AJ,04/11/2025,,Pass,3.5,Routine Surveillance
V01-0029,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/19/2025 07:00 AM,03/18/2025 07:00 AM,03/19/2025 07:00 AM,AJ,03/27/2025,,Pass,3.7,Routine Surveillance
V01-0028,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/11/2025 07:00 AM,03/10/2025 07:00 AM,03/11/2025 07:00 AM,AJ,03/20/2025,,Pass,3.6,Routine Surveillance
V01-0026,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/03/2025 07:00 AM,04/02/2025 07:00 AM,04/03/2025 07:00 AM,AJ,04/11/2025,,Pass,3.6,Routine Surveillance
V01-0025,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/10/2025 07:00 AM,04/09/2025 07:00 AM,04/10/2025 07:00 AM,AJ,04/17/2025,,Pass,3.6,Routine Surveillance
V01-0024,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/11/2025 07:00 AM,04/10/2025 07:00 AM,04/11/2025 07:00 AM,AJ,04/17/2025,,Fail: Missing Required Data,,Routine Surveillance
V01-0023,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/20/2025 07:00 AM,03/19/2025 07:00 AM,03/20/2025 07:00 AM,AJ,03/27/2025,,Pass,3.7,Routine Surveillance
V01-0022,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/13/2025 07:00 AM,03/12/2025 07:00 AM,03/13/2025 07:00 AM,AJ,03/20/2025,,Pass,3.5,Routine Surveillance
V01-0020,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/14/2025 07:00 AM,03/13/2025 07:00 AM,03/14/2025 07:00 AM,AJ,03/20/2025,,Pass,3.4,Routine Surveillance
V01-0019,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/18/2025 07:00 AM,03/17/2025 07:00 AM,03/18/2025 07:00 AM,AJ,03/27/2025,,Pass,2.6,Routine Surveillance
V01-0018,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/17/2025 07:00 AM,03/16/2025 07:00 AM,03/17/2025 07:00 AM,AJ,03/20/2025,,Pass,3.5,Routine Surveillance
V01-0017,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/01/2025 07:00 AM,03/31/2025 07:00 AM,04/01/2025 07:00 AM,AJ,04/11/2025,,Pass,3.2,Routine Surveillance
V01-0016,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/07/2025 07:00 AM,04/06/2025 07:00 AM,04/07/2025 07:00 AM,AJ,04/17/2025,,Pass,3.68,Routine Surveillance
V01-0015,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/21/2025 07:00 AM,03/20/2025 07:00 AM,03/21/2025 07:00 AM,AJ,03/27/2025,,Pass,3.7,Routine Surveillance
