sample_id	location_id	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_collection_by	sample_flow	sample_received_by	sample_received_date	sample_comment
A01-1557	StarCityWWTP-01	Routine Surveillance	Pass	05/02/2026 12:00 AM	05/03/2026 12:00 AM	05/03/2026 12:00 AM		9.1	LS	05/07/2026	
C01-1243	WheelingWWTP-01	Routine Surveillance	Pass	04/29/2026 08:00 AM	04/30/2026 08:00 AM	04/30/2026 08:00 AM		12.7	LS	05/07/2026	
L01-1017	WestUnionWWTP-01	Routine Surveillance	Pass	05/10/2026 07:00 AM	05/11/2026 07:00 AM	05/11/2026 07:00 AM		0.206	LS	05/14/2026	
N03-1006	SalemWWTP-01	Routine Surveillance	Pass	05/03/2026 07:30 AM	05/04/2026 07:30 AM	05/04/2026 07:30 AM		0.26257	LS	05/07/2026	
H01-1032	MoundsvilleWWTP-01	Routine Surveillance	Pass	05/17/2026 08:00 AM	05/18/2026 08:00 AM	05/18/2026 08:00 AM		1.2	LS	05/21/2026	
A01-1567	StarCityWWTP-01	Routine Surveillance	Pass	05/13/2026 12:00 AM	05/14/2026 12:00 AM	05/14/2026 12:00 AM		8.4	LS	05/21/2026	
C01-1239	WheelingWWTP-01	Routine Surveillance	Pass	04/23/2026 08:00 AM	04/24/2026 08:00 AM	04/24/2026 08:00 AM		8.5	LS	04/30/2026	
O01-1010	GraftonWWTP-01	Routine Surveillance	Pass	05/17/2026 08:00 AM	05/18/2026 08:00 AM	05/18/2026 08:00 AM		0.74	LS	05/21/2026	
C01-1245	WheelingWWTP-01	Routine Surveillance	Pass	05/03/2026 08:00 AM	05/04/2026 08:00 AM	05/04/2026 08:00 AM		9.7	LS	05/07/2026	
T01-1001	PointPleasantWWTP-01	Routine Surveillance	Pass	05/10/2026 02:45 PM	05/11/2026 02:45 PM	05/11/2026 02:45 PM		0.17	LS	05/14/2026	
K01-0479	ParkersburgWWTP-01	Routine Surveillance	Pass	05/04/2026 07:00 AM	05/05/2026 07:00 AM	05/05/2026 07:00 AM		3.905	LS	05/07/2026	
M03-1017	ManningtonWWTP-01	Routine Surveillance	Pass	04/26/2026 08:00 AM	04/27/2026 08:00 AM	04/27/2026 08:00 AM		0.156		04/30/2026	
C01-1248	WheelingWWTP-01	Routine Surveillance	Pass	05/06/2026 08:00 AM	05/07/2026 08:00 AM	05/07/2026 08:00 AM		12.3	LS	05/14/2026	
C01-1242	WheelingWWTP-01	Routine Surveillance	Pass	04/28/2026 08:00 AM	04/29/2026 08:00 AM	04/29/2026 08:00 AM		9.1	LS	05/07/2026	
M04-1008	FarmingtonWWTP-01	Routine Surveillance	Pass	05/03/2026 08:30 AM	05/04/2026 08:30 AM	05/04/2026 08:30 AM		0.76	LS	05/07/2026	
A01-1560	StarCityWWTP-01	Routine Surveillance	Pass	05/05/2026 12:00 AM	05/06/2026 12:00 AM	05/06/2026 12:00 AM		11.7	LS	05/14/2026	
A01-1549	StarCityWWTP-01	Routine Surveillance	Pass	04/22/2026 12:00 AM	04/23/2026 12:00 AM	04/23/2026 12:00 AM		9.8	LS	04/30/2026	
N03-1005	SalemWWTP-01	Routine Surveillance	Pass	04/26/2026 07:30 AM	04/27/2026 07:30 AM	04/27/2026 07:30 AM		0.1764	LS	04/30/2026	
G01-1010	KeyserWWTP-01	Routine Surveillance	Pass	04/27/2026 08:00 AM	04/28/2026 08:00 AM	04/28/2026 08:00 AM		0.928	LS	04/30/2026	
O01-0225	GraftonWWTP-01	Routine Surveillance	Pass	05/03/2026 08:00 AM	05/04/2026 08:00 AM	05/04/2026 08:00 AM		1.58	LS	05/07/2026	
A01-1550	StarCityWWTP-01	Routine Surveillance	Pass	04/24/2026 12:00 AM	04/25/2026 12:00 AM	04/25/2026 12:00 AM		10.7	LS	04/30/2026	
N02-1007	ClarksburgWWTP-01	Routine Surveillance	Pass	04/20/2026 07:00 AM	04/27/2026 07:00 AM	04/27/2026 07:00 AM		6.08	LS	04/30/2026	
R02-1024	ElkinsWWTP-01	Routine Surveillance	Pass	05/03/2026 08:00 AM	05/04/2026 08:00 AM	05/04/2026 08:00 AM		1.60	LS	05/07/2026	
C01-1246	WheelingWWTP-01	Routine Surveillance	Pass	05/04/2026 08:00 AM	05/05/2026 08:00 AM	05/05/2026 08:00 AM		9.1	LS	05/14/2026	
