sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
AB159,0bb330a1-7a79-43d2-8be3-7a35ad5800aa,Nanoplate 8.5K 96-well,A1,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8287,0,8287,48.59,2.498,-,-,-,-,-,Std-Ref,-,-,0.0,0.29353701527614573,2.4325412455934194,0.0,22.263945939423227,0.05,0.0,0.0,7.36
,,,A2,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8249,0,8249,48.59,2.483,-,-,-,-,-,Std-Ref,-,-,0.0,0.29177438307873094,2.406846886016451,0.0,22.028622863377343,0.12,0.0,0.0,6.16
,,,A3,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8299,0,8299,48.59,2.438,-,-,-,-,-,Std-Ref,-,-,0.0,0.28648648648648656,2.3775513513513515,0.0,21.52190384383652,0.04,0.0,0.0,6.69
,,,A4,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8269,0,8269,48.59,2.407,-,-,-,-,-,Std-Ref,-,-,0.0,0.2828437132784959,2.3388346650998826,0.0,23.410117305599204,0.08,0.0,0.0,6.56
,,,A5,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8102,0,8102,48.59,2.406,-,-,-,-,-,Std-Ref,-,-,0.0,0.2827262044653349,2.2906477085781436,0.0,28.78905825722043,0.01,0.0,0.0,7.02
,,,A6,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8089,0,8089,48.59,2.317,-,-,-,-,-,Std-Ref,-,-,0.0,0.2722679200940071,2.2023752056404233,0.0,23.483240202744476,0.02,0.0,0.0,6.08
,,,A7,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8292,0,8292,48.59,2.376,-,-,-,-,-,Std-Ref,-,-,0.0,0.2792009400705053,2.31513419506463,0.0,28.000616256632888,0.04,0.0,0.0,7.41
,,,A8,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8285,0,8285,48.59,2.368,-,-,-,-,-,Std-Ref,-,-,0.0,0.27826086956521734,2.305391304347826,0.0,22.99253590826792,0.04,0.0,0.0,6.89
,,,A9,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8249,0,8249,48.59,2.375,-,-,-,-,-,Std-Ref,-,-,0.0,0.2790834312573443,2.302159224441833,0.0,27.083241605043042,0.01,0.0,0.0,6.82
,,,A10,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8266,0,8266,48.59,2.394,-,-,-,-,-,Std-Ref,-,-,0.0,0.2813160987074031,2.3253588719153937,0.0,21.694615291555774,0.01,0.0,0.0,6.08
,,,A11,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8284,0,8284,48.59,2.399,-,-,-,-,-,Std-Ref,-,-,0.0,0.281903642773208,2.335289776733255,0.0,21.56631337518116,0.02,0.0,0.0,6.45
,,,A12,-,-,-,Pertussis,Pertussis,-,-,57.94200495023325,-,0.17059531391601485,-,-,8134,132,8002,48.59,2.403,-,-,-,-,-,Std-Ref,-,-,0.01636129704998948,0.28237367802585195,2.2968274970622797,114.41742424242426,25.800107473131707,0.16,6.007870468896757,22.95,7.28
,,,B1,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8288,0,8288,48.59,2.479,-,-,-,-,-,Std-Ref,-,-,0.0,0.291304347826087,2.414330434782609,0.0,25.922346766409223,0.02,0.0,0.0,8.26
,,,B2,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8271,0,8271,48.59,2.447,-,-,-,-,-,Std-Ref,-,-,0.0,0.28754406580493536,2.3782769682726204,0.0,25.901437552895676,0.01,0.0,0.0,8.92
,,,B3,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8273,0,8273,48.59,2.43,-,-,-,-,-,Std-Ref,-,-,0.0,0.2855464159811986,2.362325499412456,0.0,23.274361174906186,0.01,0.0,0.0,6.98
,,,B4,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8281,0,8281,48.59,2.381,-,-,-,-,-,Std-Ref,-,-,0.0,0.2797884841363102,2.3169284371327845,0.0,22.255874894336507,0.02,0.0,0.0,6.82
,,,B5,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8289,0,8289,48.59,2.361,-,-,-,-,-,Std-Ref,-,-,0.0,0.2774383078730905,2.299686133960047,0.0,26.890319700808394,0.05,0.0,0.0,7.37
,,,B6,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8274,0,8274,48.59,2.323,-,-,-,-,-,Std-Ref,-,-,0.0,0.27297297297297296,2.2585783783783784,0.0,23.836040609137136,0.02,0.0,0.0,6.89
,,,B7,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8262,0,8262,48.59,2.272,-,-,-,-,-,Std-Ref,-,-,0.0,0.2669800235017626,2.2057889541715627,0.0,27.39388041636403,0.01,0.0,0.0,7.22
,,,B8,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8261,0,8261,48.59,2.308,-,-,-,-,-,Std-Ref,-,-,0.0,0.2712103407755581,2.2404686251468857,0.0,21.711954969132012,0.04,0.0,0.0,6.11
,,,B9,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8295,0,8295,48.59,2.333,-,-,-,-,-,Std-Ref,-,-,0.0,0.27414806110458284,2.274058166862515,0.0,25.138837854129044,0.04,0.0,0.0,7.12
,,,B10,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8260,0,8260,48.59,2.344,-,-,-,-,-,Std-Ref,-,-,0.0,0.2754406580493537,2.2751398354876615,0.0,22.32387288135595,0.05,0.0,0.0,6.22
,,,B11,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8275,0,8275,48.59,2.371,-,-,-,-,-,Std-Ref,-,-,0.0,0.27861339600470036,2.3055258519388957,0.0,22.475046525679797,0.06,0.0,0.0,6.34
,,,B12,-,NTC,NON_TEMPLATE_CONTROL,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8274,0,8274,48.59,2.399,-,-,-,-,-,Std-Ref,-,-,0.0,0.281903642773208,2.332470740305523,0.0,24.66323181049067,0.02,0.0,0.0,6.0
