target_id	target_abbreviation	target_category	target_class	target_host	target_disease
Adenovirus	Adenovirus	Pathogen	Respiratory	Homo sapiens	Adenovirus
Influenza Virus A (FluA)	Flu A	Pathogen	Respiratory	Homo sapiens	FluA
Influenza Virus B (FluB)	Flu B	Pathogen	Respiratory	Homo sapiens	FluB
Norovirus	Norovirus	Pathogen	Gastrointestinal	Homo sapiens	Norovirus
Respiratory Syncitial Virus, Human (RSV)	RSV	Pathogen	Respiratory	Homo sapiens	RSV
Rhinovirus	Rhinovirus	Pathogen	Respiratory	Homo sapiens	Rhinovirus
SARS-CoV-2	SARS-CoV-2	Pathogen	Respiratory	Homo sapiens	COVID
Mpox Virus Clade I (MPXV)	MPXV I	Pathogen	Pox	Homo sapiens	Mpox
Mpox Virus Clade II (MPXV)	MPXV II	Pathogen	Pox	Homo sapiens	Mpox
Escherichia coli, Shiga toxin-producing (STEC)	STEC	Pathogen	Gastrointestinal	Homo sapiens	STEC
Human Immunodeficiency Virus 1 (HIV-1)	HIV-1	Pathogen	STD	Homo sapiens	AIDS
Human Immunodeficiency Virus 2 (HIV-2)	HIV-2	Pathogen	STD	Homo sapiens	AIDS
Rhinovirus	Rhinovirus	Pathogen	Respiratory	Homo sapiens	Rhinovirus
Homo sapiens	Human	Host	Host	NA	NA
Pepper Mild Mottle Virus (PMMoV)	PMMoV	Pathogen	Plant-associated	Capsicum	Pepper Mottle
Respiratory Syncitial Virus, Bovine (BRSV)	BRSV	Pathogen	Respiratory	Bos taurus	BRSV
Cross-assembly phage (CrAssphage)	CrAssphage	Pathogen	Bacteriophage	Bacteria	NA
