assay_id	sample_id	assay_well	assay_batch_id	assay_input_ul	assay_comment	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_target_copies_per_ul_reaction	assay_accepted_droplets	assay_positive_droplets
A01-1476.20260218.1	A01-1476	A01	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.435804188251495	14434	5
C01-1170.20260218.1	C01-1170	A02	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.235459074378014	16028	3
Q01-1011.20260218.1	Q01-1011	A03	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.482308894395828	15651	6
N02-0583.20260218.1	N02-0583	A04	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.0586319975554943	21454	1
A01-1477.20260218.1	A01-1477	B01	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.579640686511993	15194	7
C01-1171.20260218.1	C01-1171	B02	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.2320706397295	16262	3
U01-0109.20260218.1	U01-0109	B03	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.0788059756159782	15962	1
J01-1012.20260218.1	J01-1012	B04	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.370449602603912	20376	6
A01-1478.20260218.1	A01-1478	C01	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.269090086221695	14025	3
C01-1172.20260218.1	C01-1172	C02	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.381922453641891	16470	5
Q01-1012.20260218.1	Q01-1012	C03	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.301699727773666	16679	4
H01-1018.20260218.1	H01-1018	C04	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.240267723798752	20943	4
A01-1479.20260218.1	A01-1479	D01	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.924002647399902	14980	11
R02-1012.20260218.1	R02-1012	D02	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.37468695640564	16788	5
O01-0577.20260218.1	O01-0577	D03	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.251434028148651	20013	4
A01-1480.20260218.1	A01-1480	E01	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.91808021068573	13706	10
D01-1010.20260218.1	D01-1010	E02	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.48144742846489	15679	6
M04-0433.20260218.1	M04-0433	E03	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.197162136435509	19141	3
A01-1481.20260218.1	A01-1481	F01	AB9999	5	NA	Influenza Virus A	M	sample	RNA	FAM	0.590222060680389	12790	6
