assay_id,extraction_id,sample_id,assay_batch_id,assay_location_in_batch,assay_input_ul,assay_class,assay_type,assay_target,assay_target_genetic_locus,assay_template,assay_target_macromolecule,assay_target_fluorophore,assay_accepted_droplets,assay_target_predicted_copies_per_ul_reaction,assay_target_copies_per_ul_reaction,assay_comment
AB04022024.FA1,,,AB04022024,F03,5,control,PCR Positive,Human Norovirus GII,ORF1_2,GBlock,,,14591,0.0,107.201034545898,
AB04022024.FA2,,,AB04022024,G04,5,control,PCR Negative,Human Norovirus GII,ORF1_2,,,,16444,0.0,0.0,
AB04022024.FA3,,,AB04022024,F04,5,control,PCR Negative,Human Norovirus GII,ORF1_2,,,,17766,0.0,0.0,
AB04022024.FA4,,,AB04022024,G03,5,control,PCR Positive,Human Norovirus GII,ORF1_2,GBlock,,,15295,0.0,120.660316467285,
AB04022024.FA5,,,AB04022024,H04,5,control,PCR Negative,Human Norovirus GII,ORF1_2,,,,16141,0.0,0.0,
AB04022024.FA6,,,AB04022024,H03,5,control,PCR Positive,Human Norovirus GII,ORF1_2,GBlock,,,15726,0.0,115.264320373535,
AB07102024.FA1,,,AB07102024,H12,5,control,PCR Positive,Human Norovirus GI,ORF1_2,GBlock,,,19010,0.0,0.0,
AB07102024.FA4,,,AB07102024,A12,5,control,PCR Negative,Human Norovirus GI,ORF1_2,,,,18769,0.0,15.7129383087158,
AB07102024.HE2,,,AB07102024,H12,5,control,PCR Positive,Human Norovirus GII,ORF1_2,GBlock,,,19010,0.0,2.18545532226563,
AB07102024.HE3,,,AB07102024,A12,5,control,PCR Negative,Human Norovirus GII,ORF1_2,,,,18769,0.0,14.2208919525146,
AB1.FA1,,,AB1,E07,5,control,PCR Positive,SARS-CoV-2,N1,LV-SARS_N,,,16814,,96.04051208,
AB1.FA3,,,AB1,D07,5,control,PCR Negative,SARS-CoV-2,N1,,,,16547,0.0,0.0,
AB1.FA8,,,AB1,H03,5,control,PCR Negative,SARS-CoV-2,N1,,,,18748,0.0,0.0,
AB1.FH2,,,AB1,E07,5,control,PCR Positive,SARS-CoV-2,N2,LV-SARS_N,,,16814,,108.8635254,
AB1.FH5,,,AB1,D07,5,control,PCR Negative,SARS-CoV-2,N2,,,,16547,0.0,0.0,
AB1.FH6,,,AB1,H03,5,control,PCR Negative,SARS-CoV-2,N2,,,,18748,0.0,0.0,
AB1.HE4,,,AB1,D07,5,control,PCR Negative,Human,RNase P,,,,16547,0.0,0.076019801,
AB1.HE7,,,AB1,H03,5,control,PCR Negative,Human,RNase P,,,,18748,0.0,0.0,
AB10.FA1,,,AB10,D12,5,control,PCR Positive,"Respiratory Syncitial Virus, Human",G,GBlock,,,15169,0.0,3.98662304878235,
AB10.FA2,,,AB10,C12,5,control,PCR Negative,"Respiratory Syncitial Virus, Human",G,,,,19541,0.0,0.0,
