extraction_id,concentration_id,extraction_batch_id,extraction_location_in_batch,extraction_location_in_storage,extraction_comment
BRSV.E1,BRSV.C1,EB57,D04,F4,
C01-P1.E1,C01-P1.C1,EB4,E05,G5,
C01-P2.E1,C01-P2.C1,EB4,E06,G6,
C01-P3.E1,C01-P3.C1,EB4,E07,G7,
C01-P4.E1,C01-P4.C1,EB4,E08,G8,
C01-P5.E1,C01-P5.C1,EB4,F01,H1,
C01-P6.E1,C01-P6.C1,EB4,E04,G4,
E01-P12.E1,E01-P12.C1,EB6,E02,A2,
E01-P13.E1,E01-P13.C1,EB6,E03,A3,
E01-P15.E1,E01-P15.C1,EB6,E04,A4,
MP1-01.E1,MP1-01.C1,EB53,F01,MILK_NAB1 A1,
MP2-01.E1,MP2-01.C1,EB53,F02,A2,
MP3-01.E1,MP3-01.C1,EB53,F03,A3,
MP4-01.E1,MP4-01.C1,EB53,F04,A4,
U01-0083.E1,U01-0083.C1,EB49,D02,A2,
