location_id,sample_code_prefix,location_primary_lab,location_status,location_common_name,location_category,location_group,location_lng,location_lat,location_primary_wwtp_id,location_counties_served,location_population_served,location_sampler_type,location_collection_window_hrs,location_collection_pull_ml,location_collection_step_min,location_collection_basis,location_collection_type,location_zipcode,location_comment
CSB,,MUIDSL,active,Charleston,wwtp,non-sentinel,-81.67955423,38.37373553,CHARLESTONSANITARYBOARDWWTP,Kanawha,49500.0,Facility hardware,24,,,flow,raw wastewater,25387,
DUN,,MUIDSL,active,Dunbar,wwtp,non-sentinel,-81.75870918,38.36851901,DUNBARWWTP,Kanawha,9000.0,Facility hardware,24,25.0,20,time,raw wastewater,25064,
HSB,,MUIDSL,active,Huntington,wwtp,non-sentinel,-82.52886403,38.40074493,HUNTINGTONSANITARYBOARDWWTP,Wayne,56000.0,Facility hardware,24,25.0,20,time,raw wastewater,25704,
PRPSD,,MUIDSL,active,Pea Ridge,wwtp,non-sentinel,-82.29820925,38.41966191,PEARIDGEWWTP-A,Cabell,7000.0,MU HACH,24,25.0,20,time,raw wastewater,25705,
PUT,,MUIDSL,active,Hometown-Putnam,wwtp,non-sentinel,-81.8671188,38.53790132,PUTNAMPSD,Putnam,4900.0,Facility hardware,48,333.0,"1,440",time,raw wastewater,25168,
SRCM,,MUIDSL,active,SaltRock WWTP: Milton and Culloden,wwtp,non-sentinel,-82.105145,38.425437,SALTROCKWWTP-A,Cabell,7200.0,Facility hardware,24,25.0,20,time,raw wastewater,25541,"12"" and 20"" pipe allow ona (12"") and milton (20"") to be separated"
SRO,,MUIDSL,active,SaltRock WWTP: Ona and SaltRock,wwtp,non-sentinel,-82.24487775,38.37216236,SALTROCKWWTP-B,Cabell,4050.0,Facility hardware,24,25.0,20,time,raw wastewater,25545,"12"" and 20"" pipe allow ona (12"") and milton (20"") to be separated"
3HG,,MUIDSL,withdrawn,MU 3rd Ave Hal Greer,mixed use,non-sentinel,-82.430654,38.424089,3RDANDHALGREERMU,Cabell,,MU HACH,5,35.0,30,time,raw wastewater,25703,"Manhole located on the corner of 3rd Avene and Hal Greer. Collects from parts or all of Smith Music Hall, Smith Hall, Communications Building, and Science Building, Morrow, and Old Main"
BV,,MUIDSL,withdrawn,Barboursville,wwtp,non-sentinel,-82.28569877,38.41494682,BARBOURSVILLELAGOON,Cabell,4000.0,MU HACH,24,250.0,30,time,raw wastewater,25504,Lagoon - plan to pump into PeaRidge some day when new pearidge plant comes to be
COM,,MUIDSL,withdrawn,MU Commons,higher ed dorm,non-sentinel,-82.425918,38.421746,COMMONSDORMSMU,Cabell,,MU HACH,5,100.0,30,time,raw wastewater,25703,"Manhole collects from Willis, Gibson, and Wellman dormatories - Haymaker WW goes toward Harless Cafe"
HRSB,,MUIDSL,withdrawn,Hurricane,wwtp,non-sentinel,-82.00695961,38.44652408,HURRICANEWWTP,Putnam,28759.0,Facility hardware,72,25.0,20,time,raw wastewater,25526,
NORTHERN WAYNE CO PSD,,MUIDSL,withdrawn,Northern Wayne Co PSD,wwtp,non-sentinel,-82.45130384,38.34333616,HUNTINGTONSANITARYBOARDWWTP,Wayne,1600.0,Facility hardware,24,25.0,20,time,raw wastewater,25701,Upstream from Huntington Sanitary board
PEA RIDGE PSD LESAGE,,MUIDSL,withdrawn,Pea Ridge PSD LeSage,wwtp,non-sentinel,-82.28756396,38.57262365,PEARIDGEWWTP-C,Cabell,1000.0,Facility hardware,24,25.0,20,time,raw wastewater,25537,Small independent plant under PeaRidge management
TTE,,MUIDSL,withdrawn,MU Towers East,higher ed dorm,non-sentinel,-82.4255577,38.42291311,TWINTOWERSEASTDORMMU,Cabell,,MU HACH,5,35.0,30,time,raw wastewater,25703,
TTW,,MUIDSL,withdrawn,MU Towers West,higher ed dorm,non-sentinel,-82.42490782,38.42307617,TWINTOWERSWESTDORMMU,Cabell,,MU HACH,24,100.0,30,time,raw wastewater,25703,
DADISMAN-02,A02,ZooWVU,inactive,WVU Dadisman Hall,higher ed dorm,non-sentinel,-79.9530932,39.6364231,STARCITYWWTP,Monongalia,639.0,WVU ISCO,48,25.0,30,time,raw wastewater,26505,Isolates WVU Dadisman Hall.
DOMAIN-01,A02,ZooWVU,inactive,The Domain,higher ed dorm,non-sentinel,-80.0004209,39.6535571,STARCITYWWTP,Monongalia,912.0,WVU ISCO,48,25.0,30,time,raw wastewater,26505,Isolates The Domain (apartments).
EVOLUTION-01,A02,ZooWVU,inactive,Evolution (top),higher ed dorm,non-sentinel,-79.9562341,39.6679098,STARCITYWWTP,Monongalia,,WVU ISCO,48,25.0,30,time,raw wastewater,26505,"The creekside pipe (south?) captures all of CEV to the south side of the creek. It also captures a small portion of residential above CEV. The north pipe (parking lot side) captures the smaller CEV portion on this side of the creek. This north pipe is Evolution-02; it can be sampled here, but might be easier via the adjacent site marked on the map"
EVOLUTION-02,A02,ZooWVU,inactive,Evolution (bottom),higher ed dorm,non-sentinel,-79.9562046,39.6681122,STARCITYWWTP,Monongalia,,WVU ISCO,48,25.0,30,time,raw wastewater,26505,Three-way junction. Sample from the outflow closer to the yard to catch all of this portion of the CEV complex. This flow can also be captured in the access for Evolution-01
HAZELTON-01,,ZooWVU,withdrawn,Hazelton Correctional,correctional,non-sentinel,-79.51524,39.66807,HAZELTONWWTP,Preston,,WVU ISCO,24,,,time,raw wastewater,26525,
LOFTS-01,A02,ZooWVU,inactive,The Lofts 1,higher ed dorm,non-sentinel,-79.9551221,39.6691886,STARCITYWWTP,Monongalia,,WVU ISCO,48,25.0,30,time,raw wastewater,26505,Captures some combination of Stanley St (probably all) and Station Road (probably partial)
LOFTS-02,A02,ZooWVU,inactive,The Lofts 2,higher ed dorm,non-sentinel,-79.9552454,39.6692795,STARCITYWWTP,Monongalia,,WVU ISCO,48,25.0,30,time,raw wastewater,26505,Captures the upper section of Station Road. Not clear exactly which buildings drop here vs. Lofts-01
PETERSBURGWWTP-01,,ZooWVU,withdrawn,Petersburg,wwtp,non-sentinel,-79.12725,38.99091,PETERSBURGWWTP,Grant,,Facility hardware,24,,,flow,raw wastewater,26847,
WESTRUN-01,A02,ZooWVU,inactive,West Run Apartments,higher ed dorm,non-sentinel,-79.925397,39.6565887,STARCITYWWTP,Monongalia,,WVU ISCO,48,25.0,30,time,raw wastewater,26505,Captures all of West Run Apartments
BELINGTONWWTP-01,,ZooWVU,withdrawn,Belington,wwtp,non-sentinel,-79.93694,39.02201,BELINGTONWWTP,Barbour,,Facility hardware,24,,,flow,raw wastewater,26250,
BLACKSVILLEWWTP-01,,ZooWVU,withdrawn,Blacksville,wwtp,non-sentinel,-80.21201,39.72007,BLACKSVILLEWWTP,Monongalia,400.0,Facility hardware,24,,,flow,raw wastewater,26521,
BRIDGEPORTWWTP-01,,ZooWVU,withdrawn,Bridgeport,wwtp,non-sentinel,-80.25899,39.28048,BRIDGEPORTWWTP,Harrison,,Facility hardware,24,,,flow,raw wastewater,26330,
CAMERONWWTP-01,,ZooWVU,withdrawn,Cameron,wwtp,non-sentinel,-80.56744,39.82661,CAMERONWWTP,Marshall,,WVU ISCO,24,25.0,30,time,raw wastewater,26033,
SISTERVILLEWWTP-01,,ZooWVU,withdrawn,Sisterville,wwtp,non-sentinel,,,SISTERVILLEWWTP,Tyler,,Facility hardware,24,,,flow,raw wastewater,,
WEIRTONWWTP-01,,ZooWVU,withdrawn,Weirton,wwtp,non-sentinel,,,WEIRTONWWTP,Brooke,,Facility hardware,24,,,flow,raw wastewater,,
WORTHINGTONWWTP-01,,ZooWVU,withdrawn,Worthington,wwtp,non-sentinel,-80.26036,39.45258,WORTHINGTONWWTP,Marion,,WVU ISCO,24,25.0,30,time,raw wastewater,26591,
