assay_batch_id	assay_date	assay_reaction_ul	assay_machine	assay_amplification_method	assay_amplification_method_lot_id	assay_quantification_method	assay_quantification_type	assay_batch_record_version	assay_method	assay_method_lot_id	assay_qx_manager_version	assay_run_by	assay_batch_comment
AB04022024	04/02/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Norovirus GII (ORF1_2) (Boehm et al, 2023)	NA		HP	None
AB07102024	07/10/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64594017	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21422		HP	USED NEW SM WITH OLD KIT (64580484)
AB07222024	07/22/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64564655	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21294		HP	ALL SAMPLES FROM NAB127; USED ADDITIONAL SM FROM 64594017
AB07252024	08/05/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64564655	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21294		HP	PC FROM 21422; EXTRA SM FROM 64595371
AB08062024	08/06/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64595371	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21294		HP	None
AB08212024	08/21/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64595371	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21294		HP	UNABLE TO RUN SAMPLES A1, A6-8, B1&2, AND D1-4 DUE TO INSUFFICIENT CONCENTRATION
AB1	11/30/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64554453	ddPCR	Direct Quantification	2.0.0	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB10	01/31/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	RSV A/B (G) (dEXD77482599)	66418870		JL	None
AB100	07/15/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	PCR/DG PROBLEM 
AB10082024	10/08/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64595371	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21779		HP	None
AB101	07/23/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	None
AB102	07/29/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	None
AB103	08/05/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	None
AB104	08/13/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	NTC ON AB105
AB105	08/13/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	None
AB107	08/19/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64635922	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21831		JL	None
AB108	08/25/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64635922	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21831		JL	None
AB109	09/02/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64635922	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21831		JL	None
AB11	02/08/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	H03 IS BLANK
AB110	09/08/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64635922	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21831		JL	None
AB111	09/15/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64635922	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21831		JL	1d AMPLITUDE ANALYSIS
AB114	09/24/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64695189	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21702		AJ	A02-1389 (Well D04) removed in QC
AB115	09/25/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64695189	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21702		AJ	None
AB116	10/02/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64695189	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21702		AJ	None
AB117	10/10/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64695189	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21702		AJ	None
AB118	10/20/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64635922	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21831		JL	None
AB119	10/28/2025	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64695189	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21702		JL	None
AB12	02/08/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	RSV A/B (G) (dEXD77482599)	66418870		JL	None
AB13	02/15/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	xxxxxxx	ddPCR	Direct Quantification	2.0.0	Custom Design	64571283		JL	None
