sample_id	sbatch_id	location	county	sample_collection_start_datetime	sample_collection_end_datetime	lineage_group	variant	variant_aliases	variant_proportion
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2	BA.2.85	BA.2.85	0.00646150
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	JN.1	JN.1.18	JN.1.18	0.18274496
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.1	XZ	XZ,BA.1*,BA.2*	0.01492540
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	JN.1	JN.1.4.2	JN.1.4.2	0.01119820
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	XBB.1	XBB.1.22	XBB.1.22	0.02611787
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	XDQ	XDQ	XDQ	0.00118906
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	FY.8	FY.8	FY.8	0.02100547
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	FY.4	FY.4	FY.4	0.00100401
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2	BA.2.3.17	BA.2.3.17,XBH	0.00323625
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	FL.33	FL.33	FL.33	0.00176056
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	FY.5	FY.5	FY.5	0.02611787
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2.86	BA.2.86	BA.2.86	0.04541430
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	XBL.2	XBL.2	XBL.2	0.00167645
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2	BA.2.26	BA.2.26	0.00117994
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.4	BA.4.8	BA.4.8	0.00148810
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	XDD	XDD	XDD	0.02588684
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	FY.5.1	FY.5.1	FY.5.1	0.02100547
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2	BA.2.18	BA.2.18	0.00405405
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2	BA.2.3.5	BA.2.3.5	0.00164510
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2	BA.2	BA.2	0.00786651
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	FL.33.1	FL.33.1	FL.33.1	0.00176056
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	XBB.1	XBB.1.22.1	XBB.1.22.1,FY	0.02611787
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	FY.4.1	FY.4.1	FY.4.1	0.00100401
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2	BA.2.9.4	BA.2.9.4	0.01960780
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2.86	BA.2.86.5	BA.2.86.5	0.00123916
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2	BA.2.34	BA.2.34	0.00109409
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	FL.25	FL.25	FL.25	0.01328648
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	JN.1	JN.1.4	JN.1.4	0.42343846
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	BA.2	XAD	XAD,BA.2*,BA.1*	0.00155280
A01-0784	SARS_20240219	StarCityWWTP-01	Monongalia	01/21/2024 12:00 AM	01/22/2024 12:00 AM	JN.1	JN.1.4.3	JN.1.4.3	0.08558934
