sbatch_id	sample_id	variant	proportion	aliases	cdc_status	watch_status
SARS_20240104	A01-0721	EG.5.1.18	0.00282486		NA	5
SARS_20240104	A01-0721	XBB.1.5.91	0.0316334		NA	5
SARS_20240104	A01-0721	HF.1.2	0.00103842		NA	5
SARS_20240104	A01-0721	FL.10.1	0.11268846		NA	5
SARS_20240104	A01-0721	XBB.1.22.2	0.0010395	HU	NA	5
SARS_20240104	A01-0721	JN.1.3	0.00215285		NA	5
SARS_20240104	A01-0721	XBB.1.5.34	0.00152439		NA	5
SARS_20240104	A01-0721	KB.1	0.168337		NA	5
SARS_20240104	A01-0721	EG.5.1	0.09205985		NA	5
SARS_20240104	A01-0721	XBB.1.5.93	0.00181406	HD	NA	5
SARS_20240104	A01-0721	XBB.1.5.47	0.00750626	FZ	NA	5
SARS_20240104	A01-0721	EG.5.1.14	0.00456621		NA	5
SARS_20240104	A01-0721	HK.8	0.00167969		NA	5
SARS_20240104	A01-0721	XCV	0.00143598	XBB.1.16.19,EG.5.1.3	NA	5
SARS_20240104	A01-0721	XBB.1.16.6	0.06497553	JF	VOI	3
SARS_20240104	A01-0721	B.1.1.90	0.00125313		NA	5
SARS_20240104	A01-0721	EG.5.1.13	0.00487805		NA	5
SARS_20240104	A01-0721	FY.5.3	0.00148588		NA	5
SARS_20240104	A01-0721	XBB.1.26	0.004		NA	5
SARS_20240104	A01-0721	XCG	0.00107643	BA.5.2*,XBB.1	NA	5
SARS_20240104	A01-0721	XBB.2.11.1	0.00123001		NA	5
SARS_20240104	A01-0721	EG.5.1.12	0.0028169		NA	5
SARS_20240104	A01-0721	JN.1	0.00215285		VBM	1
SARS_20240104	A01-0721	XBB.1.5.20	0.0017094		NA	5
SARS_20240104	A01-0721	EG.6.1.1	0.00222124		NA	5
SARS_20240104	A01-0721	XBB.1.5.6	0.0486533		NA	5
SARS_20240104	A01-0721	EG.5.1.8	0.09205985		NA	5
SARS_20240104	A01-0721	JF.1.1.2	0.184127		NA	5
SARS_20240104	A01-0721	XBB.1.5.8	0.00154799		NA	5
SARS_20240104	A01-0721	XDB	0.00108167		NA	5
SARS_20240104	A01-0721	HJ.1	0.00130378		NA	5
SARS_20240104	A01-0721	XBB.1.22	0.02656312		NA	5
SARS_20240104	A01-0721	EG.5.1.19	0.00609756		NA	5
SARS_20240104	A01-0721	EG.5.1.17	0.09205985		NA	5
SARS_20240104	D01-0396	EG.5.1.13	0.01250605		NA	5
SARS_20240104	D01-0396	JD.1.1.5	0.843878		NA	5
SARS_20240104	D01-0396	XBB.1.9.7	0.00103199		NA	5
SARS_20240104	D01-0396	FL.10.1	0.00102881		NA	5
SARS_20240104	D01-0396	JD.1.1.7	0.04653037		NA	5
SARS_20240104	D01-0396	FL.1.1.1	0.00165017		NA	5
SARS_20240104	D01-0396	FL.18	0.00117849		NA	5
SARS_20240104	D01-0396	FL.23.1	0.00117233		NA	5
SARS_20240104	D01-0396	FL.28	0.00113443		NA	5
SARS_20240104	D01-0396	EG.5.1.14	0.00109739		NA	5
SARS_20240104	D01-0396	FL.25	0.03395027		NA	5
SARS_20240104	D01-0396	JD.1.1.1	0.04653052		NA	5
SARS_20240104	D01-0396	JD.2.1	0.00176056		NA	5
SARS_20240104	A01-0722	EG.5.1.1	0.085401	XCZ,XCN	NA	5
SARS_20240104	A01-0722	HK.23	0.00340136		NA	5
SARS_20240104	A01-0722	XBB.1.25	0.00298966		NA	5
SARS_20240104	A01-0722	EG.10	0.001443		NA	5
SARS_20240104	A01-0722	FL.1.2	0.00178412		NA	5
SARS_20240104	A01-0722	GS.5	0.00149925		NA	5
SARS_20240104	A01-0722	XBB.1.34	0.0017301		NA	5
SARS_20240104	A01-0722	XDB	0.28354971		NA	5
SARS_20240104	A01-0722	BA.2.9.4	0.00313152		NA	5
SARS_20240104	A01-0722	XCG	0.00230947	BA.5.2*,XBB.1	NA	5
SARS_20240104	A01-0722	FY.5.3	0.00127632		NA	5
SARS_20240104	A01-0722	HK.4	0.00970874		NA	5
SARS_20240104	A01-0722	XBB.1.10	0.00840336		NA	5
SARS_20240104	A01-0722	XBB.1.16.14	0.00228833		NA	5
SARS_20240104	A01-0722	HK.3.13	0.00282885		NA	5
SARS_20240104	A01-0722	HK.3.12	0.0037594		NA	5
SARS_20240104	A01-0722	JF.1	0.22720049		NA	5
SARS_20240104	A01-0722	XDJ	0.03802051		NA	5
SARS_20240104	A01-0722	XBB.1.16.10	0.00149254		NA	5
SARS_20240104	A01-0722	XCQ	0.00129311	XBB.2.3,XBB.1.5	VBM	3
SARS_20240104	A01-0722	FL.1.5.2	0.00119148		NA	5
SARS_20240104	A01-0722	HK.9	0.00194553		NA	5
SARS_20240104	A01-0722	HK.26	0.00294118		NA	5
SARS_20240104	A01-0722	HK.29	0.00347222		NA	5
SARS_20240104	A01-0722	EG.6.1	0.0010989		NA	5
SARS_20240104	A01-0722	FL.37	0.07661611		NA	5
SARS_20240104	A01-0722	HK.3.9	0.00157222		NA	5
SARS_20240104	A01-0722	XBB.1.16.12	0.09775932		NA	5
SARS_20240104	A01-0722	XBB.1.15	0.00265781		NA	5
SARS_20240104	A01-0722	FL.5	0.003003		NA	5
SARS_20240104	A01-0722	HK.11	0.085401		NA	5
SARS_20240104	A01-0722	FY.6	0.00234192		NA	5
SARS_20240104	A01-0722	EG.8	0.00141443		NA	5
SARS_20240104	A01-0722	B.1.1.399	0.00117647		NA	5
SARS_20240104	A01-0722	FL.1.8	0.00117786		NA	5
