sample_id	sbatch_id	variant	proportion	aliases
A01-0734	SARS_20240130_A	JN.1.6.1	0.00720906	JN.1.6.1
A01-0734	SARS_20240130_A	XBB.1.5.1	0.00180437	XBB.1.5.1,HJ
A01-0734	SARS_20240130_A	XBB.1.5.47	0.00619515	XBB.1.5.47,FZ
A01-0734	SARS_20240130_A	XBB.1.10	0.02454590	XBB.1.10
A01-0734	SARS_20240130_A	EG.5.1.15	0.00116822	EG.5.1.15
A01-0734	SARS_20240130_A	BA.2.9.4	0.00256959	BA.2.9.4
A01-0734	SARS_20240130_A	XBB.1.34.1	0.00162404	XBB.1.34.1
A01-0734	SARS_20240130_A	EG.5.1.12	0.00102354	EG.5.1.12
A01-0734	SARS_20240130_A	XBB.1.28	0.01071553	XBB.1.28
A01-0734	SARS_20240130_A	JN.1.18	0.06074427	JN.1.18
A01-0734	SARS_20240130_A	JN.1.8	0.00114292	JN.1.8
A01-0734	SARS_20240130_A	HK.31	0.00193673	HK.31
A01-0734	SARS_20240130_A	XDJ	0.05828220	XDJ
A01-0734	SARS_20240130_A	HK.18	0.00202020	HK.18
A01-0734	SARS_20240130_A	BA.2.23	0.02094466	BA.2.23
A01-0734	SARS_20240130_A	HK.14	0.00206186	HK.14
A01-0734	SARS_20240130_A	XBB.1.5.91	0.08354213	XBB.1.5.91
A01-0734	SARS_20240130_A	EG.5.1.4	0.02975109	EG.5.1.4
A01-0734	SARS_20240130_A	JM.2	0.03787779	JM.2
A01-0734	SARS_20240130_A	HV.1.4	0.00104603	HV.1.4
A01-0734	SARS_20240130_A	FL.1.5.2	0.01712840	FL.1.5.2
A01-0734	SARS_20240130_A	XBB.1.13	0.01071553	XBB.1.13
A01-0734	SARS_20240130_A	XBB.1.8	0.00460829	XBB.1.8
A01-0734	SARS_20240130_A	HV.1	0.29309465	HV.1
A01-0734	SARS_20240130_A	XBB.1.5.100	0.00215054	XBB.1.5.100,HY
A01-0734	SARS_20240130_A	XN	0.00492611	XN,BA.2*,BA.1*
A01-0734	SARS_20240130_A	XCD	0.00220176	XCD,BQ.1.1.25*,XBB.1*
A01-0734	SARS_20240130_A	XBB.1.16.17	0.07051946	XBB.1.16.17
A01-0734	SARS_20240130_A	HK.23	0.00235294	HK.23
A01-0734	SARS_20240130_A	HK.3.8	0.06837457	HK.3.8
A01-0734	SARS_20240130_A	HV.1.2	0.01273890	HV.1.2
A01-0734	SARS_20240130_A	XBB.1.16.18	0.00160686	XBB.1.16.18
A01-0734	SARS_20240130_A	HK.30	0.00110497	HK.30
A01-0734	SARS_20240130_A	EG.5.1.13	0.00199601	EG.5.1.13
A01-0734	SARS_20240130_A	B.1.1.521	0.00136388	B.1.1.521
A01-0734	SARS_20240130_A	EG.5.1.2	0.00325733	EG.5.1.2
