capacity_mgd,concentration_method,county_names,dashboard_ignore,epaid,extraction_method,flow_rate,inhibition_adjust,inhibition_detect,inhibition_method,institution_type,lab_id,lod_ref,lod_sewage,major_lab_method,major_lab_method_desc,ntc_amplify,num_no_target_control,other_jurisdiction,pasteurized,pcr_gene_target,pcr_gene_target_ref,pcr_target,pcr_target_avg_conc,pcr_target_units,pcr_type,population_served,pretreatment,quant_stan_type,rec_eff_percent,rec_eff_spike_conc,rec_eff_spike_matrix,rec_eff_target_name,reporting_jurisdiction,sample_collect_date,sample_collect_time,sample_id,sample_location,sample_location_specify,sample_matrix,sample_type,site_id,stan_ref,test_result_date,wwtp_jurisdiction,wwtp_name,zipcode
17,ceres nanotrap,"54011, 54099",no,WV0023159,qiagen ez1 virus mini kit v2.0,22.11,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n1,https://www.fda.gov/media/134922/download,sars-cov-2,6825.6,copies/L wastewater,ddpcr,56000,no,dna,-1,,,,WV,3/12/2022,0:01,1043,wwtp,,raw wastewater,24-hr time-weighted composite,54011-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/14/2022,WV,Huntington,25755
17,ceres nanotrap,"54011, 54099",no,WV0023159,qiagen ez1 virus mini kit v2.0,22.11,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n2,https://www.fda.gov/media/134922/download,sars-cov-2,0,copies/L wastewater,ddpcr,56000,no,dna,-1,,,,WV,3/12/2022,0:01,1043,wwtp,,raw wastewater,24-hr time-weighted composite,54011-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/14/2022,WV,Huntington,25755
4.5,ceres nanotrap,54079,no,WV0028151,qiagen ez1 virus mini kit v2.0,3.62,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n1,https://www.fda.gov/media/134922/download,sars-cov-2,18719.05,copies/L wastewater,ddpcr,28759,no,dna,-1,,,,WV,3/13/2022,8:00,1053,wwtp,,raw wastewater,grab,54079-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/21/2022,WV,Hurricane,25526
4.5,ceres nanotrap,54079,no,WV0028151,qiagen ez1 virus mini kit v2.0,3.62,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n2,https://www.fda.gov/media/134922/download,sars-cov-2,12521.63947,copies/L wastewater,ddpcr,28759,no,dna,-1,,,,WV,3/13/2022,8:00,1053,wwtp,,raw wastewater,grab,54079-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/21/2022,WV,Hurricane,25526
4.5,ceres nanotrap,54079,no,WV0028151,qiagen ez1 virus mini kit v2.0,3.01,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n1,https://www.fda.gov/media/134922/download,sars-cov-2,28954.29,copies/L wastewater,ddpcr,28759,no,dna,-1,,,,WV,3/14/2022,9:00,1054,wwtp,,raw wastewater,24-hr time-weighted composite,54079-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/21/2022,WV,Hurricane,25526
4.5,ceres nanotrap,54079,no,WV0028151,qiagen ez1 virus mini kit v2.0,3.01,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n2,https://www.fda.gov/media/134922/download,sars-cov-2,29052.24562,copies/L wastewater,ddpcr,28759,no,dna,-1,,,,WV,3/14/2022,9:00,1054,wwtp,,raw wastewater,24-hr time-weighted composite,54079-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/21/2022,WV,Hurricane,25526
17,ceres nanotrap,"54011, 54099",no,WV0023159,qiagen ez1 virus mini kit v2.0,20.28,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n1,https://www.fda.gov/media/134922/download,sars-cov-2,35745.92,copies/L wastewater,ddpcr,56000,no,dna,-1,,,,WV,3/13/2022,0:01,1061,wwtp,,raw wastewater,24-hr time-weighted composite,54011-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/21/2022,WV,Huntington,25755
17,ceres nanotrap,"54011, 54099",no,WV0023159,qiagen ez1 virus mini kit v2.0,20.28,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n2,https://www.fda.gov/media/134922/download,sars-cov-2,14345.45219,copies/L wastewater,ddpcr,56000,no,dna,-1,,,,WV,3/13/2022,0:01,1061,wwtp,,raw wastewater,24-hr time-weighted composite,54011-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/21/2022,WV,Huntington,25755
17,ceres nanotrap,"54011, 54099",no,WV0023159,qiagen ez1 virus mini kit v2.0,19.78,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n1,https://www.fda.gov/media/134922/download,sars-cov-2,24745.17,copies/L wastewater,ddpcr,56000,no,dna,-1,,,,WV,3/14/2022,0:01,1063,wwtp,,raw wastewater,24-hr time-weighted composite,54011-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/21/2022,WV,Huntington,25755
17,ceres nanotrap,"54011, 54099",no,WV0023159,qiagen ez1 virus mini kit v2.0,19.78,,not tested,none,not institution specific,MUIDSL,"Environ. Sci.: Water Res. Technol., 2021, 7, 504-532",71000,1,Nanotrap concentration of raw influent and quantification by ddPCR,no,1,,no,n2,https://www.fda.gov/media/134922/download,sars-cov-2,43454.57554,copies/L wastewater,ddpcr,56000,no,dna,-1,,,,WV,3/14/2022,0:01,1063,wwtp,,raw wastewater,24-hr time-weighted composite,54011-001-01-00-00,https://www.idtdna.com/pages/landing/coronavirus-research-reagents/cdc-assays 2019-nCoV_N_Positive Control 10006637,3/21/2022,WV,Huntington,25755
