assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
R02-0356.a1	R02-0356	08/31/2023 6:00	09/01/2023 6:00	Routine Surveillance	2.4954	Pass	ElkinsWWTP-01	SARS-CoV-2	N1	ZooWVU	2043	2043	15.5290361812101	19298.407048902	146.689016790073	100	0	125.04372596	yes
B01-0192.a3	B01-0192	06/29/2022 7:00	06/30/2022 7:00	Routine Surveillance	7.728	Pass	CharlestonWWTP-01	Human	RNase P	ZooWVU	2585	2585	5.17	75620.6813208	151.2413626416	100	NA	NA	Missing controls: HEX
G01-0268.a3	G01-0268	09/11/2022 9:00	09/12/2022 8:00	Routine Surveillance	0.905	Pass	KeyserWWTP-01	Human	RNase P	ZooWVU	8889.26321625	8889.26321625	108.830352794442	30452.8028136396	372.830592723305	100	NA	NA	Missing controls: HEX
C01-0673.a5	C01-0673	06/19/2024 07:00 AM	06/19/2024 07:00 AM	Routine Surveillance	4.02	Pass	WheelingWWTP-01	Influenza Virus A (FluA)	M	ZooWVU	1800	1800	3.6	27391.22676	54.78245352	100	91.625417073568	0	NTC above threshold
E01-0283.a3	E01-0283	06/07/2023 10:00	06/08/2023 10:00	Routine Surveillance	2.2	Pass	PrincetonWWTP-01	Human	RNase P	ZooWVU	20996.285445	20996.285445	58.323015125	174855.007549986	485.708354305518	100	NA	NA	Missing controls: HEX
A02-0466.a1	A02-0466	04/20/2022 9:00	04/22/2022 9:00	Routine Surveillance		Pass	OaklandE-02	SARS-CoV-2	N1	ZooWVU	279	139.5	16.1832946635731	NA	NA	100	0	889.7789956	yes
A01-0078.a3	A01-0078	11/01/2021 0:00	11/01/2021 23:55	Routine Surveillance	8.683	Pass	StarCityWWTP-01	Human	RNase P	ZooWVU	18135.6554625	18135.6554625	37.5261866050737	596095.691279175	1233.43753368477	100	NA	NA	Missing controls: HEX
J01-0118.a2	J01-0118	08/23/2022 7:30	08/24/2022 7:30	Routine Surveillance	0.088	Pass	AlpineLakeWWTP-01	SARS-CoV-2	N2	ZooWVU	475370.040675	475370.040675	67910.0058107143	158353.404499097	22621.9149284424	100	8.95037294	929.6437072	yes
L01-0332.a2	L01-0332	02/16/2023 9:00	02/17/2023 9:00	Routine Surveillance	0.519	Pass	WestUnionWWTP-01	SARS-CoV-2	N2	ZooWVU	147145.86316125	147145.86316125	26089.692049867	289086.851950129	51256.5340337108	100	0	763.7186432	yes
L01-0330.a1	L01-0330	02/11/2023 9:00	02/12/2023 9:00	Routine Surveillance	0.346	Pass	WestUnionWWTP-01	SARS-CoV-2	N1	ZooWVU	81924.06132375	81924.06132375	14525.5427878989	107300.191697536	19024.8566839602	100	0	580.9763336	yes
N02-0038.a3	N02-0038	02/14/2022 7:00	02/15/2022 7:00	Routine Surveillance	8.57	Pass	ClarksburgWWTP-01	Human	RNase P	ZooWVU	7856.2460175	7856.2460175	29.6484490055853	254864.191871987	961.824257951495	100	NA	NA	Missing controls: HEX
N03-0034.a1	N03-0034	02/22/2022 7:35	02/23/2022 7:30	Routine Surveillance	0.68632	Pass	SalemWWTP-01	SARS-CoV-2	N1	ZooWVU	62856.43593	62856.43593	3392.14441068537	163301.183419737	8812.7999686852	100	0	5440.05394	yes
H01-0693.a1	H01-0693	08/30/2023 8:00	08/31/2023 8:00	Routine Surveillance	1.3	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N1	ZooWVU	168768.331119375	168768.331119375	1406.40275932812	830514.526793371	6920.95438994476	100	0	85.50823212	yes
H01-0381.a3	H01-0381	10/22/2022 8:00	10/23/2022 8:00	Routine Surveillance	1.4	Pass	MoundsvilleWWTP-01	Human	RNase P	ZooWVU	36592.177531875	36592.177531875	304.934812765625	193922.952651309	1616.02460542757	100	NA	NA	Missing controls: HEX
A01-0525.a2	A01-0525	03/27/2023 0:00	03/28/2023 0:00	Routine Surveillance	10.7	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	678545.6692875	678545.6692875	1404.04252045915	27483737.1131603	56869.1795918728	100	5.19871474	1761.8119812	yes
A04-0129.a3	A04-0129	08/02/2022 8:00	08/03/2022 8:00	Routine Surveillance	0.564	Pass	CheatLakeWWTP-01	Human	RNase P	ZooWVU	247913.08794	247913.08794	12395.654397	529287.312771491	26464.3656385745	100	NA	NA	Missing controls: HEX
R01-0154.a1	R01-0154	02/14/2023 9:00	02/15/2023 9:00	Routine Surveillance	0.215	Pass	HuttonsvilleWWTP-01	SARS-CoV-2	N1	ZooWVU	11767.292218125	11767.292218125	560.080543461447	9576.9655116137	455.828915355245	100	0	665.8993532	yes
