assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
U01-1003.a1	U01-1003.e1	U01-1003	AB130	H07	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21557	0	1.75173401832581	
U01-1003.a2	U01-1003.e1	U01-1003	AB130	H07	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21557	0	0.0583518482744694	
U01-1003.a3	U01-1003.e1	U01-1003	AB130	H07	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21557	0	0	
U01-1003.a4	U01-1003.e1	U01-1003	AB130	H07	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21557	0	0	
U01-1003.a5	U01-1003.e1	U01-1003	AB130	H07	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21557	0	0	
H01-1013.a1	H01-1013.e1	H01-1013	AB130	G06	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21508	0	8.03785705566406	
H01-1013.a2	H01-1013.e1	H01-1013	AB130	G06	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21508	0	0.292451143264771	
H01-1013.a3	H01-1013.e1	H01-1013	AB130	G06	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21508	0	2.9275758266449	
H01-1013.a4	H01-1013.e1	H01-1013	AB130	G06	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21508	0	0.116972297430038	
H01-1013.a5	H01-1013.e1	H01-1013	AB130	G06	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21508	0	0.0584847927093506	
A01-1445.a1	A01-1445.e1	A01-1445	AB130	C02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	19884	0	55.8135299682617	
A01-1445.a2	A01-1445.e1	A01-1445	AB130	C02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19884	0	3.04015040397644	
A01-1445.a3	A01-1445.e1	A01-1445	AB130	C02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	19884	0	0.189794272184372	
A01-1445.a4	A01-1445.e1	A01-1445	AB130	C02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	19884	0	0.0632615834474564	
A01-1445.a5	A01-1445.e1	A01-1445	AB130	C02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	19884	0	0	
A01-1436.a1	A01-1436.e1	A01-1436	AB130	B01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	19470	0	10.0538663864136	
A01-1436.a2	A01-1436.e1	A01-1436	AB130	B01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	19470	0	0.452317118644714	
A01-1436.a3	A01-1436.e1	A01-1436	AB130	B01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19470	0	1.22809648513794	
A01-1436.a4	A01-1436.e1	A01-1436	AB130	B01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	19470	0	0	
A01-1436.a5	A01-1436.e1	A01-1436	AB130	B01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	19470	0	0	
C01-1151.a1	C01-1151.e1	C01-1151	AB130	C04	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21179	0	0	
C01-1151.a2	C01-1151.e1	C01-1151	AB130	C04	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21179	0	0	
C01-1151.a3	C01-1151.e1	C01-1151	AB130	C04	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21179	0	336.096527099609	
C01-1151.a4	C01-1151.e1	C01-1151	AB130	C04	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21179	0	0.118789456784725	
C01-1151.a5	C01-1151.e1	C01-1151	AB130	C04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21179	0	0.891194581985474	
C01-1152.a1	C01-1152.e1	C01-1152	AB130	D04	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21259	0	0.236695975065231	
C01-1152.a2	C01-1152.e1	C01-1152	AB130	D04	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21259	0	0	
C01-1152.a3	C01-1152.e1	C01-1152	AB130	D04	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21259	0	10.8746948242188	
C01-1152.a4	C01-1152.e1	C01-1152	AB130	D04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21259	0	1.30237948894501	
C01-1152.a5	C01-1152.e1	C01-1152	AB130	D04	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21259	0	0.473436504602432	
M03-1004.a1	M03-1004.e1	M03-1004	AB130	B05	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21145	0	14.0578079223633	
