concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
U01-1005.c1	U01-1005	CB213	A01	
Q01-1010.c1	Q01-1010	CB213	B01	
H01-1018.c1	H01-1018	CB217	C01	
N02-0583.c1	N02-0583	CB217	A01	
J01-1012.c1	J01-1012	CB217	B01	
A01-1478.c1	A01-1478	CB216	C01	
A01-1480.c1	A01-1480	CB216	A02	
C01-1172.c1	C01-1172	CB216	C03	
A10-0001.c1	A10-0001	CB216	C04	
Q01-1012.c1	Q01-1012	CB216	C05	
A01-1477.c1	A01-1477	CB216	B01	
R02-1012.c1	R02-1012	CB216	D03	
O01-0577.c1	O01-0577	CB216	D05	
A04-0595.c1	A04-0595	CB216	D04	
A01-1479.c1	A01-1479	CB216	D01	
K01-0464.c1	K01-0464	CB216	B04	
U01-0109.c1	U01-0109	CB216	B05	
C01-1171.c1	C01-1171	CB216	B03	
M04-0433.c1	M04-0433	CB216	A06	
Q01-1011.c1	Q01-1011	CB216	A05	
D01-1010.c1	D01-1010	CB216	A04	
C01-1170.c1	C01-1170	CB216	A03	
M03-1007.c1	M03-1007	CB216	B06	
P01-1008.c1	P01-1008	CB216	D06	
A01-1476.c1	A01-1476	CB216	A01	
C01-1168.c1	C01-1168	CB216	C02	
C01-1169.c1	C01-1169	CB216	D02	
M03-1008.c1	M03-1008	CB216	C06	
A01-1481.c1	A01-1481	CB216	B02	
A04-0597.c1	A04-0597	CB212	C05	
C01-1208.c1	C01-1208	CB212	C04	
C01-1204.c1	C01-1204	CB212	C03	
A01-1462.c1	A01-1462	CB212	C01	
A01-1464.c1	A01-1464	CB212	A02	
C01-1203.c1	C01-1203	CB212	B03	
G01-0650.c1	G01-0650	CB212	A06	
R02-1009.c1	R02-1009	CB212	B05	
C01-1207.c1	C01-1207	CB212	B04	
A01-1463.c1	A01-1463	CB212	D01	
C01-1209.c1	C01-1209	CB212	D04	
R02-1010.c1	R02-1010	CB212	D05	
C01-1205.c1	C01-1205	CB212	D03	
A01-1461.c1	A01-1461	CB212	B01	
C01-1200.c1	C01-1200	CB212	C02	
A01-1460.c1	A01-1460	CB212	A01	
T01-0421.c1	T01-0421	CB212	D06	
C01-1202.c1	C01-1202	CB212	A03	
K01-0468.c1	K01-0468	CB212	B06	
C01-1206.c1	C01-1206	CB212	A04	
H01-1016.c1	H01-1016	CB212	A05	
A01-1465.c1	A01-1465	CB212	B02	
T01-0415.c1	T01-0415	CB212	C06	
C01-1201.c1	C01-1201	CB212	D02	
L01-1004.c1	L01-1004	CB211	B02	
M04-0431.c1	M04-0431	CB211	B04	
P01-1007.c1	P01-1007	CB211	B05	
M03-1005.c1	M03-1005	CB211	B03	
J01-1009.c1	J01-1009	CB211	A06	
K01-0469.c1	K01-0469	CB211	B01	
A01-1458.c1	A01-1458	CB211	A01	
G01-0653.c1	G01-0653	CB211	A05	
D01-1007.c1	D01-1007	CB211	A04	
Q01-1009.c1	Q01-1009	CB211	B06	
A04-0598.c1	A04-0598	CB211	A03	
U01-0174.c1	U01-0174	CB211	C01	
A01-1459.c1	A01-1459	CB211	A02	
U01-0161.c1	U01-0161	CB215	D01	
D01-1009.c1	D01-1009	CB215	B02	
A04-0596.c1	A04-0596	CB215	C02	
N02-0585.c1	N02-0585	CB215	A01	
M03-1006.c1	M03-1006	CB215	B01	
J01-1011.c1	J01-1011	CB215	A02	
M04-0427.c1	M04-0427	CB215	C01	
A01-1472.c1	A01-1472	CB214	C02	
O01-0571.c1	O01-0571	CB214	D06	
C01-1163.c1	C01-1163	CB214	C03	
C01-1167.c1	C01-1167	CB214	C04	
H01-1017.c1	H01-1017	CB214	C05	
R02-1011.c1	R02-1011	CB214	A05	
C01-1165.c1	C01-1165	CB214	A04	
A01-1474.c1	A01-1474	CB214	A03	
D01-1008.c1	D01-1008	CB214	B06	
C01-1166.c1	C01-1166	CB214	B04	
J01-1010.c1	J01-1010	CB214	B05	
N02-1001.c1	N02-1001	CB214	A06	
A01-1475.c1	A01-1475	CB214	B03	
C01-1164.c1	C01-1164	CB214	D03	
O01-0578.c1	O01-0578	CB214	C06	
K01-0460.c1	K01-0460	CB214	D05	
O01-0570.c1	O01-0570	CB214	D04	
A01-1473.c1	A01-1473	CB214	D02	
