extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
M04-0431.e1	M04-0431.c1	EB211	B02	C2	
L01-1004.e1	L01-1004.c1	EB211	A08	B8	
K01-0469.e1	K01-0469.c1	EB211	A07	B7	
U01-0174.e1	U01-0174.c1	EB211	B05	C5	
Q01-1009.e1	Q01-1009.c1	EB211	B04	C4	
J01-1009.e1	J01-1009.c1	EB211	A06	B6	
P01-1007.e1	P01-1007.c1	EB211	B03	C3	
M03-1005.e1	M03-1005.c1	EB211	B01	C1	
A01-1458.e1	A01-1458.c1	EB211	A01	NAB 162 B1	
D01-1007.e1	D01-1007.c1	EB211	A04	B4	
G01-0653.e1	G01-0653.c1	EB211	A05	B5	
A04-0598.e1	A04-0598.c1	EB211	A03	B3	
A01-1459.e1	A01-1459.c1	EB211	A02	B2	
Q01-1010.e1	Q01-1010.c1	EB212	D02	G2	
T01-0421.e1	T01-0421.c1	EB212	C08	F8	
K01-0468.e1	K01-0468.c1	EB212	C06	F6	
C01-1203.e1	C01-1203.c1	EB212	B02	E2	
C01-1200.e1	C01-1200.c1	EB212	A07	D7	
C01-1207.e1	C01-1207.c1	EB212	B06	E6	
A01-1462.e1	A01-1462.c1	EB212	A03	D3	
A01-1463.e1	A01-1463.c1	EB212	A04	D4	
A01-1464.e1	A01-1464.c1	EB212	A05	D5	
C01-1209.e1	C01-1209.c1	EB212	B08	E8	
R02-1009.e1	R02-1009.c1	EB212	C02	F2	
A01-1460.e1	A01-1460.c1	EB212	A01	NAB-162 D1	
C01-1202.e1	C01-1202.c1	EB212	B01	E1	
T01-0415.e1	T01-0415.c1	EB212	C07	F7	
C01-1201.e1	C01-1201.c1	EB212	A08	D8	
U01-1005.e1	U01-1005.c1	EB212	D01	G1	
C01-1204.e1	C01-1204.c1	EB212	B03	E3	
A01-1465.e1	A01-1465.c1	EB212	A06	D6	
C01-1206.e1	C01-1206.c1	EB212	B05	E5	
C01-1205.e1	C01-1205.c1	EB212	B04	E4	
C01-1208.e1	C01-1208.c1	EB212	B07	E7	
H01-1016.e1	H01-1016.c1	EB212	C01	F1	
A01-1461.e1	A01-1461.c1	EB212	A02	D2	
G01-0650.e1	G01-0650.c1	EB212	C05	F5	
R02-1010.e1	R02-1010.c1	EB212	C04	F4	
A04-0597.e1	A04-0597.c1	EB212	C03	F3	
C01-1166.e1	C01-1166.c1	EB214	B06	I6	
O01-0570.e1	O01-0570.c1	EB214	B08	I8	
D01-1009.e1	D01-1009.c1	EB214	D06	K6	
J01-1010.e1	J01-1010.c1	EB214	C02	J2	
O01-0571.e1	O01-0571.c1	EB214	C08	J8	
M03-1006.e1	M03-1006.c1	EB214	D02	K2	
D01-1008.e1	D01-1008.c1	EB214	C06	J6	
A01-1475.e1	A01-1475.c1	EB214	B02	I2	
A01-1472.e1	A01-1472.c1	EB214	A07	H7	
C01-1167.e1	C01-1167.c1	EB214	B07	I7	
R02-1011.e1	R02-1011.c1	EB214	C01	J1	
H01-1017.e1	H01-1017.c1	EB214	C03	J3	
K01-0460.e1	K01-0460.c1	EB214	C04	J4	
A04-0596.e1	A04-0596.c1	EB214	D07	K7	
N02-1001.e1	N02-1001.c1	EB214	C05	J5	
A01-1474.e1	A01-1474.c1	EB214	B01	I1	
M04-0427.e1	M04-0427.c1	EB214	D03	K3	
J01-1011.e1	J01-1011.c1	EB214	D05	K5	
O01-0578.e1	O01-0578.c1	EB214	C07	J7	
U01-0161.e1	U01-0161.c1	EB214	D04	K4	
N02-0585.e1	N02-0585.c1	EB214	D01	K1	
A01-1473.e1	A01-1473.c1	EB214	A08	H8	
C01-1164.e1	C01-1164.c1	EB214	B04	I4	
C01-1165.e1	C01-1165.c1	EB214	B05	I5	
C01-1163.e1	C01-1163.c1	EB214	B03	I3	
A04-0595.e1	A04-0595.c1	EB216	B08	A8	
A01-1479.e1	A01-1479.c1	EB216	A04	L4	
A01-1480.e1	A01-1480.c1	EB216	A05	L5	
K01-0464.e1	K01-0464.c1	EB216	B06	A6	
A01-1478.e1	A01-1478.c1	EB216	A03	L3	
U01-0109.e1	U01-0109.c1	EB216	C02	B2	
A01-1476.e1	A01-1476.c1	EB216	A01	NAB-162 L1	
M03-1007.e1	M03-1007.c1	EB216	C06	B6	
P01-1008.e1	P01-1008.c1	EB216	C08	B8	
J01-1012.e1	J01-1012.c1	EB216	D02	C2	
C01-1168.e1	C01-1168.c1	EB216	A07	L7	
C01-1171.e1	C01-1171.c1	EB216	B02	A2	
A01-1477.e1	A01-1477.c1	EB216	A02	L2	
Q01-1011.e1	Q01-1011.c1	EB216	C01	B1	
A10-0001.e1	A10-0001.c1	EB216	B07	A7	
Q01-1012.e1	Q01-1012.c1	EB216	C03	B3	
M04-0433.e1	M04-0433.c1	EB216	C05	B5	
O01-0577.e1	O01-0577.c1	EB216	C04	B4	
H01-1018.e1	H01-1018.c1	EB216	D03	C3	
M03-1008.e1	M03-1008.c1	EB216	C07	B7	
C01-1170.e1	C01-1170.c1	EB216	B01	NAB-163 A1	
D01-1010.e1	D01-1010.c1	EB216	B05	A5	
R02-1012.e1	R02-1012.c1	EB216	B04	A4	
A01-1481.e1	A01-1481.c1	EB216	A06	L6	
C01-1172.e1	C01-1172.c1	EB216	B03	A3	
N02-0583.e1	N02-0583.c1	EB216	D01	C1	
C01-1169.e1	C01-1169.c1	EB216	A08	L8	
