Asset Tag ID,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Assay Date,Comments,Sample QC Check,Sample Flow (MGD),Event Type,Site,Location,Category,Department
A03-0371,,,,,,,,,,,,,,,,
M01-0029,,,,,,,,,,,,,,,,
C01-034,,,,,,,,,,,,,,,,
M04-036,,,,,,,,,,,,,,,,
C1-0188,,,,,,,,,,,,,,,,
A03-0025,,,,,,,,,,,,,,,Sample,
A03-0022,,,,,,,,,,,,,,,Sample,
A03-0009,,,,,,,,,,,,,,,Sample,
A1104,,,,,,,,08/13/2021,,Fail,,,,,Sample,
A03-0008,,,,,,,,,,,,,,,Sample,
A1106,,,,,,,,08/13/2021,,Fail,,,,,Sample,
A03-0015,,,,,,,,,,,,,,,Sample,
A03-0012,,,,,,,,,,,,,,,Sample,
A03-0003,,,,,,,,,,,,,,,Sample,
C01-0021,,,,,,,,,,,,,,,Sample,WWTP
A01-0021,,,,,,,,,,,,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0020,,,,,,,,,,,,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0022,,,,,,,,,,,,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0025,,,,,,,,,,,,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0024,,,,,,,,,,,,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0023,,,,,,,,,,,,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0019,,,,,,,,,,,,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0102,,,,,,,,11/01/2021,,,,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0103,,,,,,,,11/01/2021,,,,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0370,Composite,,09/28/2022 12:00 AM,09/27/2022 12:00 AM,09/28/2022 12:00 AM,,,10/04/2022,,,8.9,,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0955,Composite,,07/31/2024 12:00 AM,07/30/2024 12:00 AM,07/31/2024 12:00 AM,AJ,08/07/2024,,,Pass,8.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0956,Composite,,08/01/2024 12:00 AM,07/31/2024 12:00 AM,08/01/2024 12:00 AM,AJ,08/07/2024,,,Pass,7.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0957,Composite,,08/03/2024 12:00 AM,08/02/2024 12:00 AM,08/03/2024 12:00 AM,AJ,08/07/2024,,,Pass,11.4,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0958,Composite,,08/04/2024 12:00 AM,08/03/2024 12:00 AM,08/04/2024 12:00 AM,AJ,08/07/2024,,,Pass,9.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0552,Composite,,08/05/2024 08:00 AM,08/04/2024 08:00 AM,08/05/2024 08:00 AM,AJ,08/07/2024,,,Pass,0.792,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-0960,Composite,,08/06/2024 12:00 AM,08/05/2024 12:00 AM,08/06/2024 12:00 AM,AJ,08/07/2024,,,Pass,6.9,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0959,Composite,,08/05/2024 12:00 AM,08/04/2024 12:00 AM,08/05/2024 12:00 AM,AJ,08/07/2024,,,Pass,7.8,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0961,Composite,,08/07/2024 12:00 AM,08/06/2024 12:00 AM,08/07/2024 12:00 AM,AJ,08/13/2024,,,Pass,6.8,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0962,Composite,,08/08/2024 12:00 AM,08/07/2024 12:00 AM,08/08/2024 12:00 AM,AJ,08/13/2024,,,Pass,6.9,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0963,Composite,,08/10/2024 12:00 AM,08/09/2024 12:00 AM,08/10/2024 12:00 AM,AJ,08/13/2024,,,Pass,7.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0964,Composite,,08/11/2024 12:00 AM,08/10/2024 12:00 AM,08/11/2024 12:00 AM,AJ,08/13/2024,,,Pass,6.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0965,Composite,,08/12/2024 12:00 AM,08/11/2024 12:00 AM,08/12/2024 12:00 AM,AJ,08/13/2024,,,Pass,6.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
