extraction_id	sample_id	extraction_well	extraction_batch_id	extraction_comment	extraction_storage_location
A01-1482.20260219	A01-1482	A01	EB9999	NA	NAB163 D1
A01-1483.20260219	A01-1483	A02	EB9999	NA	D2
A01-1484.20260219	A01-1484	A03	EB9999	NA	D3
A01-1485.20260219	A01-1485	A04	EB9999	NA	D4
A01-1486.20260219	A01-1486	A05	EB9999	NA	D5
A01-1487.20260219	A01-1487	A06	EB9999	NA	D6
H01-1019.20260219	H01-1019	A07	EB9999	NA	D7
K01-0475.20260219	K01-0475	A08	EB9999	NA	D8
R02-1013.20260219	R02-1013	B01	EB9999	I AM AN ECOMMENT	E1
N02-0575.20260219	N02-0575	B02	EB9999	NA	E2
L01-1005.20260219	L01-1005	B03	EB9999	NA	E3
M03-1009.20260219	M03-1009	B04	EB9999	NA	E4
M04-0428.20260219	M04-0428	B05	EB9999	NA	E5
D01-1011.20260219	D01-1011	B06	EB9999	NA	E6
W01-1000.20260219	W01-1000	B07	EB9999	NA	E7
G01-0658.20260219	G01-0658	B08	EB9999	NA	E8
